problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
488.0,,1.0,"Everyone. We'll wait, maybe one or 2 more minutes until more people joined.",2023-02-15T13:30:54.270-08:00,2023-02-15T13:31:00.460-08:00,tutor,tutor,1,,,
,,,and then we can get started.,2023-02-15T13:31:00.540-08:00,2023-02-15T13:31:02.350-08:00,tutor,tutor,1,,,
,,,We're just waiting for a few more people.,2023-02-15T13:31:22.280-08:00,2023-02-15T13:31:24.480-08:00,tutor,tutor,1,,,
,,,"for now, if everyone is comfortable with doing so, if you can turn on your cameras",2023-02-15T13:31:33.620-08:00,2023-02-15T13:31:40.020-08:00,tutor,tutor,1,,,
,,,that'd be nice. But it's okay. If you don't want to.,2023-02-15T13:31:40.550-08:00,2023-02-15T13:31:43.800-08:00,tutor,tutor,1,,,
,,,We can get started with today's orientation.,2023-02-15T13:31:48.340-08:00,2023-02-15T13:31:53.200-08:00,tutor,tutor,1,,,
,,,"and if you have any questions or need clarification on anything, feel free to just like, unmute and interrupt me at any time.",2023-02-15T13:31:56.800-08:00,2023-02-15T13:32:05.910-08:00,tutor,tutor,1,,,
,,,or to,2023-02-15T13:32:05.960-08:00,2023-02-15T13:32:07.510-08:00,tutor,tutor,1,,,
,,,use the chat at any time.,2023-02-15T13:32:07.710-08:00,2023-02-15T13:32:10.240-08:00,tutor,tutor,1,,,
,,,"Schoolhouse sat Boot camp, and today is week. One day 2 pulse check.",2023-02-15T13:32:15.390-08:00,2023-02-15T13:32:21.390-08:00,tutor,tutor,1,,,
,,,What's one? Where to describe how you're feeling about the math sat. How do you hope that changes over the course of how do you hope that changes over the course of this sat Boot camp.,2023-02-15T13:32:24.640-08:00,2023-02-15T13:32:36.020-08:00,tutor,tutor,1,,,
,,,I think one word I was definitely feeling before,2023-02-15T13:32:38.820-08:00,2023-02-15T13:32:42.460-08:00,tutor,tutor,1,,,
,,,taking the sat was extremely nervous.,2023-02-15T13:32:42.720-08:00,2023-02-15T13:32:45.790-08:00,tutor,tutor,1,,,
,,,"and that's probably the same, for mostly everyone, but with practice that actually goes away too. For me. I found",2023-02-15T13:32:45.990-08:00,2023-02-15T13:32:53.370-08:00,tutor,tutor,1,,,
,,,n0 0ne wants to go. We can move on.,2023-02-15T13:33:09.410-08:00,2023-02-15T13:33:11.930-08:00,tutor,tutor,1,,,
,,,"So the curriculum for today is review of sat testing tips, and that will be another slideshow",2023-02-15T13:33:13.820-08:00,2023-02-15T13:33:20.880-08:00,tutor,tutor,1,,,
,,,targeted group practice which will be on the topics that most people got wrong on on the last test.,2023-02-15T13:33:21.000-08:00,2023-02-15T13:33:28.130-08:00,tutor,tutor,1,,,
,,,"and we'll take another practice test today. Practice test a 2, which is a calculator. Test this time. and then we will end the session by reviewing this practice test.",2023-02-15T13:33:28.440-08:00,2023-02-15T13:33:38.920-08:00,tutor,tutor,1,,,
,,,and that's it.,2023-02-15T13:33:43.230-08:00,2023-02-15T13:33:45.180-08:00,tutor,tutor,1,,,
,,,Or,2023-02-15T13:33:45.990-08:00,2023-02-15T13:33:46.960-08:00,tutor,tutor,1,,,
,,,and then we'll go int0 0ur sat testing tips.,2023-02-15T13:33:51.250-08:00,2023-02-15T13:33:56.050-08:00,tutor,tutor,1,,,
,,,"This will be more focused on the Math session. But if you have any questions on tying for the test. In general, you can always ask them.",2023-02-15T13:33:57.030-08:00,2023-02-15T13:34:07.230-08:00,tutor,tutor,1,,,
,,,It's,2023-02-15T13:34:10.050-08:00,2023-02-15T13:34:10.770-08:00,tutor,tutor,1,,,
,,,Section a maximize possible points.,2023-02-15T13:34:12.810-08:00,2023-02-15T13:34:16.140-08:00,tutor,tutor,1,,,
,,,"Tip number one, answer every question. The sat has no guessing penalty. So answer every question.",2023-02-15T13:34:18.300-08:00,2023-02-15T13:34:24.970-08:00,tutor,tutor,1,,,
,,,"A useful strategy is letter of the day gets the same letter each time, and this is good, for when you run out of time or are completely stuck.",2023-02-15T13:34:25.130-08:00,2023-02-15T13:34:33.820-08:00,tutor,tutor,1,,,
,,,"This averages t0 25% correct, which is much, much better than guessing randomly.",2023-02-15T13:34:33.970-08:00,2023-02-15T13:34:39.620-08:00,tutor,tutor,1,,,
,,,"and there's no penalty so there is a chance that you might get right on a question, so it's always better to guess than to",2023-02-15T13:34:40.610-08:00,2023-02-15T13:34:48.960-08:00,tutor,tutor,1,,,
,,,just leave it blank.,2023-02-15T13:34:49.380-08:00,2023-02-15T13:34:50.860-08:00,tutor,tutor,1,,,
,,,Tip number 2 go for the money.,2023-02-15T13:34:53.290-08:00,2023-02-15T13:34:55.520-08:00,tutor,tutor,1,,,
,,,"All the questions are with the same value. So focus on easy questions. First to maximize points. Don't be afraid to skip problems and come back as a rule of them, skip the question if it takes more than one t0 2 min uses.",2023-02-15T13:34:55.650-08:00,2023-02-15T13:35:09.200-08:00,tutor,tutor,1,,,
,,,rule.,2023-02-15T13:35:09.470-08:00,2023-02-15T13:35:10.440-08:00,tutor,tutor,1,,,
,,,"use the remaining time at the end to go back and work on hard questions. It will always be better to skip the one or 2 questions that you're stuck on, or maybe there might be one, but it'll always be better to skip those few questions that are too difficult, and to answer the",2023-02-15T13:35:10.460-08:00,2023-02-15T13:35:29.680-08:00,tutor,tutor,1,,,
,,,"10 0r maybe more questions following it, that you know how to answer it's",2023-02-15T13:35:29.690-08:00,2023-02-15T13:35:34.830-08:00,tutor,tutor,1,,,
,,,"always better to do that. and if you have more time at the end, you can come back and",2023-02-15T13:35:34.870-08:00,2023-02-15T13:35:40.520-08:00,tutor,tutor,1,,,
,,,"g0 0ver it. The few questions that you didn't get, but you'll never have enough time to finish if you get stuck on some of these really hard problems, or I wouldn't say never, but it's hard to finish everything.",2023-02-15T13:35:40.920-08:00,2023-02-15T13:35:53.520-08:00,tutor,tutor,1,,,
,,,and,2023-02-15T13:35:54.550-08:00,2023-02-15T13:35:55.490-08:00,tutor,tutor,1,,,
,,,"it might be better to not even focus on the If you have one or 2 questions that you don't understand at the end, and just use the extra time to check your other answers. It's always better to",2023-02-15T13:35:55.970-08:00,2023-02-15T13:36:08.180-08:00,tutor,tutor,1,,,
,,,"go for what you know, rather than what you don't",2023-02-15T13:36:08.440-08:00,2023-02-15T13:36:11.190-08:00,tutor,tutor,1,,,
,,,"tip number 3 difficulty overview easy to hard do the easier questions. First, ensuring these are correct.",2023-02-15T13:36:14.150-08:00,2023-02-15T13:36:22.700-08:00,tutor,tutor,1,,,
,,,No careless errors.,2023-02-15T13:36:23.510-08:00,2023-02-15T13:36:25.610-08:00,tutor,tutor,1,,,
,,,We'll increase your score.,2023-02-15T13:36:25.780-08:00,2023-02-15T13:36:27.570-08:00,tutor,tutor,1,,,
,,,"Typically the section increases in difficulty. So the easiest questions are usually the early multiple choice questions, and the first few grid ons",2023-02-15T13:36:27.920-08:00,2023-02-15T13:36:37.070-08:00,tutor,tutor,1,,,
,,,feel free to skip the last few multiple choice. So you can spend time on the easier grid.,2023-02-15T13:36:37.460-08:00,2023-02-15T13:36:43.000-08:00,tutor,tutor,1,,,
,,,"So yeah, the easier questions are usually in the beginning, and it gets harder over time.",2023-02-15T13:36:44.610-08:00,2023-02-15T13:36:50.450-08:00,tutor,tutor,1,,,
,,,And so,2023-02-15T13:36:50.480-08:00,2023-02-15T13:36:51.610-08:00,tutor,tutor,1,,,
,,,"if at the end of the multiple choice section, you feel that you Aren't, really getting anywhere, you should definitely skip to the Grid End section.",2023-02-15T13:36:51.950-08:00,2023-02-15T13:37:00.510-08:00,tutor,tutor,1,,,
,,,And this is what the sat is a little bit different from,2023-02-15T13:37:00.840-08:00,2023-02-15T13:37:05.540-08:00,tutor,tutor,1,,,
,,,us. Test You might get at school where the multiple choice isn't worth less than the,2023-02-15T13:37:05.780-08:00,2023-02-15T13:37:11.500-08:00,tutor,tutor,1,,,
,,,"sure answers. So if you have to skip your answers and focus on multiple choice instead, that's okay to just focus on what you can solve rather than what you can.",2023-02-15T13:37:11.990-08:00,2023-02-15T13:37:22.650-08:00,tutor,tutor,1,,,
,,,and someone once asked me if it's better to do the grid in first. Before doing the multiple choice.,2023-02-15T13:37:23.590-08:00,2023-02-15T13:37:30.790-08:00,tutor,tutor,1,,,
,,,"I wouldn't say that like it's better or anything. I just say go for the easier questions first, and if that means doing the",2023-02-15T13:37:31.020-08:00,2023-02-15T13:37:39.330-08:00,tutor,tutor,1,,,
,,,"first few multiple choice, and then the first few grid in and then going back to the harder multiple choice. You should do that if you think you will save time that way.",2023-02-15T13:37:39.400-08:00,2023-02-15T13:37:48.560-08:00,tutor,tutor,1,,,
,,,Section B. Minimize lost points.,2023-02-15T13:37:53.780-08:00,2023-02-15T13:37:56.640-08:00,tutor,tutor,1,,,
,,,"and if at any point i'm going too fast, or you need me to clarify something, feel free to just like, interrupt me or send it in the chat",2023-02-15T13:37:56.820-08:00,2023-02-15T13:38:05.350-08:00,tutor,tutor,1,,,
,,,"number one. Use process of elimination, eliminating wrong answer choices, improves odds of correct guessing correctly",2023-02-15T13:38:06.610-08:00,2023-02-15T13:38:13.880-08:00,tutor,tutor,1,,,
,,,what to eliminate.,2023-02-15T13:38:14.220-08:00,2023-02-15T13:38:15.520-08:00,tutor,tutor,1,,,
,,,"Obviously false answers, partly false answers.",2023-02-15T13:38:15.560-08:00,2023-02-15T13:38:19.520-08:00,tutor,tutor,1,,,
,,,"If part is false, and the whole answer is wrong, and 2 similar answer choices. Both can't be correct.",2023-02-15T13:38:19.590-08:00,2023-02-15T13:38:26.210-08:00,tutor,tutor,1,,,
,,,Tick number to prevent careless errors. Slow down. You need to get the easier questions right in order to maximize your score.,2023-02-15T13:38:32.130-08:00,2023-02-15T13:38:40.360-08:00,tutor,tutor,1,,,
,,,It also helps to circle keywords in the question and underline the question that is being asked to force your focus there.,2023-02-15T13:38:40.370-08:00,2023-02-15T13:38:48.010-08:00,tutor,tutor,1,,,
,,,Remember to double check the question before moving on.,2023-02-15T13:38:48.200-08:00,2023-02-15T13:38:51.480-08:00,tutor,tutor,1,,,
,,,Get into the habit of taking an after 5 t0 10 s after completing every math question to make sure you are answering the question being asked.,2023-02-15T13:38:53.340-08:00,2023-02-15T13:39:02.690-08:00,tutor,tutor,1,,,
,,,"There are some question that questions I have like 2 parts where you have to find the equation first, and then plug in a specific point to get to the correct answer. And so you have to make sure that you're getting every part of the question right",2023-02-15T13:39:03.330-08:00,2023-02-15T13:39:19.020-08:00,tutor,tutor,1,,,
,,,and,2023-02-15T13:39:20.180-08:00,2023-02-15T13:39:21.160-08:00,tutor,tutor,1,,,
,,,"well, it is better to spend as little time as you can on each questions you have to make sure you're spending enough time to actually solve the question correctly. So I would say one t0 2 min is the perfect time period to work on each question.",2023-02-15T13:39:21.640-08:00,2023-02-15T13:39:38.670-08:00,tutor,tutor,1,,,
,,,"and if you have time at the end, of course. Go back and check everything.",2023-02-15T13:39:39.050-08:00,2023-02-15T13:39:44.140-08:00,tutor,tutor,1,,,
,,,Tip number 3. Do your work on paper.,2023-02-15T13:39:48.670-08:00,2023-02-15T13:39:51.630-08:00,tutor,tutor,1,,,
,,,"write down every step, especially on algebra problems, labeling diagrams and drawing pictures can also help wrong answer. Choices often come from common errors and mental calculation. Writing work down drastically reduces the possibility that you will make mistakes.",2023-02-15T13:39:51.730-08:00,2023-02-15T13:40:07.500-08:00,tutor,tutor,1,,,
,,,"Yeah, especially towards the later.",2023-02-15T13:40:08.360-08:00,2023-02-15T13:40:12.920-08:00,tutor,tutor,1,,,
