problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
485.0,,1.0,So my camera.,2023-02-10T13:52:35.800-08:00,2023-02-10T13:52:37.350-08:00,tutor,tutor,1,,,
,,,"No, You show my camera.",2023-02-10T13:52:40.360-08:00,2023-02-10T13:52:41.509-08:00,tutor,tutor,1,,,
,,,"Okay, okay, Hopefully, we can hear me",2023-02-10T13:52:41.760-08:00,2023-02-10T13:52:44.169-08:00,tutor,tutor,1,,,
,,,"sound blah, blah, blah, blah output. Okay, so that's good.",2023-02-10T13:52:46.050-08:00,2023-02-10T13:52:51.859-08:00,tutor,tutor,1,,,
,,,Let me freak and try sharing again.,2023-02-10T13:52:51.930-08:00,2023-02-10T13:52:54.959-08:00,tutor,tutor,1,,,
,,,Share,2023-02-10T13:52:56.510-08:00,2023-02-10T13:52:57.639-08:00,tutor,tutor,1,,,
,,,Google Current.,2023-02-10T13:52:59.090-08:00,2023-02-10T13:52:59.939-08:00,tutor,tutor,1,,,
,,,Sure.,2023-02-10T13:53:02.870-08:00,2023-02-10T13:53:03.730-08:00,tutor,tutor,1,,,
,,,that's the way.,2023-02-10T13:53:10.300-08:00,2023-02-10T13:53:11.100-08:00,tutor,tutor,1,,,
,,,So,2023-02-10T13:53:12.370-08:00,2023-02-10T13:53:13.100-08:00,tutor,tutor,1,,,
,,,this,2023-02-10T13:53:13.130-08:00,2023-02-10T13:53:15.500-08:00,tutor,tutor,1,,,
,,,it's gone.,2023-02-10T13:53:15.580-08:00,2023-02-10T13:53:16.320-08:00,tutor,tutor,1,,,
,,,Don't need that open. Do I want this open?,2023-02-10T13:53:16.780-08:00,2023-02-10T13:53:19.540-08:00,tutor,tutor,1,,,
,,,I need,2023-02-10T13:53:20.120-08:00,2023-02-10T13:53:21.320-08:00,tutor,tutor,1,,,
,,,this open first.,2023-02-10T13:53:21.780-08:00,2023-02-10T13:53:23.660-08:00,tutor,tutor,1,,,
,,,You are sharing.,2023-02-10T13:53:26.580-08:00,2023-02-10T13:53:28.470-08:00,tutor,tutor,1,,,
,,,You are sharing Good!,2023-02-10T13:53:29.190-08:00,2023-02-10T13:53:31.210-08:00,tutor,tutor,1,,,
,,,Yes.,2023-02-10T13:53:31.800-08:00,2023-02-10T13:53:32.970-08:00,tutor,tutor,1,,,
,,,correct. This is all I want to share.,2023-02-10T13:53:34.140-08:00,2023-02-10T13:53:37.249-08:00,tutor,tutor,1,,,
,,,Now i'm going to pull this off and put this on a different,2023-02-10T13:53:38.660-08:00,2023-02-10T13:53:41.849-08:00,tutor,tutor,1,,,
,,,stop sharing,2023-02-10T13:53:43.520-08:00,2023-02-10T13:53:44.410-08:00,tutor,tutor,1,,,
