problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
491.0,,1.0,"Hello, everybody! We're just going to be waiting like one more minute",2023-03-04T08:00:57.780-08:00,2023-03-04T08:01:03.510-08:00,tutor,tutor,1,,,
,,,for everyone to show up.,2023-03-04T08:01:06.240-08:00,2023-03-04T08:01:08.350-08:00,tutor,tutor,1,,,
,,,So how's everybody doing today?,2023-03-04T08:01:12.350-08:00,2023-03-04T08:01:14.190-08:00,tutor,tutor,1,,,
,,,I'm doing good. How are you?,2023-03-04T08:01:18.680-08:00,2023-03-04T08:01:20.230-08:00,student,student A,1,,,
,,,I'm doing pretty good.,2023-03-04T08:01:21.030-08:00,2023-03-04T08:01:22.310-08:00,tutor,tutor,1,,,
,,,Good Saturday.,2023-03-04T08:01:24.440-08:00,2023-03-04T08:01:25.670-08:00,tutor,tutor,1,,,
,,,Alright.,2023-03-04T08:01:50.340-08:00,2023-03-04T08:01:51.130-08:00,tutor,tutor,1,,,
,,,"Hello, [STUDENT_3]!",2023-03-04T08:02:05.340-08:00,2023-03-04T08:02:06.670-08:00,tutor,tutor,1,,,
,,,"And while we're waiting, how about I tell you guys a little bit about 2 around schoolhouse",2023-03-04T08:02:17.910-08:00,2023-03-04T08:02:21.140-08:00,tutor,tutor,1,,,
,,,Anyone who can. Anyone can actually become certified to tutor if you that's something that you find interesting after you gotten done with this course it only takes about 2 h to get certified and finish your training.,2023-03-04T08:02:23.390-08:00,2023-03-04T08:02:34.780-08:00,tutor,tutor,1,,,
,,,"There's over 4,000 people volunteering for around the world. So you've been a great community. So",2023-03-04T08:02:34.860-08:00,2023-03-04T08:02:39.500-08:00,tutor,tutor,1,,,
,,,just knowing if anyone wants to.,2023-03-04T08:02:40.300-08:00,2023-03-04T08:02:42.080-08:00,tutor,tutor,1,,,
,,,They contribute to this as a tutor after you know. With that it's cool to the resources,2023-03-04T08:02:43.180-08:00,2023-03-04T08:02:48.880-08:00,tutor,tutor,1,,,
