problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
489.0,,1.0,"Built and join, because sometimes people come late. So yeah.",2023-02-17T23:29:46.590+00:00,2023-02-17T23:29:49.700+00:00,tutor,tutor,1,,,
,,,"alright, I'm just gonna to you looking up. Sure up 30 s, and then we'll get started.",2023-02-17T23:31:02.500+00:00,2023-02-17T23:31:06.370+00:00,tutor,tutor,1,,,
,,,"Okay, so I think i'm gonna get started now, hopefully, more people will join later.",2023-02-17T23:31:43.030+00:00,2023-02-17T23:31:48.060+00:00,tutor,tutor,1,,,
,,,"So today we're gonna be doing is first like a little review. So we're gonna be talking about 2 0f the problems, and then actually a third one later on from the first practice test. So it's okay. If you didn't take that or you weren't here, i'll still give you time to read it, and then after that we'll be doing another calculator practice test. So if you don't have your calculator with you right now, it might be useful to get it, so that you know ready for later.",2023-02-17T23:31:48.540+00:00,2023-02-17T23:32:14.670+00:00,tutor,tutor,1,,,
,,,and then after that we'll view some of the missed questions and important ones from that practice test like usual. So.,2023-02-17T23:32:15.180+00:00,2023-02-17T23:32:21.930+00:00,tutor,tutor,1,,,
,,,"as a rule of thumb, I guess",2023-02-17T23:32:22.120+00:00,2023-02-17T23:32:25.410+00:00,tutor,tutor,1,,,
,,,"meetings will usually fall a pattern like this. Occasionally there might be something different, like a different schedule or something.",2023-02-17T23:32:25.480+00:00,2023-02-17T23:32:34.370+00:00,tutor,tutor,1,,,
,,,But,2023-02-17T23:32:34.630+00:00,2023-02-17T23:32:35.480+00:00,tutor,tutor,1,,,
,,,"yeah, other than that, it'll be similar to this. So today. I chose 2 problems from the first, someone else to join",2023-02-17T23:32:35.730+00:00,2023-02-17T23:32:42.930+00:00,tutor,tutor,1,,,
,,,1 s.,2023-02-17T23:32:43.550+00:00,2023-02-17T23:32:44.400+00:00,tutor,tutor,1,,,
,,,"Alright Hi, [STUDENT_1]! So we just started, and we're gonna be just reviewing some 2 0f the problems from the first practice test, and i'm gonna be talking about a little bit about trigonometry, because I know that's one of the more difficult topics.",2023-02-17T23:33:06.500+00:00,2023-02-17T23:33:19.940+00:00,tutor,tutor,1,,,
,,,and people might not have as much a familiarity with it. So I just wanna discuss that.,2023-02-17T23:33:20.000+00:00,2023-02-17T23:33:26.740+00:00,tutor,tutor,1,,,
,,,"And then after that we're going to be doing a calculator practice test. So it might be useful to have that with you, and then we'll be reviewing some of the questions from that practice test.",2023-02-17T23:33:27.030+00:00,2023-02-17T23:33:36.250+00:00,tutor,tutor,1,,,
,,,"Alright, so i'm going to give you about 30 s to read this first question. I will zoom in a bit, so you focus on it. and then i'll. We'll discuss it after that.",2023-02-17T23:33:37.530+00:00,2023-02-17T23:33:49.590+00:00,tutor,tutor,1,,,
,,,"Sorry, I think there's someone new joining, but they haven't connected to audio yet. So just give me 1 s.",2023-02-17T23:35:00.710+00:00,2023-02-17T23:35:06.400+00:00,tutor,tutor,1,,,
,,,"0 0kay, hi, [STUDENT_8]. I think your first time here.",2023-02-17T23:35:08.110+00:00,2023-02-17T23:35:13.290+00:00,tutor,tutor,1,,,
,,,"So would you be okay with just introducing yourself and you're saying I your preferred name, and I guess where you're from. or something like that.",2023-02-17T23:35:14.360+00:00,2023-02-17T23:35:24.940+00:00,tutor,tutor,1,,,
,,,"[STUDENT_8], Can you hear me?",2023-02-17T23:35:30.750+00:00,2023-02-17T23:35:32.460+00:00,tutor,tutor,1,,,
