problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
491.0,,1.0,"Hi, Hi! Everyone! Can you guys hear me? Okay.",2023-03-05T12:32:23.600-08:00,2023-03-05T12:32:27.180-08:00,tutor,tutor,1,,,
,,,"Yes, I",2023-03-05T12:32:30.860-08:00,2023-03-05T12:32:32.760-08:00,student,student A,1,,,
,,,Alright? Thank you.,2023-03-05T12:32:32.870-08:00,2023-03-05T12:32:34.100-08:00,tutor,tutor,1,,,
,,,Okay. Let's see.,2023-03-05T12:32:35.600-08:00,2023-03-05T12:32:37.780-08:00,tutor,tutor,1,,,
,,,I think we're starting today with taking a test.,2023-03-05T12:32:38.210-08:00,2023-03-05T12:32:42.940-08:00,tutor,tutor,1,,,
,,,Then you want to set the double chat.,2023-03-05T12:32:43.080-08:00,2023-03-05T12:32:45.180-08:00,tutor,tutor,1,,,
,,,"Yeah, we're starting off with taking practice. Calculator. So if you guys can go to your assessments and find that i'll open it up.",2023-03-05T12:32:49.780-08:00,2023-03-05T12:32:59.610-08:00,tutor,tutor,1,,,
,,,and I believe that's 25. Then.,2023-03-05T12:33:11.320-08:00,2023-03-05T12:33:13.290-08:00,tutor,tutor,1,,,
,,,"Okay. So yeah, I just opened it. I don't i'm going to try to find a better better spot for me to take this, so I don't think I can screen share a timer.",2023-03-05T12:33:21.640-08:00,2023-03-05T12:33:31.800-08:00,tutor,tutor,1,,,
,,,"Actually, I I probably never mind. I probably",2023-03-05T12:33:32.040-08:00,2023-03-05T12:33:35.670-08:00,tutor,tutor,1,,,
,,,all right.,2023-03-05T12:33:48.740-08:00,2023-03-05T12:33:50.470-08:00,tutor,tutor,1,,,
,,,"If you're not ready, Can you say something? Because it's not. I think we could probably start.",2023-03-05T12:33:52.160-08:00,2023-03-05T12:33:57.590-08:00,tutor,tutor,1,,,
,,,"Okay, I'm: going to assume everyone's good. And i'm going to start the time.",2023-03-05T12:34:00.550-08:00,2023-03-05T12:34:03.930-08:00,tutor,tutor,1,,,
,,,Okay.,2023-03-05T12:34:05.210-08:00,2023-03-05T12:34:05.840-08:00,tutor,tutor,1,,,
,,,"Good luck, guys",2023-03-05T12:34:06.570-08:00,2023-03-05T12:34:07.580-08:00,tutor,tutor,1,,,
,,,"All right. Hopefully that went well. If you started when we, when we all started it together, Submit. And if you came a little later. Give yourself",2023-03-05T12:59:21.470-08:00,2023-03-05T12:59:31.880-08:00,tutor,tutor,1,,,
,,,"the extra time that adds up to 25 min, and",2023-03-05T12:59:32.020-08:00,2023-03-05T12:59:37.330-08:00,tutor,tutor,1,,,
,,,then we can join us in our viewing. And if you want to mute me until you finish. So you're not disturbed. That's totally okay.,2023-03-05T12:59:37.920-08:00,2023-03-05T12:59:46.470-08:00,tutor,tutor,1,,,
,,,Just let's look and give me 1 s and check. How long? I'm doing this one,2023-03-05T12:59:46.820-08:00,2023-03-05T12:59:54.340-08:00,tutor,tutor,1,,,
,,,all right. It looks like we're doing this for 25 min. Okay?,2023-03-05T12:59:54.620-08:00,2023-03-05T12:59:59.150-08:00,tutor,tutor,1,,,
,,,"Oh, it looks like there's only been 2 responses. So if you didn't submit it, and you're done.",2023-03-05T13:00:06.030-08:00,2023-03-05T13:00:12.500-08:00,tutor,tutor,1,,,
,,,Please do. And until then I guess we can start reviewing.,2023-03-05T13:00:12.620-08:00,2023-03-05T13:00:18.100-08:00,tutor,tutor,1,,,
,,,Okay?,2023-03-05T13:00:18.530-08:00,2023-03-05T13:00:19.320-08:00,tutor,tutor,1,,,
,,,"Oh, awesome for your responses. Okay.",2023-03-05T13:00:21.090-08:00,2023-03-05T13:00:23.530-08:00,tutor,tutor,1,,,
,3.0,1.0,"I guess we'll start with number 3, and if at any point you can't hear me, well just let me know",2023-03-05T13:00:24.130-08:00,2023-03-05T13:00:31.240-08:00,tutor,tutor,2,,3.0,
,,,alright. And shake buys a band of popcorn and a movie theater it's happening the popcorn during 15 min.,2023-03-05T13:00:32.830-08:00,2023-03-05T13:00:39.470-08:00,tutor,tutor,2,,3.0,
,,,"After eating half the platform, he stops eating for the next 30 min.",2023-03-05T13:00:39.520-08:00,2023-03-05T13:00:43.500-08:00,tutor,tutor,2,,3.0,
,,,then he gradually it's the popcorn until he accidentally spills all of their main platform.,2023-03-05T13:00:43.510-08:00,2023-03-05T13:00:48.100-08:00,tutor,tutor,2,,3.0,
,,,which the following graphs could represent the situation.,2023-03-05T13:00:48.560-08:00,2023-03-05T13:00:51.700-08:00,tutor,tutor,2,,3.0,
,,,"And then, when you check the graph, it's time",2023-03-05T13:00:51.830-08:00,2023-03-05T13:00:54.890-08:00,tutor,tutor,2,,3.0,
,,,"and on the x-axis, and Why, on the I mean amount of popcorn, and that on the y-axis. And I think that that's something that's really important about really all problems on the sat. But in this case, especially, the",2023-03-05T13:00:54.920-08:00,2023-03-05T13:01:10.800-08:00,tutor,tutor,2,,3.0,
,,,"graph problems, is, you want to make sure you know what they're asking for. So you don't want to solve the problem in your asking for one thing, and then you give them another thing.",2023-03-05T13:01:11.070-08:00,2023-03-05T13:01:20.440-08:00,tutor,tutor,2,,3.0,
,,,"So axes are a way that the college board can mess with you a little bit, because if they put something",2023-03-05T13:01:20.460-08:00,2023-03-05T13:01:27.900-08:00,tutor,tutor,2,,3.0,
,,,something on the access that you don't expect I can set a amount of popcorn let's say they put right at which popcorn is eaten.,2023-03-05T13:01:28.110-08:00,2023-03-05T13:01:36.010-08:00,tutor,tutor,2,,3.0,
,,,if you choose a graph that would be for the amount of pop run in the bag.,2023-03-05T13:01:36.310-08:00,2023-03-05T13:01:39.830-08:00,tutor,tutor,2,,3.0,
,,,"You're gonna be wrong. So I would just say, keep a special eye, really. Always make sure. You know what's being asked. But graphs are a place that they can screw you up.",2023-03-05T13:01:40.150-08:00,2023-03-05T13:01:48.540-08:00,tutor,tutor,2,,3.0,
,,,"Okay, so i'm gonna do a quote calling. So",2023-03-05T13:01:48.870-08:00,2023-03-05T13:01:55.230-08:00,tutor,tutor,2,,3.0,
,,,yeah.,2023-03-05T13:01:57.400-08:00,2023-03-05T13:01:57.970-08:00,tutor,tutor,2,,3.0,
,,,"all right, let's see what's one thing that alright. So you're given some information.",2023-03-05T13:01:58.150-08:00,2023-03-05T13:02:03.710-08:00,tutor,tutor,2,,3.0,
,,,"What is something that I what is something, some information that is very easily seen on the graph, and can allow you to cross out some that aren't Correct.",2023-03-05T13:02:03.830-08:00,2023-03-05T13:02:15.700-08:00,tutor,tutor,2,,3.0,
,,,Harvey. Can you tell us,2023-03-05T13:02:15.920-08:00,2023-03-05T13:02:17.540-08:00,tutor,tutor,2,,3.0,
,,,sure what exactly.,2023-03-05T13:02:21.730-08:00,2023-03-05T13:02:24.630-08:00,student,student B,2,,3.0,
,,,"Just what, what, what can you eliminate this? What's one thing that you can look at? The graphs, you know, like these ones have to be wrong, or these ones have to these ones could be right",2023-03-05T13:02:24.850-08:00,2023-03-05T13:02:34.560-08:00,tutor,tutor,2,,3.0,
,,,sure. And so for that,2023-03-05T13:02:34.990-08:00,2023-03-05T13:02:36.860-08:00,student,student B,2,,3.0,
,,,"no sure. So first of all, public service announcement that I actually did you this question before, because I've taken all the college for tasks. So I know all of them. So i'm just gonna say that I think that we can eliminate the ones that have any any increase",2023-03-05T13:02:36.930-08:00,2023-03-05T13:02:55.290-08:00,student,student B,2,,3.0,
,,,"in the graph, like after the initial decrease, because it doesn't say anywhere that it is, basically it's a constant decrease. It's so. It's not supposed to increase anywhere",2023-03-05T13:02:55.530-08:00,2023-03-05T13:03:07.470-08:00,student,student B,2,,3.0,
,,,exactly. There's no point in time when the person goes and refills the problem,2023-03-05T13:03:07.690-08:00,2023-03-05T13:03:11.700-08:00,tutor,tutor,2,,3.0,
,,,so we can get rid of this. Where there's an increase,2023-03-05T13:03:12.840-08:00,2023-03-05T13:03:15.780-08:00,tutor,tutor,2,,3.0,
