problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
495.0,,1.0,Oh.,2023-02-23T13:32:58.270-08:00,2023-02-23T13:32:59.550-08:00,tutor,tutor,1,,,
,,,sorry I click the wrong one.,2023-02-23T13:33:14.290-08:00,2023-02-23T13:33:16.170-08:00,tutor,tutor,1,,,
,,,Cool.,2023-02-23T13:33:18.320-08:00,2023-02-23T13:33:18.890-08:00,tutor,tutor,1,,,
,,,"Yeah, Sorry. I clicked the end lesson not to stop sharing. That's my bad",2023-02-23T13:33:29.140-08:00,2023-02-23T13:33:34.270-08:00,tutor,tutor,1,,,
,,,sorry about that,2023-02-23T13:33:55.880-08:00,2023-02-23T13:33:57.510-08:00,tutor,tutor,1,,,
,,,I click the wrong thing. I tried to just yeah.,2023-02-23T13:33:57.860-08:00,2023-02-23T13:34:01.190-08:00,tutor,tutor,1,,,
,,,"I tried to just Scott nearing, but it",2023-02-23T13:34:01.460-08:00,2023-02-23T13:34:04.140-08:00,tutor,tutor,1,,,
,,,that's the whole.,2023-02-23T13:34:05.180-08:00,2023-02-23T13:34:06.200-08:00,tutor,tutor,1,,,
,,,That's my bed.,2023-02-23T13:34:06.960-08:00,2023-02-23T13:34:08.000-08:00,tutor,tutor,1,,,
,,,If you want to give me like.,2023-02-23T13:34:15.720-08:00,2023-02-23T13:34:18.710-08:00,tutor,tutor,1,,,
,,,Hmm. I'm. Not sure if I can get you to mirror it up. But if you can just write out the answer.,2023-02-23T13:34:23.130-08:00,2023-02-23T13:34:30.300-08:00,tutor,tutor,1,,,
,,,or right at the question that you want me to solve.,2023-02-23T13:34:31.000-08:00,2023-02-23T13:34:33.880-08:00,tutor,tutor,1,,,
,,,"or if you can point t0 0ne in like a past assignment, I could also do that.",2023-02-23T13:34:35.050-08:00,2023-02-23T13:34:40.830-08:00,tutor,tutor,1,,,
,,,Hmm.,2023-02-23T13:34:49.730-08:00,2023-02-23T13:34:50.560-08:00,tutor,tutor,1,,,
,,,First answer which question,2023-02-23T13:34:57.880-08:00,2023-02-23T13:35:00.160-08:00,tutor,tutor,1,,,
,,,"i'm going to move this up, and I'm going to take you. Then, if anybody else. it wants to",2023-02-23T13:35:31.560-08:00,2023-02-23T13:35:37.950-08:00,tutor,tutor,1,,,
,,,put in questions that they,2023-02-23T13:35:38.150-08:00,2023-02-23T13:35:40.170-08:00,tutor,tutor,1,,,
,,,want like clarification on like question types for specific ones like this. I could also do that.,2023-02-23T13:35:40.370-08:00,2023-02-23T13:35:45.790-08:00,tutor,tutor,1,,,
,,,Okay.,2023-02-23T13:35:47.630-08:00,2023-02-23T13:35:48.240-08:00,tutor,tutor,1,,,
,,,Okay.,2023-02-23T13:35:55.600-08:00,2023-02-23T13:35:56.410-08:00,tutor,tutor,1,,,
,,,So with all things. answers It's looking at the slopes and the Y intercepts. So that's the bigger equation.,2023-02-23T13:35:57.960-08:00,2023-02-23T13:36:10.400-08:00,tutor,tutor,1,,,
,,,Well. equation format y equals slope times x plus the y intercepts.,2023-02-23T13:36:10.470-08:00,2023-02-23T13:36:16.860-08:00,tutor,tutor,1,,,
,,,which is like shown. So is M and B is y intercepts,2023-02-23T13:36:17.480-08:00,2023-02-23T13:36:21.630-08:00,tutor,tutor,1,,,
,,,to find that from this you have to reformat it.,2023-02-23T13:36:23.030-08:00,2023-02-23T13:36:28.500-08:00,tutor,tutor,1,,,
,,,Bye.,2023-02-23T13:36:29.710-08:00,2023-02-23T13:36:30.690-08:00,tutor,tutor,1,,,
,-1.0,1.0,"2 y minus 3 x equals negative, 4",2023-02-23T13:36:31.850-08:00,2023-02-23T13:36:35.380-08:00,tutor,tutor,2,,-1.0,
,,,plus 3 x on both sides.,2023-02-23T13:36:35.760-08:00,2023-02-23T13:36:38.200-08:00,tutor,tutor,2,,-1.0,
,,,"and then divided by 2 0n here, so you can get why alone, like it's here.",2023-02-23T13:36:39.380-08:00,2023-02-23T13:36:43.510-08:00,tutor,tutor,2,,-1.0,
,,,Oh.,2023-02-23T13:36:44.860-08:00,2023-02-23T13:36:45.750-08:00,tutor,tutor,2,,-1.0,
,,,to my equals.,2023-02-23T13:36:46.060-08:00,2023-02-23T13:36:48.260-08:00,tutor,tutor,2,,-1.0,
,,,my goodness!,2023-02-23T13:36:48.710-08:00,2023-02-23T13:36:49.750-08:00,tutor,tutor,2,,-1.0,
,,,"Well 3 0ver 2, x. and then negative 2.",2023-02-23T13:36:51.590-08:00,2023-02-23T13:36:55.880-08:00,tutor,tutor,2,,-1.0,
,,,So then you can find M is 3 0ver 2. He is negative to.,2023-02-23T13:36:57.030-08:00,2023-02-23T13:37:03.180-08:00,tutor,tutor,2,,-1.0,
,,,so you can tell by the slope. It's a positive slope.,2023-02-23T13:37:04.300-08:00,2023-02-23T13:37:07.610-08:00,tutor,tutor,2,,-1.0,
,,,"and it's a negative right intercept, which is the",2023-02-23T13:37:08.930-08:00,2023-02-23T13:37:12.790-08:00,tutor,tutor,2,,-1.0,
,,,you go with that?,2023-02-23T13:37:15.079-08:00,2023-02-23T13:37:16.050-08:00,tutor,tutor,2,,-1.0,
,,,What for?,2023-02-23T13:37:23.270-08:00,2023-02-23T13:37:25.000-08:00,tutor,tutor,2,,-1.0,
,-1.0,1.0,At the bottom of the hill is still 15 feet above the ground. so that's like the Y intercept. and it's the front on the,2023-02-23T13:37:35.140-08:00,2023-02-23T13:37:46.400-08:00,tutor,tutor,3,,-1.0,
,,,"so. Then that's the slope, because it's rising, that much",2023-02-23T13:37:47.710-08:00,2023-02-23T13:37:51.500-08:00,tutor,tutor,3,,-1.0,
