problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
485.0,,1.0,"Hi, there, everyone! We're going to",2023-02-13T14:58:53.810-08:00,2023-02-13T14:58:56.960-08:00,tutor,tutor,1,,,
,,,"Alright, let me know if you guys can't hear me or send me a thing. But we are just going to go ahead and get started with our first session of",2023-02-13T15:00:20.800-08:00,2023-02-13T15:00:30.870-08:00,tutor,tutor,1,,,
,,,Thank you for,2023-02-13T15:00:34.090-08:00,2023-02-13T15:00:36.190-08:00,tutor,tutor,1,,,
,,,"being here, and we're gonna start with a little bit of an introduction. So",2023-02-13T15:00:36.870-08:00,2023-02-13T15:00:41.710-08:00,tutor,tutor,1,,,
,,,okay.,2023-02-13T15:00:53.820-08:00,2023-02-13T15:00:54.570-08:00,tutor,tutor,1,,,
,,,we're going to start with a couple of introductions just so that we can all get to know each other.,2023-02-13T15:00:56.210-08:00,2023-02-13T15:01:00.700-08:00,tutor,tutor,1,,,
,,,"I will start by saying, Well, my name is",2023-02-13T15:01:00.930-08:00,2023-02-13T15:01:06.250-08:00,tutor,tutor,1,,,
,,,what I hope for. This is a. and I don't have the,2023-02-13T15:01:06.970-08:00,2023-02-13T15:01:20.770-08:00,tutor,tutor,1,,,
,,,"I am from Texas, which is also where I currently at. and my hope for this S. It is to",2023-02-13T15:01:20.860-08:00,2023-02-13T15:01:28.740-08:00,tutor,tutor,1,,,
,,,have you all,2023-02-13T15:01:28.990-08:00,2023-02-13T15:01:33.760-08:00,tutor,tutor,1,,,
,,,"to just happen, and and most of things. So",2023-02-13T15:01:33.790-08:00,2023-02-13T15:01:38.480-08:00,tutor,tutor,1,,,
,,,"we're just going to call on someone to introduce themselves and send me their phone, so that I hope for the",2023-02-13T15:01:40.190-08:00,2023-02-13T15:01:55.500-08:00,tutor,tutor,1,,,
,,,if you can introduce yourself.,2023-02-13T15:01:55.890-08:00,2023-02-13T15:01:57.320-08:00,tutor,tutor,1,,,
,,,"Hi! My name is [STUDENT_3]. I'm from Michigan, and my hope for the boot camp is to increase my math",2023-02-13T15:01:58.560-08:00,2023-02-13T15:02:04.799-08:00,student,student A,1,,,
,,,sat score.,2023-02-13T15:02:06.120-08:00,2023-02-13T15:02:07.360-08:00,student,student A,1,,,
,,,Hmm.,2023-02-13T15:02:08.260-08:00,2023-02-13T15:02:09.120-08:00,tutor,tutor,1,,,
,,,"Maybe, Julian, i'll get for you next.",2023-02-13T15:02:11.159-08:00,2023-02-13T15:02:13.480-08:00,tutor,tutor,1,,,
,,,and my hope is to also raise my math score on the,2023-02-13T15:02:17.960-08:00,2023-02-13T15:02:22.040-08:00,student,student B,1,,,
,,,[STUDENT_7].,2023-02-13T15:02:26.040-08:00,2023-02-13T15:02:27.470-08:00,student,student B,1,,,
,,,"Hey? My name is [STUDENT_7] I'm. From North Carolina. and my hope is to get a higher mask, or",2023-02-13T15:02:28.480-08:00,2023-02-13T15:02:35.120-08:00,student,student C,1,,,
,,,let me know if I can I any of your names around?,2023-02-13T15:02:37.630-08:00,2023-02-13T15:02:42.380-08:00,tutor,tutor,1,,,
,,,"Yeah, it's",2023-02-13T15:02:43.840-08:00,2023-02-13T15:02:51.600-08:00,student,student D,1,,,
,,,I better Mass core.,2023-02-13T15:02:51.640-08:00,2023-02-13T15:02:52.860-08:00,student,student D,1,,,
,,,Yeah.,2023-02-13T15:02:53.750-08:00,2023-02-13T15:02:54.420-08:00,tutor,tutor,1,,,
,,,"i'm terrible remembering names, but so i'm sorry if I forget that.",2023-02-13T15:02:58.100-08:00,2023-02-13T15:03:03.670-08:00,tutor,tutor,1,,,
,,,"Hi, My name is Shinnitia I'm. From North Carolina, and my hope for the boot camp is to increase my sat score.",2023-02-13T15:03:08.100-08:00,2023-02-13T15:03:14.970-08:00,student,student E,1,,,
,,,"My name's Ferita I'm from Texas, and My hope is to boost my sat score.",2023-02-13T15:03:19.240-08:00,2023-02-13T15:03:24.590-08:00,student,student E,1,,,
,,,And okay.,2023-02-13T15:03:28.040-08:00,2023-02-13T15:03:29.390-08:00,tutor,tutor,1,,,
,,,"Hi! My name is [STUDENT_4]. I'm from Staten Island, and I hope to do the math",2023-02-13T15:03:30.960-08:00,2023-02-13T15:03:36.600-08:00,student,student F,1,,,
,,,faster.,2023-02-13T15:03:36.700-08:00,2023-02-13T15:03:37.600-08:00,student,student F,1,,,
,,,Hmm.,2023-02-13T15:03:38.100-08:00,2023-02-13T15:03:39.080-08:00,tutor,tutor,1,,,
,,,"So it sounds like we all have pretty similar hopes for this to to get a higher score on the SMS, which is really what i'm gonna help with. So it's good. They were on the same page.",2023-02-13T15:03:40.270-08:00,2023-02-13T15:03:50.790-08:00,tutor,tutor,1,,,
,,,and that's just a quick introduction to school bus. It's a a nonprofit connecting students around the world for free to.,2023-02-13T15:03:51.500-08:00,2023-02-13T15:04:00.740-08:00,tutor,tutor,1,,,
,,,"I don't get paid for this, and",2023-02-13T15:04:00.770-08:00,2023-02-13T15:04:03.320-08:00,tutor,tutor,1,,,
,,,i'm kind of happy that I don't because I love volunteering and just having out people my age.,2023-02-13T15:04:03.510-08:00,2023-02-13T15:04:10.040-08:00,tutor,tutor,1,,,
,,,It was founded by Saul Khan,2023-02-13T15:04:10.160-08:00,2023-02-13T15:04:26.820-08:00,tutor,tutor,1,,,
,,,Math or any children session using this site. So i'm a little bit,2023-02-13T15:04:26.960-08:00,2023-02-13T15:04:34.080-08:00,tutor,tutor,1,,,
