problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
491.0,,1.0,We don't,2023-03-05T13:30:20.460-08:00,2023-03-05T13:30:22.940-08:00,tutor,tutor,1,,,
,,,"all right also now. So welcome to week, 4 day one on your back.",2023-03-05T13:33:00.580-08:00,2023-03-05T13:33:04.280-08:00,tutor,tutor,1,,,
,,,I think you get here.,2023-03-05T13:33:04.360-08:00,2023-03-05T13:33:05.550-08:00,tutor,tutor,1,,,
,,,Thank you for the question. So what is the subject of,2023-03-05T13:33:10.180-08:00,2023-03-05T13:33:14.690-08:00,tutor,tutor,1,,,
,,,"Oh, any?",2023-03-05T13:33:22.530-08:00,2023-03-05T13:33:23.550-08:00,tutor,tutor,1,,,
,,,"Oh, okay?",2023-03-05T13:33:25.710-08:00,2023-03-05T13:33:26.540-08:00,tutor,tutor,1,,,
,,,"Oh, I don't want to.",2023-03-05T13:33:28.540-08:00,2023-03-05T13:33:30.620-08:00,tutor,tutor,1,,,
,,,Is that better?,2023-03-05T13:33:48.210-08:00,2023-03-05T13:33:49.170-08:00,tutor,tutor,1,,,
,,,All right?,2023-03-05T13:33:51.870-08:00,2023-03-05T13:33:52.530-08:00,tutor,tutor,1,,,
,,,So,2023-03-05T13:33:54.120-08:00,2023-03-05T13:33:55.450-08:00,tutor,tutor,1,,,
,,,here's your walking question. So what is the subject topic that deeply interests you?,2023-03-05T13:33:56.500-08:00,2023-03-05T13:34:01.340-08:00,tutor,tutor,1,,,
,,,I can start,2023-03-05T13:34:04.630-08:00,2023-03-05T13:34:06.110-08:00,student,student A,1,,,
,,,okay.,2023-03-05T13:34:06.520-08:00,2023-03-05T13:34:07.400-08:00,tutor,tutor,1,,,
,,,I think,2023-03-05T13:34:08.940-08:00,2023-03-05T13:34:10.660-08:00,student,student A,1,,,
,,,genetics and like I don't know. Biology in general is really interesting.,2023-03-05T13:34:11.550-08:00,2023-03-05T13:34:17.430-08:00,student,student A,1,,,
,,,I'll popcorn it to [STUDENT_1].,2023-03-05T13:34:19.350-08:00,2023-03-05T13:34:22.510-08:00,student,student A,1,,,
,,,"I actually am very interested in genetics, also thinking about being a genetic counselor when I grew up. So that's that's pretty cool. I'll pop it to Liliana.",2023-03-05T13:34:24.730-08:00,2023-03-05T13:34:34.420-08:00,student,student B,1,,,
,,,"I'm most interested in like designing stuff, and like marketing and stuff I don't know i'll popcorn to.",2023-03-05T13:34:36.100-08:00,2023-03-05T13:34:45.980-08:00,student,student C,1,,,
,,,That's it.,2023-03-05T13:34:46.110-08:00,2023-03-05T13:34:47.080-08:00,student,student C,1,,,
,,,I'm interested in Mike money and stuff like that.,2023-03-05T13:34:50.300-08:00,2023-03-05T13:34:55.920-08:00,student,student D,1,,,
,,,I'll do it to [STUDENT_5],2023-03-05T13:34:56.930-08:00,2023-03-05T13:35:00.030-08:00,student,student D,1,,,
,,,[STUDENT_5].,2023-03-05T13:35:11.510-08:00,2023-03-05T13:35:12.600-08:00,tutor,tutor,1,,,
,,,Maybe you can hear something. I want it to let us go.,2023-03-05T13:35:16.070-08:00,2023-03-05T13:35:18.730-08:00,tutor,tutor,1,,,
,,,"Oh, sorry, sorry, my my good.",2023-03-05T13:35:19.280-08:00,2023-03-05T13:35:21.610-08:00,student,student E,1,,,
,,,"Oh. a subject or topic that deeply interest me is probably like just like not really sure, like. I guess I like learning about the environment. I think it's pretty interesting.",2023-03-05T13:35:23.000-08:00,2023-03-05T13:35:37.160-08:00,student,student E,1,,,
,,,Does anyone not want? I guess i'll go with [STUDENT_8].,2023-03-05T13:35:41.750-08:00,2023-03-05T13:35:46.820-08:00,student,student E,1,,,
,,,I'm really interested in animals,2023-03-05T13:35:47.710-08:00,2023-03-05T13:35:50.270-08:00,student,student F,1,,,
,,,and has anybody else out there?,2023-03-05T13:35:51.490-08:00,2023-03-05T13:35:53.570-08:00,student,student F,1,,,
,,,I think,2023-03-05T13:35:57.640-08:00,2023-03-05T13:35:58.760-08:00,tutor,tutor,1,,,
,,,Tang Hasn't gotten,2023-03-05T13:36:00.430-08:00,2023-03-05T13:36:03.390-08:00,tutor,tutor,1,,,
,,,and it,2023-03-05T13:36:03.510-08:00,2023-03-05T13:36:04.350-08:00,tutor,tutor,1,,,
,,,"Okay, i'll popcorn up to the time. I guess.",2023-03-05T13:36:04.360-08:00,2023-03-05T13:36:07.440-08:00,student,student F,1,,,
,,,One subject,2023-03-05T13:36:07.970-08:00,2023-03-05T13:36:09.950-08:00,student,student G,1,,,
,,,"it would be physics, I guess. I'm kind of interested in.",2023-03-05T13:36:10.040-08:00,2023-03-05T13:36:14.289-08:00,student,student G,1,,,
,,,and when we have nervous show stuff like that.,2023-03-05T13:36:14.580-08:00,2023-03-05T13:36:17.280-08:00,student,student G,1,,,
,,,One subject that interest me is probably like data analytics or data. Science,2023-03-05T13:36:22.669-08:00,2023-03-05T13:36:29.200-08:00,student,student H,1,,,
,,,is that it has everyone gone. I just got here. So,2023-03-05T13:36:31.140-08:00,2023-03-05T13:36:34.970-08:00,student,student H,1,,,
,,,okay.,2023-03-05T13:36:37.080-08:00,2023-03-05T13:36:37.950-08:00,tutor,tutor,1,,,
,,,"okay, yeah, one of that one subject, and it just means just like technology, I guess.",2023-03-05T13:36:39.370-08:00,2023-03-05T13:36:44.640-08:00,student,student I,1,,,
,,,"alright, cool. So",2023-03-05T13:36:45.990-08:00,2023-03-05T13:36:48.410-08:00,tutor,tutor,1,,,
,,,"you could also to your own School house. If you guys wanted to. It's you should have to get a certified in like the course, and then takes about 2 h to finish to get certified.",2023-03-05T13:36:49.010-08:00,2023-03-05T13:36:59.040-08:00,tutor,tutor,1,,,
,,,and then you can,2023-03-05T13:36:59.050-08:00,2023-03-05T13:37:00.320-08:00,tutor,tutor,1,,,
,,,host and like any session. Basically i'm sure if I didn't like.,2023-03-05T13:37:00.340-08:00,2023-03-05T13:37:04.270-08:00,tutor,tutor,1,,,
,,,"it's just this sat one. And yeah, it's pretty cool. You get service hours for doing it.",2023-03-05T13:37:04.350-08:00,2023-03-05T13:37:09.790-08:00,tutor,tutor,1,,,
,,,"and is the curriculum for today, so i'll take a calculator practice. I'll review it, and then more charity group practice. So",2023-03-05T13:37:12.740-08:00,2023-03-05T13:37:21.770-08:00,tutor,tutor,1,,,
,,,if you guys want to head over to the assessments to,2023-03-05T13:37:22.470-08:00,2023-03-05T13:37:26.220-08:00,tutor,tutor,1,,,
,,,should now be able to see practice tests. B. 2 Calculator.,2023-03-05T13:37:31.660-08:00,2023-03-05T13:37:37.570-08:00,tutor,tutor,1,,,
,,,You see it.,2023-03-05T13:37:41.630-08:00,2023-03-05T13:37:42.520-08:00,tutor,tutor,1,,,
,,,Yes.,2023-03-05T13:37:44.280-08:00,2023-03-05T13:37:45.550-08:00,student,student A,1,,,
,,,"all right. I have 25 min, so",2023-03-05T13:37:45.790-08:00,2023-03-05T13:37:49.520-08:00,tutor,tutor,1,,,
,,,is everyone ready?,2023-03-05T13:37:55.650-08:00,2023-03-05T13:37:56.760-08:00,tutor,tutor,1,,,
,,,Alright. Then you will begin.,2023-03-05T13:38:01.490-08:00,2023-03-05T13:38:03.510-08:00,tutor,tutor,1,,,
,,,You have 5 min remaining.,2023-03-05T13:58:04.490-08:00,2023-03-05T13:58:06.360-08:00,tutor,tutor,1,,,
,,,all right. Now your time is up.,2023-03-05T14:03:05.820-08:00,2023-03-05T14:03:07.750-08:00,tutor,tutor,1,,,
,,,So make sure to submit if you haven't already,2023-03-05T14:03:09.300-08:00,2023-03-05T14:03:11.510-08:00,tutor,tutor,1,,,
,,,see like over the most mis questions now.,2023-03-05T14:03:15.370-08:00,2023-03-05T14:03:19.350-08:00,tutor,tutor,1,,,
,,,So let me pull it up.,2023-03-05T14:03:19.620-08:00,2023-03-05T14:03:21.730-08:00,tutor,tutor,1,,,
,1.0,1.0,That's the first one. Go over his question,2023-03-05T14:03:43.580-08:00,2023-03-05T14:03:46.530-08:00,tutor,tutor,2,,1.0,
,,,and 2 yeah.,2023-03-05T14:03:46.750-08:00,2023-03-05T14:03:48.680-08:00,tutor,tutor,2,,1.0,
,,,So,2023-03-05T14:03:54.020-08:00,2023-03-05T14:03:55.690-08:00,tutor,tutor,2,,1.0,
,,,"it's a text message plan has a 5, $55 per month, or 200 messages. plus or cents, plus",2023-03-05T14:04:01.180-08:00,2023-03-05T14:04:09.060-08:00,tutor,tutor,2,,1.0,
,,,25 cents for each additional message.,2023-03-05T14:04:09.230-08:00,2023-03-05T14:04:11.710-08:00,tutor,tutor,2,,1.0,
,,,so that month. So it was a fought fee. $5 per month.,2023-03-05T14:04:11.910-08:00,2023-03-05T14:04:20.650-08:00,tutor,tutor,2,,1.0,
,,,then,2023-03-05T14:04:24.990-08:00,2023-03-05T14:04:26.600-08:00,tutor,tutor,2,,1.0,
,,,"up to 100 messages, then",2023-03-05T14:04:28.030-08:00,2023-03-05T14:04:30.200-08:00,tutor,tutor,2,,1.0,
,,,first hunches. I'll be,2023-03-05T14:04:30.280-08:00,2023-03-05T14:04:32.290-08:00,tutor,tutor,2,,1.0,
,,,"$5, because that's the amount you spent, I guess. for the 100 messages. So it should be. It could be either a or B,",2023-03-05T14:04:32.370-08:00,2023-03-05T14:04:39.910-08:00,tutor,tutor,2,,1.0,
,,,because that's one that I was like a flat,2023-03-05T14:04:41.500-08:00,2023-03-05T14:04:43.410-08:00,tutor,tutor,2,,1.0,
,,,"from 0 to 100, and after that the cost would go up. It wouldn't make sense to go down. So yeah.",2023-03-05T14:04:43.580-08:00,2023-03-05T14:04:50.900-08:00,tutor,tutor,2,,1.0,
,,,any questions on that.,2023-03-05T14:04:52.770-08:00,2023-03-05T14:04:54.700-08:00,tutor,tutor,2,,1.0,
,12.0,1.0,"All right, let's go to question 12 and",2023-03-05T14:05:04.100-08:00,2023-03-05T14:05:08.260-08:00,tutor,tutor,3,,12.0,
,,,okay,2023-03-05T14:05:17.870-08:00,2023-03-05T14:05:19.010-08:00,tutor,tutor,3,,12.0,
,,,focus on sale for 40% of the traditional price. The other price of the book was $18. What was the original,2023-03-05T14:05:19.030-08:00,2023-03-05T14:05:26.630-08:00,tutor,tutor,3,,12.0,
,,,press? The book?,2023-03-05T14:05:26.660-08:00,2023-03-05T14:05:28.030-08:00,tutor,tutor,3,,12.0,
,,,"So why Don't, we get someone to explain how you did this one?",2023-03-05T14:05:28.290-08:00,2023-03-05T14:05:30.910-08:00,tutor,tutor,3,,12.0,
,,,"You can just say, equation point 6 X is equal to 18.",2023-03-05T14:05:34.520-08:00,2023-03-05T14:05:39.510-08:00,student,student G,3,,12.0,
,,,"You do 18 divided by 26 to get X,",2023-03-05T14:05:39.840-08:00,2023-03-05T14:05:43.520-08:00,student,student G,3,,12.0,
,,,"which is, you see?",2023-03-05T14:05:43.670-08:00,2023-03-05T14:05:44.900-08:00,student,student G,3,,12.0,
,,,"Yeah, alright, cool",2023-03-05T14:05:45.230-08:00,2023-03-05T14:05:46.650-08:00,tutor,tutor,3,,12.0,
,,,any questions on that.,2023-03-05T14:05:47.550-08:00,2023-03-05T14:05:49.560-08:00,tutor,tutor,3,,12.0,
,,,"Oh, all right.",2023-03-05T14:05:52.200-08:00,2023-03-05T14:05:53.180-08:00,tutor,tutor,3,,12.0,
,,,Let's go to,2023-03-05T14:05:54.340-08:00,2023-03-05T14:05:57.530-08:00,tutor,tutor,3,,12.0,
,,,"14, then.",2023-03-05T14:05:58.190-08:00,2023-03-05T14:05:59.540-08:00,tutor,tutor,3,,12.0,
,,,That's when you see the,2023-03-05T14:06:08.640-08:00,2023-03-05T14:06:10.320-08:00,tutor,tutor,3,,12.0,
,,,graph. So,2023-03-05T14:06:10.550-08:00,2023-03-05T14:06:12.480-08:00,tutor,tutor,3,,12.0,
,,,"Oh, the following, which is the coast, the ratio of this whole number of insects in all 3 colonies in week, 8 compared to the time commercial treatment. So week, 8 is the final.",2023-03-05T14:06:12.770-08:00,2023-03-05T14:06:23.720-08:00,tutor,tutor,3,,12.0,
,,,"So that's like 20, plus 10 plus 50, so 20,",2023-03-05T14:06:25.250-08:00,2023-03-05T14:06:32.710-08:00,tutor,tutor,3,,12.0,
,,,"which is 80,",2023-03-05T14:06:34.270-08:00,2023-03-05T14:06:36.260-08:00,tutor,tutor,3,,12.0,
,,,and initial treatment is,2023-03-05T14:06:36.310-08:00,2023-03-05T14:06:38.880-08:00,tutor,tutor,3,,12.0,
,,,"a plus 60, plus so",2023-03-05T14:06:39.490-08:00,2023-03-05T14:06:44.100-08:00,tutor,tutor,3,,12.0,
,,,take 200. So then.,2023-03-05T14:06:47.980-08:00,2023-03-05T14:06:50.190-08:00,tutor,tutor,3,,12.0,
,,,what's the ratio of?,2023-03-05T14:06:50.790-08:00,2023-03-05T14:06:53.180-08:00,tutor,tutor,3,,12.0,
,,,"So it's 80 to 200, and",2023-03-05T14:06:54.350-08:00,2023-03-05T14:06:57.770-08:00,tutor,tutor,3,,12.0,
,,,which is,2023-03-05T14:06:58.360-08:00,2023-03-05T14:07:00.360-08:00,tutor,tutor,3,,12.0,
,,,2 to,2023-03-05T14:07:01.360-08:00,2023-03-05T14:07:02.230-08:00,tutor,tutor,3,,12.0,
,,,5. J: Answer.,2023-03-05T14:07:02.250-08:00,2023-03-05T14:07:04.900-08:00,tutor,tutor,3,,12.0,
,,,Yeah.,2023-03-05T14:07:05.160-08:00,2023-03-05T14:07:05.920-08:00,tutor,tutor,3,,12.0,
,,,"So you probably for these kind of questions questions you can just estimate, and you should get the answer. Still",2023-03-05T14:07:07.120-08:00,2023-03-05T14:07:11.660-08:00,tutor,tutor,3,,12.0,
,,,any questions on that.,2023-03-05T14:07:12.900-08:00,2023-03-05T14:07:14.610-08:00,tutor,tutor,3,,12.0,
,,,alright.,2023-03-05T14:07:20.420-08:00,2023-03-05T14:07:21.920-08:00,tutor,tutor,3,,12.0,
,,,the 2,2023-03-05T14:07:22.080-08:00,2023-03-05T14:07:23.480-08:00,tutor,tutor,3,,12.0,
,16.0,1.0,16. So,2023-03-05T14:07:32.490-08:00,2023-03-05T14:07:34.700-08:00,tutor,tutor,4,,16.0,
,,,in,2023-03-05T14:07:37.900-08:00,2023-03-05T14:07:39.200-08:00,tutor,tutor,4,,16.0,
,,,"2,015, the population of City X and City Y,",2023-03-05T14:07:40.010-08:00,2023-03-05T14:07:44.110-08:00,tutor,tutor,4,,16.0,
,,,"we're equal from 12 to 2,000. 12,015",2023-03-05T14:07:44.140-08:00,2023-03-05T14:07:48.110-08:00,tutor,tutor,4,,16.0,
,,,"The population of cdx increase by 20% in population. You see, Why do you give it. 10%, Its population of cdx, with 120,027, was by place to do. Why, in 2,010.",2023-03-05T14:07:48.260-08:00,2023-03-05T14:07:59.390-08:00,tutor,tutor,4,,16.0,
,,,So,2023-03-05T14:07:59.850-08:00,2023-03-05T14:08:01.800-08:00,tutor,tutor,4,,16.0,
,,,so this equation you could do,2023-03-05T14:08:07.040-08:00,2023-03-05T14:08:09.580-08:00,tutor,tutor,4,,16.0,
,,,"because they're equal in 2,015. You should",2023-03-05T14:08:09.730-08:00,2023-03-05T14:08:12.210-08:00,tutor,tutor,4,,16.0,
