problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
492.0,,1.0,I don't like the band,2023-03-04T06:52:04.300-08:00,2023-03-04T06:52:05.690-08:00,tutor,tutor,1,,,
,,,it is.,2023-03-04T06:52:06.720-08:00,2023-03-04T06:52:09.090-08:00,tutor,tutor,1,,,
,,,"I said, Sorry I'm just recording. But anyway.",2023-03-04T06:52:09.200-08:00,2023-03-04T06:52:11.600-08:00,tutor,tutor,1,,,
,,,"we're just gonna wait a couple of more minutes for everyone else, and i'll start the class at around 803.",2023-03-04T07:00:31.680-08:00,2023-03-04T07:00:39.030-08:00,tutor,tutor,1,,,
,,,"Okay, I guess we can start with the 2 questions. I'll share my screen.",2023-03-04T07:01:55.690-08:00,2023-03-04T07:02:01.990-08:00,tutor,tutor,1,,,
,,,"Okay, Can you guys see my screen?",2023-03-04T07:02:04.740-08:00,2023-03-04T07:02:07.080-08:00,tutor,tutor,1,,,
,,,Yeah. Okay. Okay. Yeah.,2023-03-04T07:02:11.760-08:00,2023-03-04T07:02:14.200-08:00,tutor,tutor,1,,,
,,,"Another question. How are we feeling going in your test it? Share something that you learn during the boot camp that you'll be taking into testing. Okay, [STUDENT_1].",2023-03-04T07:02:14.950-08:00,2023-03-04T07:02:26.020-08:00,tutor,tutor,1,,,
,,,"I feel better about the test, and I would say that I learned",2023-03-04T07:02:28.680-08:00,2023-03-04T07:02:34.230-08:00,student,student A,1,,,
,,,had a more quickly solve the problems than just doing it step by step.,2023-03-04T07:02:34.560-08:00,2023-03-04T07:02:40.570-08:00,student,student A,1,,,
,,,Yeah.,2023-03-04T07:02:41.450-08:00,2023-03-04T07:02:42.210-08:00,tutor,tutor,1,,,
,,,"yeah, Great. Since we just joined. Okay, please, you want to share it. That's fine. But if you don't that's understandable. You only have one session.",2023-03-04T07:02:42.980-08:00,2023-03-04T07:02:51.990-08:00,tutor,tutor,1,,,
,,,Yeah.,2023-03-04T07:02:54.070-08:00,2023-03-04T07:02:54.770-08:00,tutor,tutor,1,,,
,,,"I so far, I guess I've learned just",2023-03-04T07:02:56.860-08:00,2023-03-04T07:03:01.820-08:00,student,student B,1,,,
,,,because I haven't taken a math class in 3 years. And so this is this review for me.,2023-03-04T07:03:01.850-08:00,2023-03-04T07:03:07.150-08:00,student,student B,1,,,
,,,"And so, yeah, I was trying to. I remember everything I learned, and it's been helpful so far. So yeah.",2023-03-04T07:03:07.380-08:00,2023-03-04T07:03:13.150-08:00,student,student B,1,,,
,,,"yeah, yeah. Great [STUDENT_4].",2023-03-04T07:03:14.000-08:00,2023-03-04T07:03:16.290-08:00,tutor,tutor,1,,,
,,,"Yeah. So for me, I learned some new techniques that I haven't used before. So I felt like that like made a solving problems go quicker.",2023-03-04T07:03:16.800-08:00,2023-03-04T07:03:24.870-08:00,student,student C,1,,,
,,,"Yeah, that's good.",2023-03-04T07:03:26.750-08:00,2023-03-04T07:03:29.230-08:00,tutor,tutor,1,,,
,,,"I'm: Glad you guys actually took something from me which is surprising. But okay, let's move on to the schedule. We have one more person.",2023-03-04T07:03:29.350-08:00,2023-03-04T07:03:40.370-08:00,tutor,tutor,1,,,
,,,"Okay, yeah, this is very important. I give the city like 3 times and on. In my first time I was just overloaded on caffeine because I just had a cup of coffee, and I had like 8 teaspoons of ground coffee in one mug, so I was very jittery going into the test.",2023-03-04T07:03:40.620-08:00,2023-03-04T07:04:00.180-08:00,tutor,tutor,1,,,
,,,"So I just say this before I test it. I just don't don't study at all. I think that's the best way to do things, because when you go into the test. You're not burnt out of the questions. So that is my advice. But you guys can do it that what? You will.",2023-03-04T07:04:00.180-08:00,2023-03-04T07:04:17.770-08:00,tutor,tutor,1,,,
,,,"Okay. So we have another practice. This is our last one. It's going to be from practice to 10 again, and it's going to be the rest of the paper that you guys were attempting yesterday. Okay.",2023-03-04T07:04:19.580-08:00,2023-03-04T07:04:30.670-08:00,tutor,tutor,1,,,
,,,So the assessments gonna be in the same position on the assessment. Stop enable,2023-03-04T07:04:30.740-08:00,2023-03-04T07:04:39.000-08:00,tutor,tutor,1,,,
,,,responses. 1 s,2023-03-04T07:04:39.550-08:00,2023-03-04T07:04:41.860-08:00,tutor,tutor,1,,,
,,,and up with the time.,2023-03-04T07:04:43.050-08:00,2023-03-04T07:04:44.440-08:00,tutor,tutor,1,,,
,,,"Okay, once you guys have access, just let me know, and i'll sorry, Timer.",2023-03-04T07:04:55.770-08:00,2023-03-04T07:05:00.870-08:00,tutor,tutor,1,,,
,,,Just give me a thumbs up Once you guys have access to the assignment.,2023-03-04T07:05:01.130-08:00,2023-03-04T07:05:05.390-08:00,tutor,tutor,1,,,
,,,"Okay, [STUDENT_1] has it",2023-03-04T07:05:26.660-08:00,2023-03-04T07:05:29.120-08:00,tutor,tutor,1,,,
,,,his sham? Do you have access to the assignment?,2023-03-04T07:05:29.130-08:00,2023-03-04T07:05:32.520-08:00,tutor,tutor,1,,,
,,,"Yes, [STUDENT_4], is it [STUDENT_3] and his John? Just let me know once you guys have it.",2023-03-04T07:05:37.580-08:00,2023-03-04T07:05:42.450-08:00,tutor,tutor,1,,,
,,,Where do you find that on the site?,2023-03-04T07:05:43.600-08:00,2023-03-04T07:05:46.160-08:00,student,student B,1,,,
,,,"Yeah, it's just. I press the schoolhouse benefit as well. They'll bring you to the stage",2023-03-04T07:05:46.910-08:00,2023-03-04T07:05:52.490-08:00,tutor,tutor,1,,,
