problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
485.0,,1.0,Hello.,2023-02-11T14:49:23.460-08:00,2023-02-11T14:49:24.640-08:00,tutor,tutor,1,,,
,,,Okay?,2023-02-11T14:49:29.200-08:00,2023-02-11T14:49:29.960-08:00,tutor,tutor,1,,,
,,,Hello.,2023-02-11T14:49:30.060-08:00,2023-02-11T14:49:30.920-08:00,student,student A,1,,,
,,,Yeah. Okay. Congratulations You the first one.,2023-02-11T14:49:32.780-08:00,2023-02-11T14:49:37.700-08:00,tutor,tutor,1,,,
,,,Thank you.,2023-02-11T14:49:38.090-08:00,2023-02-11T14:49:39.310-08:00,student,student A,1,,,
,,,Still 10 min. So we can just wait.,2023-02-11T14:49:40.400-08:00,2023-02-11T14:49:43.530-08:00,tutor,tutor,1,,,
,,,Hello.,2023-02-11T14:53:55.150-08:00,2023-02-11T14:53:56.160-08:00,tutor,tutor,1,,,
,,,huh? Okay.,2023-02-11T14:53:58.000-08:00,2023-02-11T14:53:59.680-08:00,tutor,tutor,1,,,
,,,"Okay. 6 0'clock. We're still waiting on like 4 people, so I guess we can just wait.",2023-02-11T15:00:05.890-08:00,2023-02-11T15:00:15.120-08:00,tutor,tutor,1,,,
,,,"Oh, you guys should probably turn your cameras on if you're comfortable with that.",2023-02-11T15:00:19.600-08:00,2023-02-11T15:00:25.310-08:00,tutor,tutor,1,,,
,,,Yeah.,2023-02-11T15:00:41.900-08:00,2023-02-11T15:00:42.790-08:00,tutor,tutor,1,,,
,,,"I guess. Let's wait a few more minutes, and then we can start.",2023-02-11T15:01:09.390-08:00,2023-02-11T15:01:12.810-08:00,tutor,tutor,1,,,
,,,Oh.,2023-02-11T15:01:16.190-08:00,2023-02-11T15:01:16.930-08:00,tutor,tutor,1,,,
,,,and if you guys can please turn on your cameras.,2023-02-11T15:01:26.730-08:00,2023-02-11T15:01:30.940-08:00,tutor,tutor,1,,,
,,,Okay.,2023-02-11T15:01:48.800-08:00,2023-02-11T15:01:49.900-08:00,tutor,tutor,1,,,
,,,right?,2023-02-11T15:05:43.890-08:00,2023-02-11T15:05:44.460-08:00,tutor,tutor,1,,,
,,,Alright. Yes.,2023-02-11T15:05:46.540-08:00,2023-02-11T15:05:48.180-08:00,tutor,tutor,1,,,
,,,about,2023-02-11T15:05:55.240-08:00,2023-02-11T15:05:55.930-08:00,tutor,tutor,1,,,
,,,Oh.,2023-02-11T15:05:57.390-08:00,2023-02-11T15:05:57.960-08:00,tutor,tutor,1,,,
,,,yeah.,2023-02-11T15:06:03.820-08:00,2023-02-11T15:06:04.450-08:00,tutor,tutor,1,,,
,,,you know. Yeah. Have a,2023-02-11T15:06:12.490-08:00,2023-02-11T15:06:15.280-08:00,tutor,tutor,1,,,
,,,alright.,2023-02-11T15:06:28.770-08:00,2023-02-11T15:06:29.660-08:00,tutor,tutor,1,,,
,,,Okay.,2023-02-11T15:06:36.260-08:00,2023-02-11T15:06:37.610-08:00,tutor,tutor,1,,,
,,,So this is a S 80 boot camp.,2023-02-11T15:06:39.660-08:00,2023-02-11T15:06:44.300-08:00,tutor,tutor,1,,,
