problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
489.0,,1.0,All right.,2023-02-19T19:00:40.990+00:00,2023-02-19T19:00:42.910+00:00,tutor,tutor,1,,,
,,,"I know, like 4 min for some of your triggle in here since I opened the meeting a little later today.",2023-02-19T19:00:42.950+00:00,2023-02-19T19:00:50.250+00:00,tutor,tutor,1,,,
,,,and then we'll start on.,2023-02-19T19:00:50.680+00:00,2023-02-19T19:00:52.250+00:00,tutor,tutor,1,,,
,,,"I said, we today",2023-02-19T19:00:53.030+00:00,2023-02-19T19:00:55.070+00:00,tutor,tutor,1,,,
,,,all right. I think everyone is in here now. So we get started. Today is,2023-02-19T19:01:31.580+00:00,2023-02-19T19:01:37.600+00:00,tutor,tutor,1,,,
,,,"week, 2 day. One.",2023-02-19T19:01:37.720+00:00,2023-02-19T19:01:39.880+00:00,tutor,tutor,1,,,
,,,"Yeah, I believe so is our second week of this. So first, we have just a",2023-02-19T19:01:40.230+00:00,2023-02-19T19:01:45.820+00:00,tutor,tutor,1,,,
,,,welcome question of what is your favorite subject at school?,2023-02-19T19:01:45.870+00:00,2023-02-19T19:01:51.090+00:00,tutor,tutor,1,,,
,,,"You can either just say it out loud, or just put in the chat.",2023-02-19T19:01:51.220+00:00,2023-02-19T19:01:55.520+00:00,tutor,tutor,1,,,
,,,I don't care which,2023-02-19T19:01:55.730+00:00,2023-02-19T19:01:57.210+00:00,tutor,tutor,1,,,
,,,"alright, cool. It seems like we have a lot of sort of STEM people here a lot, you guys, said Calc. It's it's interesting.",2023-02-19T19:03:05.180+00:00,2023-02-19T19:03:13.230+00:00,tutor,tutor,1,,,
,,,So,2023-02-19T19:03:13.459+00:00,2023-02-19T19:03:15.190+00:00,tutor,tutor,1,,,
,,,we'll go to the next side now.,2023-02-19T19:03:15.329+00:00,2023-02-19T19:03:18.270+00:00,tutor,tutor,1,,,
,,,so,2023-02-19T19:03:18.510+00:00,2023-02-19T19:03:19.570+00:00,tutor,tutor,1,,,
,,,"just what is Schoolhouse? So after this kind of it's done. You can still utilize School House for no, I. C. T. Or math of you. They have one on one live help sessions from 4 t0 7 Pm. In Pacific time, where you can get like one on one help with your math homework.",2023-02-19T19:03:19.700+00:00,2023-02-19T19:03:38.300+00:00,tutor,tutor,1,,,
,,,"So you know that's just like you guys can need help with. For example, you could use that. And then there's also like these, like sort of small group of you sessions like the boot camps that we're doing, you know, right now, with like math, college advice, test, prep.",2023-02-19T19:03:38.300+00:00,2023-02-19T19:03:53.330+00:00,tutor,tutor,1,,,
,,,and other stuff.,2023-02-19T19:03:54.400+00:00,2023-02-19T19:03:55.780+00:00,tutor,tutor,1,,,
