problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
492.0,,1.0,Okay.,2023-03-09T14:29:11.140-08:00,2023-03-09T14:29:11.750-08:00,tutor,tutor,1,,,
,,,Okay.,2023-03-09T14:29:58.660-08:00,2023-03-09T14:29:59.470-08:00,tutor,tutor,1,,,
,,,Okay?,2023-03-09T14:30:04.890-08:00,2023-03-09T14:30:05.490-08:00,tutor,tutor,1,,,
,,,"Well, [STUDENT_2] looks like, really, I'm gonna give it a couple more minutes for anyone else who is going to come to show up.",2023-03-09T14:30:27.340-08:00,2023-03-09T14:30:34.220-08:00,tutor,tutor,1,,,
,,,"I will start around 333,",2023-03-09T14:30:34.410-08:00,2023-03-09T14:30:36.250-08:00,tutor,tutor,1,,,
,,,All right. Hello! We're gonna get started here. I right about now.,2023-03-09T14:33:13.400-08:00,2023-03-09T14:33:17.790-08:00,tutor,tutor,1,,,
,,,"So hello! To the both of you who are here. Thank you for coming on this, which is our last date of we're gonna jump right into the welcome slides and get started.",2023-03-09T14:33:17.840-08:00,2023-03-09T14:33:30.790-08:00,tutor,tutor,1,,,
,,,My computer Doesn't: the same. It's completely dial.,2023-03-09T14:33:38.320-08:00,2023-03-09T14:33:41.830-08:00,tutor,tutor,1,,,
,,,Yeah.,2023-03-09T14:33:45.050-08:00,2023-03-09T14:33:46.100-08:00,tutor,tutor,1,,,
,,,Alright. So,2023-03-09T14:33:50.340-08:00,2023-03-09T14:33:52.240-08:00,tutor,tutor,1,,,
,,,"at this welcome slides all about Prep for test day for the start out. How are you all feeling going into test day, each of you would share a great location. How do you feel about the upcoming cast? I assume it's a common stuff.",2023-03-09T14:33:53.880-08:00,2023-03-09T14:34:06.790-08:00,tutor,tutor,1,,,
,,,I'm more confident than I was before the boot camp. Definitely.,2023-03-09T14:34:10.970-08:00,2023-03-09T14:34:15.250-08:00,student,student A,1,,,
,,,That's i'm glad that's,2023-03-09T14:34:15.870-08:00,2023-03-09T14:34:18.970-08:00,tutor,tutor,1,,,
,,,really good to hear. And,2023-03-09T14:34:19.050-08:00,2023-03-09T14:34:21.440-08:00,tutor,tutor,1,,,
,,,"I believe in you guys, I'm confident with you as well.",2023-03-09T14:34:21.510-08:00,2023-03-09T14:34:24.470-08:00,tutor,tutor,1,,,
,,,"So talking about forming for the test, it's really important to get a good night to see the night before.",2023-03-09T14:34:27.370-08:00,2023-03-09T14:34:33.360-08:00,tutor,tutor,1,,,
,,,I need a healthy breakfast. We actually are just studying this my psychology class on on motivation.,2023-03-09T14:34:33.550-08:00,2023-03-09T14:34:40.150-08:00,tutor,tutor,1,,,
,,,"And there's different levels of you may have heard of masses, hierarchy of needs and different levels of needs and food is one of the most important ones. So if you go into the test, you'll be thinking about your hunger rather than a test.",2023-03-09T14:34:40.190-08:00,2023-03-09T14:34:52.920-08:00,tutor,tutor,1,,,
,,,So be sure to eat before the test and bring us back if you need to.,2023-03-09T14:34:52.950-08:00,2023-03-09T14:34:56.790-08:00,tutor,tutor,1,,,
,,,"as on the slide go through, because a good brand, not not necessarily right.",2023-03-09T14:34:57.780-08:00,2023-03-09T14:35:02.600-08:00,tutor,tutor,1,,,
,,,"The other one is. Get to the test site early, if you can.",2023-03-09T14:35:02.620-08:00,2023-03-09T14:35:05.580-08:00,tutor,tutor,1,,,
,,,"I know personally something I struggle with is, I look around a lot in the test room, or whatever I get into, like a new classroom or something. I'll look around a lot. Look at all the posters and things, and try to take as much information about the classroom as I can",2023-03-09T14:35:07.250-08:00,2023-03-09T14:35:19.390-08:00,tutor,tutor,1,,,
,,,"what it gets distracting. So if you get there early and get that out of the way that helps, and then you have to calling it a little bit",2023-03-09T14:35:19.700-08:00,2023-03-09T14:35:26.180-08:00,tutor,tutor,1,,,
,,,to some breathing.,2023-03-09T14:35:26.290-08:00,2023-03-09T14:35:27.790-08:00,tutor,tutor,1,,,
,,,Khan Academy has some great tips. If you look up Khan Academy tips for today.,2023-03-09T14:35:28.270-08:00,2023-03-09T14:35:32.930-08:00,tutor,tutor,1,,,
,,,There's a bunch of tips to help you,2023-03-09T14:35:33.760-08:00,2023-03-09T14:35:36.850-08:00,tutor,tutor,1,,,
,,,for the night before during and all that. I can check that out. If you're worried about what to do on the day itself.,2023-03-09T14:35:37.930-08:00,2023-03-09T14:35:44.480-08:00,tutor,tutor,1,,,
,,,"That being said today, we have our final practice test. This will be a longer practice test half hour.",2023-03-09T14:35:45.630-08:00,2023-03-09T14:35:52.300-08:00,tutor,tutor,1,,,
,,,"your Review said Test, and then we'll wrap up",2023-03-09T14:35:52.340-08:00,2023-03-09T14:35:56.040-08:00,tutor,tutor,1,,,
,,,"as part of what we're doing with practice test. If any of you have the specific top, if you'd like to go over. I'm happy to go over any specific topics before.",2023-03-09T14:35:56.200-08:00,2023-03-09T14:36:03.710-08:00,tutor,tutor,1,,,
,,,"So yeah, let's get into the test itself. If you would all pull up, Test B 3. You are allowed to use your calculator on this test.",2023-03-09T14:36:05.800-08:00,2023-03-09T14:36:14.600-08:00,tutor,tutor,1,,,
,,,I will get the 30 min time or up and screen shared.,2023-03-09T14:36:15.630-08:00,2023-03-09T14:36:19.130-08:00,tutor,tutor,1,,,
,,,"Awesome, awesome.",2023-03-09T14:36:36.840-08:00,2023-03-09T14:36:38.630-08:00,tutor,tutor,1,,,
,,,"Alright, is anyone not yet in the test",2023-03-09T14:36:50.260-08:00,2023-03-09T14:36:54.270-08:00,tutor,tutor,1,,,
,,,"alright, you know your time. It starts now. Good luck. Yeah, 39.",2023-03-09T14:36:58.040-08:00,2023-03-09T14:37:03.300-08:00,tutor,tutor,1,,,
,,,And that is time. Everyone. Please submit your assessment.,2023-03-09T15:07:07.670-08:00,2023-03-09T15:07:11.340-08:00,tutor,tutor,1,,,
,,,and we will get started with.,2023-03-09T15:07:12.240-08:00,2023-03-09T15:07:14.560-08:00,tutor,tutor,1,,,
,,,It's a minute sometimes. All right. There we go.,2023-03-09T15:07:25.930-08:00,2023-03-09T15:07:30.530-08:00,tutor,tutor,1,,,
,,,So for storms. How did everyone feel with today's assessment? Our last assessment,2023-03-09T15:07:30.610-08:00,2023-03-09T15:07:36.020-08:00,tutor,tutor,1,,,
,,,on the right end questions at the end were hard.,2023-03-09T15:07:40.390-08:00,2023-03-09T15:07:43.830-08:00,student,student A,1,,,
,,,Yeah.,2023-03-09T15:07:44.970-08:00,2023-03-09T15:07:45.770-08:00,tutor,tutor,1,,,
,,,very confusing.,2023-03-09T15:07:46.130-08:00,2023-03-09T15:07:47.750-08:00,student,student B,1,,,
,,,"Yeah. I was looking at the testimony. As it was, we're definitely confusing.",2023-03-09T15:07:49.250-08:00,2023-03-09T15:07:54.370-08:00,tutor,tutor,1,,,
,,,Alright.,2023-03-09T15:08:11.570-08:00,2023-03-09T15:08:12.200-08:00,tutor,tutor,1,,,
,,,So,2023-03-09T15:08:15.140-08:00,2023-03-09T15:08:20.060-08:00,tutor,tutor,1,,,
,,,yeah.,2023-03-09T15:08:24.780-08:00,2023-03-09T15:08:25.530-08:00,tutor,tutor,1,,,
,,,right,2023-03-09T15:08:32.460-08:00,2023-03-09T15:08:33.120-08:00,tutor,tutor,1,,,
,19.0,1.0,so starting out with question. One,2023-03-09T15:08:34.340-08:00,2023-03-09T15:08:37.650-08:00,tutor,tutor,2,,19.0,
,,,in the equation above a is a constant.,2023-03-09T15:08:43.400-08:00,2023-03-09T15:08:47.020-08:00,tutor,tutor,2,,19.0,
,,,The graph of the equation in the Xy playing is a parabola. Which of the following is true about the Iraq. So this question we're looking for 2 things we're looking for as maximum or minimum of those 3 or negative 3.,2023-03-09T15:08:47.240-08:00,2023-03-09T15:09:02.010-08:00,tutor,tutor,2,,19.0,
,,,So we'll tell maximum a minimum of 5. The slope. So,2023-03-09T15:09:02.660-08:00,2023-03-09T15:09:07.080-08:00,tutor,tutor,2,,19.0,
