problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
488.0,,1.0,"Hey, guys",2023-02-16T13:27:01.840-08:00,2023-02-16T13:27:03.300-08:00,tutor,tutor,1,,,
,,,starting in a few minutes. Everybody has a good day today.,2023-02-16T13:27:05.740-08:00,2023-02-16T13:27:11.170-08:00,tutor,tutor,1,,,
,,,It's welcome. Atlanta.,2023-02-16T13:28:38.190-08:00,2023-02-16T13:28:40.120-08:00,tutor,tutor,1,,,
,,,You weren't here on,2023-02-16T13:28:41.950-08:00,2023-02-16T13:28:44.230-08:00,tutor,tutor,1,,,
,,,Tuesday. So we had a opening exercise where everyone says,2023-02-16T13:28:44.550-08:00,2023-02-16T13:28:49.950-08:00,tutor,tutor,1,,,
,,,"what their name is, where they from, and one goal that they have for the sat class. So if you want to share. You can go ahead",2023-02-16T13:28:51.310-08:00,2023-02-16T13:28:59.650-08:00,tutor,tutor,1,,,
,,,and introduce yourself.,2023-02-16T13:28:59.700-08:00,2023-02-16T13:29:02.060-08:00,tutor,tutor,1,,,
,,,"Oh, it's almost 4 30. So",2023-02-16T13:29:27.010-08:00,2023-02-16T13:29:30.560-08:00,tutor,tutor,1,,,
,,,"oh, I was just saying, Welcome, everyone and Ilana",2023-02-16T13:29:34.240-08:00,2023-02-16T13:29:37.840-08:00,tutor,tutor,1,,,
,,,on Tuesday when we started. We had a introductory exercise where everyone said their name,2023-02-16T13:29:37.950-08:00,2023-02-16T13:29:44.520-08:00,tutor,tutor,1,,,
,,,"where they're from, and one goal that they had for this boot camp. So I was saying, if you'd like to share can go ahead and tell us.",2023-02-16T13:29:44.530-08:00,2023-02-16T13:29:51.560-08:00,tutor,tutor,1,,,
,,,"Oh, i'm sorry I had to go get some paper, but my name is Elona.",2023-02-16T13:29:51.740-08:00,2023-02-16T13:29:57.130-08:00,student,student A,1,,,
