problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
485.0,,1.0,"Hello, everyone! It's so nice to see you guys. I'm just going to wait another 2 min. Just so that everyone can trickle in, and then we'll get started",2023-02-12T12:01:58.630-08:00,2023-02-12T12:02:07.360-08:00,tutor,tutor,1,,,
,,,"all right. I think we're just waiting on one other person, so we can go ahead and get started Firstly, Thank you all for joining. I'm so excited to start tutoring you guys, and helping out in whatever way I can",2023-02-12T12:03:22.100-08:00,2023-02-12T12:03:35.280-08:00,tutor,tutor,1,,,
,,,again. My name is Ria.,2023-02-12T12:03:35.290-08:00,2023-02-12T12:03:37.370-08:00,tutor,tutor,1,,,
,,,and let's get started. So we're just gonna start out with a quick orientation.,2023-02-12T12:03:37.570-08:00,2023-02-12T12:03:42.710-08:00,tutor,tutor,1,,,
,,,Let me pull it up,2023-02-12T12:03:44.450-08:00,2023-02-12T12:03:46.210-08:00,tutor,tutor,1,,,
,,,all right. Can you guys see my screen?,2023-02-12T12:03:47.840-08:00,2023-02-12T12:03:49.910-08:00,tutor,tutor,1,,,
,,,Yes.,2023-02-12T12:03:52.710-08:00,2023-02-12T12:03:55.090-08:00,student,student A,1,,,
,,,"all right. So again, welcome.",2023-02-12T12:03:55.480-08:00,2023-02-12T12:03:57.530-08:00,tutor,tutor,1,,,
,,,"We're going to do a quick little icebreaker activity to start off. So i'm gonna have one of you guys start when you introduce yourself to say what Your name is where you're from, and what you hope to accomplish through this sat Boot count.",2023-02-12T12:03:58.960-08:00,2023-02-12T12:04:13.330-08:00,tutor,tutor,1,,,
,,,So who wants to get started?,2023-02-12T12:04:13.750-08:00,2023-02-12T12:04:15.670-08:00,tutor,tutor,1,,,
,,,"I mean, I can.",2023-02-12T12:04:18.370-08:00,2023-02-12T12:04:19.930-08:00,student,student A,1,,,
,,,"Okay, sure go ahead.",2023-02-12T12:04:19.940-08:00,2023-02-12T12:04:21.540-08:00,tutor,tutor,1,,,
,,,My name is Jacob I'm. From Virginia.,2023-02-12T12:04:21.990-08:00,2023-02-12T12:04:25.240-08:00,tutor,tutor,1,,,
,,,and my hope for the Sat Boot camp is to improve my score from my last Ps. It,2023-02-12T12:04:25.740-08:00,2023-02-12T12:04:31.370-08:00,student,student A,1,,,
,,,very nice. It's nice to meet you. And can you call on someone else to go next?,2023-02-12T12:04:31.980-08:00,2023-02-12T12:04:37.200-08:00,tutor,tutor,1,,,
,,,[STUDENT_5]? Can you go next?,2023-02-12T12:04:38.220-08:00,2023-02-12T12:04:41.010-08:00,tutor,tutor,1,,,
,,,"Yeah. My name is [STUDENT_5] I'm. From Boone Grove, Indiana. And my hope of this at T. Vu camp is to get a really really high school in the Safety.",2023-02-12T12:04:41.330-08:00,2023-02-12T12:04:49.200-08:00,student,student B,1,,,
,,,"That's very nice. I love. How passionate you are! All right, and calling someone else",2023-02-12T12:04:50.200-08:00,2023-02-12T12:04:54.290-08:00,tutor,tutor,1,,,
,,,Eastern 5 here you should go.,2023-02-12T12:04:55.340-08:00,2023-02-12T12:04:58.330-08:00,tutor,tutor,1,,,
,,,"I i'm ace. I'm, from Indiana, and my hope for the sat group campus to get a higher score for my last score.",2023-02-12T12:05:00.240-08:00,2023-02-12T12:05:09.140-08:00,student,student C,1,,,
,,,You guys are all over the place. Wow!,2023-02-12T12:05:09.850-08:00,2023-02-12T12:05:12.740-08:00,tutor,tutor,1,,,
,,,All right. Who's the next one calling someone else.,2023-02-12T12:05:13.020-08:00,2023-02-12T12:05:15.420-08:00,tutor,tutor,1,,,
,,,[STUDENT_9].,2023-02-12T12:05:16.580-08:00,2023-02-12T12:05:17.410-08:00,student,student C,1,,,
,,,"Hi! I'm grace. I'm from Hershey, Pennsylvania, and my hope for the sat boot. Camp is just improve my scores, and do a little bit better.",2023-02-12T12:05:19.480-08:00,2023-02-12T12:05:27.710-08:00,student,student D,1,,,
,,,"Perfect, very nice nice to meet you the next person.",2023-02-12T12:05:28.390-08:00,2023-02-12T12:05:32.420-08:00,tutor,tutor,1,,,
,,,Bella.,2023-02-12T12:05:39.330-08:00,2023-02-12T12:05:40.150-08:00,student,student D,1,,,
,,,"Hi! I'm Bella. I'm also from Indiana, and my hope is just improve my scores as well.",2023-02-12T12:05:41.150-08:00,2023-02-12T12:05:47.360-08:00,student,student E,1,,,
,,,Very nice.,2023-02-12T12:05:48.990-08:00,2023-02-12T12:05:50.090-08:00,tutor,tutor,1,,,
,,,and then.,2023-02-12T12:05:50.780-08:00,2023-02-12T12:05:52.230-08:00,student,student E,1,,,
,,,Sonia.,2023-02-12T12:05:55.980-08:00,2023-02-12T12:05:56.990-08:00,student,student E,1,,,
,,,"it's senior. But hi! My name is senior, I'm. From New York, and my hope for the sat Boot Camp is to just improve my math score from the last sat",2023-02-12T12:05:58.670-08:00,2023-02-12T12:06:09.470-08:00,student,student F,1,,,
