problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
492.0,,1.0,"Hey, guys, Sorry I'm joining a little late. I had some issues with getting home from school.",2023-03-09T16:07:15.310-08:00,2023-03-09T16:07:20.900-08:00,tutor,tutor,1,,,
,,,"But yeah, here we are. Is the last session in this series. The test is in a couple of days. So I hope you guys are feeling good. How is everybody feeling about that? If you guys want to unmute or put something in the chat. Just how you're feeling confidence-wise for the sat this coming. Saturday.",2023-03-09T16:07:21.290-08:00,2023-03-09T16:07:38.350-08:00,tutor,tutor,1,,,
,,,Pretty good. I'm. Glad to hear that,2023-03-09T16:07:52.000-08:00,2023-03-09T16:07:54.250-08:00,tutor,tutor,1,,,
,,,"the way this session is going to look is first we're gonna go ahead and do that last practice test that'll be practice Test B 3, and then we'll go through that, you know we'll. We'll go over our answers. We'll look at some problems and then we'll go over some, you know, as we wrap it up. We will.",2023-03-09T16:07:56.230-08:00,2023-03-09T16:08:14.690-08:00,tutor,tutor,1,,,
,,,"We will go through some sort of last minute tips that I have for you guys for your test. I can give you some my experiences, just some general things we can talk about just how we're feeling in general, and that'll be at the end.",2023-03-09T16:08:15.340-08:00,2023-03-09T16:08:27.030-08:00,tutor,tutor,1,,,
,,,So right now.,2023-03-09T16:08:27.050-08:00,2023-03-09T16:08:28.710-08:00,tutor,tutor,1,,,
,,,"if i'm not mistaken. Let me just make sure. Yeah, we we're gonna do practice. Test B 3. That's actually a 30 min test with calculator. So please get your calculators out. I'm going to screen share the timer. I think you all know how to find the test by now.",2023-03-09T16:08:29.670-08:00,2023-03-09T16:08:43.730-08:00,tutor,tutor,1,,,
,,,"But yeah, so",2023-03-09T16:08:44.650-08:00,2023-03-09T16:08:46.620-08:00,tutor,tutor,1,,,
,,,i'm going to screen share my timer. The test is active accepting responses. You can go ahead and get started now.,2023-03-09T16:08:47.390-08:00,2023-03-09T16:08:52.880-08:00,tutor,tutor,1,,,
,,,So good luck and,2023-03-09T16:08:52.950-08:00,2023-03-09T16:08:55.020-08:00,tutor,tutor,1,,,
,,,put anything in the chat if you have any issues. I'm going to go ahead and mute myself. So,2023-03-09T16:08:55.190-08:00,2023-03-09T16:08:59.550-08:00,tutor,tutor,1,,,
,,,go ahead and get started,2023-03-09T16:08:59.580-08:00,2023-03-09T16:09:00.800-08:00,tutor,tutor,1,,,
,,,all right. All that wraps up the test. So please go ahead and submit.,2023-03-09T16:42:02.250-08:00,2023-03-09T16:42:06.530-08:00,tutor,tutor,1,,,
,,,"What? What? What are your thoughts after that? That was a bit of a longer section than we usually do, even though just know on the normal, you know, Sat. That section is quite a bit longer. But",2023-03-09T16:42:10.160-08:00,2023-03-09T16:42:21.070-08:00,tutor,tutor,1,,,
,,,"yeah, what are your thoughts?",2023-03-09T16:42:22.440-08:00,2023-03-09T16:42:23.880-08:00,tutor,tutor,1,,,
,,,I only see 3 of you have submitted.,2023-03-09T16:42:37.120-08:00,2023-03-09T16:42:39.120-08:00,tutor,tutor,1,,,
,,,So please get on that submitting if,2023-03-09T16:42:40.290-08:00,2023-03-09T16:42:43.120-08:00,tutor,tutor,1,,,
,,,"it was a bit harder in your opinion. Yeah, I mean, this was the third part. So you know, it's Practices B 3. So it was like the third part, so the the questions generally do get harder as you go deeper in the section. So like last time. That was the beginning of the section. So that's probably why this one felt a little harder and that's normal. I mean it's gonna it'll.",2023-03-09T16:42:44.960-08:00,2023-03-09T16:43:02.730-08:00,tutor,tutor,1,,,
,,,The the later questions are always going to be harder than the questions at the beginning.,2023-03-09T16:43:03.010-08:00,2023-03-09T16:43:07.680-08:00,tutor,tutor,1,,,
,,,"Guys, it'd be great if you could all just submit. Don't worry about whatever you know. If you've finished or not, because we're just gonna go over the questions. Anyway. It doesn't this won't account for anything, really, because it's just.",2023-03-09T16:43:08.410-08:00,2023-03-09T16:43:19.110-08:00,tutor,tutor,1,,,
,,,"I just want to see your you guys responses, so we can see which questions to address.",2023-03-09T16:43:19.150-08:00,2023-03-09T16:43:22.840-08:00,tutor,tutor,1,,,
,,,Yeah. So general consensus was that it was a bit harder that that makes total sense. So don't feel bad about that. That's just literally just the fact that the,2023-03-09T16:43:24.510-08:00,2023-03-09T16:43:34.030-08:00,tutor,tutor,1,,,
,,,the second half of the test is harder than the first half of the test always.,2023-03-09T16:43:34.050-08:00,2023-03-09T16:43:37.980-08:00,tutor,tutor,1,,,
,,,So yeah. So i'm gonna as always share my screen.,2023-03-09T16:43:38.440-08:00,2023-03-09T16:43:42.840-08:00,tutor,tutor,1,,,
,,,Let's do this here.,2023-03-09T16:43:44.180-08:00,2023-03-09T16:43:46.130-08:00,tutor,tutor,1,,,
,,,"See, how do I want to do this? I'll do a Pdf.",2023-03-09T16:44:00.380-08:00,2023-03-09T16:44:02.720-08:00,tutor,tutor,1,,,
,,,"Okay, Are there any questions that you guys want to go over particularly",2023-03-09T16:44:11.890-08:00,2023-03-09T16:44:16.390-08:00,tutor,tutor,1,,,
,,,because we will try to get to all of them that you know all the tough ones. So,2023-03-09T16:44:20.060-08:00,2023-03-09T16:44:23.590-08:00,tutor,tutor,1,,,
,,,"yeah, so",2023-03-09T16:44:23.630-08:00,2023-03-09T16:44:25.660-08:00,tutor,tutor,1,,,
,,,i'm gonna start off with question.,2023-03-09T16:44:25.830-08:00,2023-03-09T16:44:28.800-08:00,tutor,tutor,1,,,
,,,Sorry. So websites act a little bit.,2023-03-09T16:44:30.650-08:00,2023-03-09T16:44:33.430-08:00,tutor,tutor,1,,,
,22.0,1.0,"Okay, we're going to start off with Question 4,",2023-03-09T16:44:34.880-08:00,2023-03-09T16:44:37.590-08:00,tutor,tutor,2,,22.0,
,,,"9 and 2021, 22. Okay. The whoops. My screen was not shared.",2023-03-09T16:44:44.460-08:00,2023-03-09T16:44:51.080-08:00,tutor,tutor,2,,22.0,
,,,"The first year Eleanor organized a fundraising event. She invited 30 people for each of the next 5 years she invited double the number of people she had invited the previous year. If F. Of N. Is the number of people that it to a fundraiser. And years after Eleanor began organizing the event, which of the following statements best describes the function as",2023-03-09T16:44:55.840-08:00,2023-03-09T16:45:12.700-08:00,tutor,tutor,2,,22.0,
,,,okay.,2023-03-09T16:45:13.050-08:00,2023-03-09T16:45:14.810-08:00,tutor,tutor,2,,22.0,
,,,What do we think?,2023-03-09T16:45:15.080-08:00,2023-03-09T16:45:16.170-08:00,tutor,tutor,2,,22.0,
,,,"What are some? Maybe some answers. We could actually just eliminate straight off the bat, just based on a keyword in the answer.",2023-03-09T16:45:18.910-08:00,2023-03-09T16:45:25.230-08:00,tutor,tutor,2,,22.0,
,,,the decreasing ones. So which ones are those,2023-03-09T16:45:28.060-08:00,2023-03-09T16:45:32.020-08:00,tutor,tutor,2,,22.0,
,,,A. And C:,2023-03-09T16:45:34.410-08:00,2023-03-09T16:45:35.880-08:00,student,student A,2,,22.0,
,,,Yeah. And,2023-03-09T16:45:35.950-08:00,2023-03-09T16:45:37.200-08:00,tutor,tutor,2,,22.0,
,,,"I I mean, that's because we just know that they're definitely not decreasing. It's. It tells you it doubles every year, so they're going to be increasing, so we can",2023-03-09T16:45:37.320-08:00,2023-03-09T16:45:45.160-08:00,tutor,tutor,2,,22.0,
,,,get rid of those.,2023-03-09T16:45:45.230-08:00,2023-03-09T16:45:46.690-08:00,tutor,tutor,2,,22.0,
,,,"And now we're just left to B and D, so does somebody want to explain their logic for which one they pick.",2023-03-09T16:45:46.910-08:00,2023-03-09T16:45:52.620-08:00,tutor,tutor,2,,22.0,
,,,"Okay, Well.",2023-03-09T16:46:23.330-08:00,2023-03-09T16:46:25.050-08:00,tutor,tutor,2,,22.0,
,,,"let me just ask you what's the difference between a linear linear growth, so in increasing linear function and exponential growth. What's the difference between those 2 concepts",2023-03-09T16:46:26.170-08:00,2023-03-09T16:46:34.620-08:00,tutor,tutor,2,,22.0,
,,,like? If i'm going to draw a,2023-03-09T16:46:35.840-08:00,2023-03-09T16:46:37.390-08:00,tutor,tutor,2,,22.0,
,,,"a graph? I'm: i'm going to draw 2 separate graphs, right? One of them is this.",2023-03-09T16:46:37.680-08:00,2023-03-09T16:46:42.240-08:00,tutor,tutor,2,,22.0,
,,,i'm one of them. So as it goes up like that way. and the other is,2023-03-09T16:46:42.860-08:00,2023-03-09T16:46:47.570-08:00,tutor,tutor,2,,22.0,
,,,as it goes up that way which one's linear and which one's exponential,2023-03-09T16:46:50.610-08:00,2023-03-09T16:46:53.520-08:00,tutor,tutor,2,,22.0,
,,,later is the last one.,2023-03-09T16:47:01.530-08:00,2023-03-09T16:47:03.010-08:00,student,student B,2,,22.0,
,,,"Yeah, linear is the left. One",2023-03-09T16:47:03.030-08:00,2023-03-09T16:47:05.160-08:00,tutor,tutor,2,,22.0,
,,,exponential grows faster than linear,2023-03-09T16:47:05.550-08:00,2023-03-09T16:47:07.620-08:00,tutor,tutor,2,,22.0,
,,,"essentially. What linear means is you're adding the same amount every time. So every year you would add the same amount of people, if it were linear so like for every one year increase, you would add, plus whatever amount of people, plus x amount of people. And then, you know, for another year",2023-03-09T16:47:08.040-08:00,2023-03-09T16:47:24.440-08:00,tutor,tutor,2,,22.0,
,,,"you would add another X, and it would be the same every time. Where X is just some number now exponential is different exponential. Your what you're adding is actually based on what you already have. So in this case here, since we know that",2023-03-09T16:47:25.240-08:00,2023-03-09T16:47:39.140-08:00,tutor,tutor,2,,22.0,
,,,"if for exponential growth, the number of people that you're adding grows every time. So in this case.",2023-03-09T16:47:39.360-08:00,2023-03-09T16:47:45.300-08:00,tutor,tutor,2,,22.0,
,,,"since it, since the number of people doubles every year. So first it's 30 right.",2023-03-09T16:47:45.350-08:00,2023-03-09T16:47:50.150-08:00,tutor,tutor,2,,22.0,
,,,"done it 60,",2023-03-09T16:47:51.300-08:00,2023-03-09T16:47:52.670-08:00,tutor,tutor,2,,22.0,
,,,"then it's 120,",2023-03-09T16:47:54.530-08:00,2023-03-09T16:47:56.010-08:00,tutor,tutor,2,,22.0,
,,,and then it it keeps going?,2023-03-09T16:47:57.570-08:00,2023-03-09T16:47:59.210-08:00,tutor,tutor,2,,22.0,
,,,"Does that sound like linear or exponential to us, based on what those 2 concepts are",2023-03-09T16:47:59.220-08:00,2023-03-09T16:48:04.460-08:00,tutor,tutor,2,,22.0,
,,,exponential?,2023-03-09T16:48:10.780-08:00,2023-03-09T16:48:12.240-08:00,student,student A,2,,22.0,
,,,"Yeah, exactly exponential. And why is that",2023-03-09T16:48:12.410-08:00,2023-03-09T16:48:15.130-08:00,tutor,tutor,2,,22.0,
,,,"it's like it's doubling it, but not like adding the same amount of people like it's like",2023-03-09T16:48:17.110-08:00,2023-03-09T16:48:22.570-08:00,student,student A,2,,22.0,
,,,"putting it up to like the second power, like each number",2023-03-09T16:48:22.960-08:00,2023-03-09T16:48:31.100-08:00,tutor,tutor,2,,22.0,
,,,30 times,2023-03-09T16:48:31.660-08:00,2023-03-09T16:48:33.250-08:00,tutor,tutor,2,,22.0,
,,,"to to the X, I mean there's no so it's 30 times 2 right, and then it's 30 times 2 again, and then it's times 2 again, depending on how many years there are, and that's how many times we multiply by 2 right now. If it were, linear it would go 30, 60,",2023-03-09T16:48:33.560-08:00,2023-03-09T16:48:48.380-08:00,tutor,tutor,2,,22.0,
,,,"but then it would go 90, and then 120, and then one. It it would add 3. It would add the same amount every time right. But see how for the for something? Linear it's just one con. The slope of the graph is the same always it's just adding, adding some mount, and then adding that amount again, and then again in the end. Now for exponential.",2023-03-09T16:48:48.380-08:00,2023-03-09T16:49:05.110-08:00,tutor,tutor,2,,22.0,
,,,"the the growth is actually based on how much you already have. So if you have 30, a 660. Then it doubles again 120. Now linear it's just you're adding every step of the way. You're just going to add the same amount. So that's the difference between a linear and exponential function. The answer is.",2023-03-09T16:49:05.200-08:00,2023-03-09T16:49:20.240-08:00,tutor,tutor,2,,22.0,
,,,d it's an increasing exponential function. Does anybody have any questions about this or anything like that.,2023-03-09T16:49:21.490-08:00,2023-03-09T16:49:27.570-08:00,tutor,tutor,2,,22.0,
,23.0,1.0,I think we can move on. Let's do number 5.,2023-03-09T16:49:28.480-08:00,2023-03-09T16:49:31.270-08:00,tutor,tutor,3,,23.0,
,,,That would be 23,2023-03-09T16:49:34.820-08:00,2023-03-09T16:49:36.660-08:00,tutor,tutor,3,,23.0,
,,,Okay.,2023-03-09T16:49:40.310-08:00,2023-03-09T16:49:41.040-08:00,tutor,tutor,3,,23.0,
,,,"Some values of X and their corresponding values of Y are shown in the table above, where a is a constant.",2023-03-09T16:49:43.190-08:00,2023-03-09T16:49:49.410-08:00,tutor,tutor,3,,23.0,
,,,"if there's a linear relationship between X and Y Again, this, this, this concept of something being linear comes up. Which of the following equations represents the relationship",2023-03-09T16:49:49.450-08:00,2023-03-09T16:49:58.040-08:00,tutor,tutor,3,,23.0,
,,,exciting the best way. Does anybody have any strategies for how they did this one.,2023-03-09T16:50:09.040-08:00,2023-03-09T16:50:13.740-08:00,tutor,tutor,3,,23.0,
,,,"I mean, I think, like for a problem like this, using the answer choices is pretty powerful because they just sort of give it to you. They give you all 4 answers now. Only one of them is correct. However, we're staring at the correct answer. Right here. We don't know which one, but it's there so we can",2023-03-09T16:50:24.200-08:00,2023-03-09T16:50:38.710-08:00,tutor,tutor,3,,23.0,
,,,"see if they're correct, and let's try. Answer it. So a. Says that whatever X is we can take x, add to y to that, and we're going to get a no matter what for all of these different tables of values. Now",2023-03-09T16:50:38.960-08:00,2023-03-09T16:50:50.500-08:00,tutor,tutor,3,,23.0,
,,,"let's see, let's see, let's see if that works. So let's plug. Let's find. Let's pick a value of X. Right? So let's say X equals a right, so that would be. What would this look like if we're going to pick a x equals a and y equals 0. What is this equation going to look like if we're plugging those values in for X and y.",2023-03-09T16:50:50.630-08:00,2023-03-09T16:51:05.560-08:00,tutor,tutor,3,,23.0,
,,,"It would be a plus 2 0 equals a. Yeah, we just give you a it was a",2023-03-09T16:51:26.270-08:00,2023-03-09T16:51:32.990-08:00,student,student B,3,,23.0,
,,,"yeah, and that I mean, it does a. I mean, does that does this check out?",2023-03-09T16:51:33.100-08:00,2023-03-09T16:51:37.030-08:00,tutor,tutor,3,,23.0,
,,,"Yeah, this checks out. So this works. However, we can't just say a is the correct answer yet, because we also need to try it for the other values. So let's try it for these 2 over here, 3 a and negative a. What would that look like if we were to plug it into this formula.",2023-03-09T16:51:37.840-08:00,2023-03-09T16:51:51.220-08:00,tutor,tutor,3,,23.0,
,,,"it would be like 3, a plus negative, 2, a equals a.",2023-03-09T16:52:20.350-08:00,2023-03-09T16:52:25.070-08:00,student,student A,3,,23.0,
,,,And is that true?,2023-03-09T16:52:28.440-08:00,2023-03-09T16:52:29.640-08:00,tutor,tutor,3,,23.0,
,,,Yeah.,2023-03-09T16:52:30.390-08:00,2023-03-09T16:52:31.180-08:00,student,student A,3,,23.0,
,,,"yeah, it's true. So this works out as well. and then, if you plug in this next one, it it, it also checks out. So all 3 of these things work for the answer choice. A: so that's the correct answer, because because of the fact that this equation represents the relationship. Because if we.",2023-03-09T16:52:31.260-08:00,2023-03-09T16:52:49.230-08:00,tutor,tutor,3,,23.0,
,,,"the relationship between x, and y. So when x equals a y equals 0. When x equals 3, I y equals negative. A. When x equals 5, x y equals negative, 2 a. And this formula, this equation models that relationship.",2023-03-09T16:52:49.230-08:00,2023-03-09T16:53:02.050-08:00,tutor,tutor,3,,23.0,
,,,"Now, we don't have to do this now, because luckily we know a is correct. But if we were to plug in B, C, and d",2023-03-09T16:53:02.380-08:00,2023-03-09T16:53:07.980-08:00,tutor,tutor,3,,23.0,
,,,"it wouldn't necessarily they wouldn't. Necessarily they would not work for all 3 of these. They may work for one of them, but they wouldn't work for all 3. So that's why it's more to plug in a 0, 3, a negative, a, and then also 5 and 8, negative 2. I",2023-03-09T16:53:09.700-08:00,2023-03-09T16:53:22.230-08:00,tutor,tutor,3,,23.0,
,,,So yeah.,2023-03-09T16:53:23.450-08:00,2023-03-09T16:53:24.760-08:00,tutor,tutor,3,,23.0,
,,1.0,let's move on,2023-03-09T16:53:25.270-08:00,2023-03-09T16:53:26.510-08:00,tutor,tutor,4,,,
,,,all right. I'm gonna just move on to the very next question. Problem 6,2023-03-09T16:53:32.250-08:00,2023-03-09T16:53:37.400-08:00,tutor,tutor,4,,,
,,,which is really problem 24.,2023-03-09T16:53:41.470-08:00,2023-03-09T16:53:43.550-08:00,tutor,tutor,4,,,
,,,"Actually, you know what we're kind of",2023-03-09T16:53:47.880-08:00,2023-03-09T16:53:49.750-08:00,tutor,tutor,4,,,
,,,press for time. So let's because i'm,2023-03-09T16:53:51.820-08:00,2023-03-09T16:53:55.400-08:00,tutor,tutor,4,,,
,,,"the the website gives me like problems that are either suggested or highly suggested. So i'm going to go, and this one suggested. But it's not highly suggested. So let's we're going to go through the ones that are highly suggested first, and then we'll come back to the ones that are just suggested.",2023-03-09T16:53:56.150-08:00,2023-03-09T16:54:09.760-08:00,tutor,tutor,4,,,
,27.0,1.0,"So let's go for number 9, which is really question 27 highly suggested.",2023-03-09T16:54:09.870-08:00,2023-03-09T16:54:16.390-08:00,tutor,tutor,5,,27.0,
,,,based on the equation above. What is the value of 3 X minus 2.,2023-03-09T16:54:18.890-08:00,2023-03-09T16:54:23.320-08:00,tutor,tutor,5,,27.0,
,,,Okay.,2023-03-09T16:54:25.140-08:00,2023-03-09T16:54:25.920-08:00,tutor,tutor,5,,27.0,
,,,So we have this sort of formula here. It's not a formula. It's an equation.,2023-03-09T16:54:25.970-08:00,2023-03-09T16:54:30.600-08:00,tutor,tutor,5,,27.0,
,,,Okay. Now,2023-03-09T16:54:45.820-08:00,2023-03-09T16:54:47.500-08:00,tutor,tutor,5,,27.0,
,,,"I feel like one thing we could do here is just straight up Solve for X, and",2023-03-09T16:54:48.080-08:00,2023-03-09T16:54:52.290-08:00,tutor,tutor,5,,27.0,
,,,that would help us out.,2023-03-09T16:54:53.800-08:00,2023-03-09T16:54:56.080-08:00,tutor,tutor,5,,27.0,
,,,However.,2023-03-09T16:54:56.580-08:00,2023-03-09T16:54:57.620-08:00,tutor,tutor,5,,27.0,
,,,there is a quicker way of doing it. But I i'm curious for somebody who got this question right because there were a couple of you. Who did. Do you think you could,2023-03-09T16:54:58.320-08:00,2023-03-09T16:55:05.730-08:00,tutor,tutor,5,,27.0,
,,,explain your reasoning here.,2023-03-09T16:55:05.850-08:00,2023-03-09T16:55:07.970-08:00,tutor,tutor,5,,27.0,
,,,"Okay, how about we?",2023-03-09T16:55:24.090-08:00,2023-03-09T16:55:25.600-08:00,tutor,tutor,5,,27.0,
,,,"How about we First, Just multiply this out. Let's let's try to distribute this two-thirds. Let's see what happens.",2023-03-09T16:55:25.630-08:00,2023-03-09T16:55:31.510-08:00,tutor,tutor,5,,27.0,
,,,So what do we get?,2023-03-09T16:55:31.890-08:00,2023-03-09T16:55:33.190-08:00,tutor,tutor,5,,27.0,
,,,"So I distributed it. and I got 0 point 10 x plus 0 point 20. Oh, sorry for it. Probably no problem.",2023-03-09T16:55:43.810-08:00,2023-03-09T16:55:56.560-08:00,student,student B,5,,27.0,
,,,"I got 6 S. 6 at minus 4, minus 4",2023-03-09T16:55:57.780-08:00,2023-03-09T16:56:02.830-08:00,student,student B,5,,27.0,
,,,equals 9 x minus 6.,2023-03-09T16:56:06.810-08:00,2023-03-09T16:56:13.420-08:00,student,student B,5,,27.0,
,,,So,2023-03-09T16:56:14.620-08:00,2023-03-09T16:56:17.170-08:00,student,student B,5,,27.0,
,,,and then we continue.,2023-03-09T16:56:17.320-08:00,2023-03-09T16:56:18.920-08:00,tutor,tutor,5,,27.0,
,,,"and they'll be negative, 2 equals 3 at.",2023-03-09T16:56:19.810-08:00,2023-03-09T16:56:24.010-08:00,student,student B,5,,27.0,
,,,and then you just subtract it to from both sides. And,2023-03-09T16:56:25.480-08:00,2023-03-09T16:56:28.330-08:00,tutor,tutor,5,,27.0,
,,,yeah.,2023-03-09T16:56:28.490-08:00,2023-03-09T16:56:29.340-08:00,student,student B,5,,27.0,
,,,"and then you got 94. Yeah. So what that? That's basically the way to do it. You just you don't get any for because you have to do. You get X equals 9, 2 over 3, and then you have to plug that in to 3 as well as 2.",2023-03-09T16:56:29.520-08:00,2023-03-09T16:56:42.440-08:00,student,student B,5,,27.0,
,,,"Okay, yeah. And then you end up getting negative for",2023-03-09T16:56:44.340-08:00,2023-03-09T16:56:47.270-08:00,student,student B,5,,27.0,
,,,"Yeah. So it's solving for X, and then it's asking you. It's not. It's always important to say what's it asking us for so like in this case it's not asking us for x, because then this would be the correct answer, because some people might, you know. Maybe if you're rushing.",2023-03-09T16:56:47.620-08:00,2023-03-09T16:57:04.020-08:00,tutor,tutor,5,,27.0,
,,,"you're like, you see, an equation you're like oh, I should solve for X, and then you just like so circle, and you did everything right. You do the problem perfectly. However.",2023-03-09T16:57:04.020-08:00,2023-03-09T16:57:11.690-08:00,tutor,tutor,5,,27.0,
