problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
491.0,,1.0,We'll just wait for a few more people to join.,2023-03-06T17:02:04.720-08:00,2023-03-06T17:02:07.730-08:00,tutor,tutor,1,,,
,,,Then we'll get started.,2023-03-06T17:02:09.090-08:00,2023-03-06T17:02:10.420-08:00,tutor,tutor,1,,,
,,,Just another 2 min and then we can get started.,2023-03-06T17:03:30.200-08:00,2023-03-06T17:03:32.680-08:00,tutor,tutor,1,,,
,,,"Okay, let's get started. So today",2023-03-06T17:05:36.329-08:00,2023-03-06T17:05:39.530-08:00,tutor,tutor,1,,,
,,,we will start off,2023-03-06T17:05:40.190-08:00,2023-03-06T17:05:42.900-08:00,tutor,tutor,1,,,
,,,with the practice test. I will quickly review some of the questions in this practice test.,2023-03-06T17:05:42.910-08:00,2023-03-06T17:05:48.600-08:00,tutor,tutor,1,,,
,,,Then we'll look towards doing some more group practice,2023-03-06T17:05:48.800-08:00,2023-03-06T17:05:52.100-08:00,tutor,tutor,1,,,
,,,that way we can collaborate to the overall knowledge. Oh.,2023-03-06T17:05:53.650-08:00,2023-03-06T17:05:57.740-08:00,tutor,tutor,1,,,
,,,"yeah, to our overall knowledge. So",2023-03-06T17:05:58.040-08:00,2023-03-06T17:06:00.880-08:00,tutor,tutor,1,,,
,,,i'm going to assign the next assessment.,2023-03-06T17:06:03.310-08:00,2023-03-06T17:06:07.620-08:00,tutor,tutor,1,,,
,,,It should be practice. Test B 2 with the calculator.,2023-03-06T17:06:07.780-08:00,2023-03-06T17:06:12.560-08:00,tutor,tutor,1,,,
,,,because we need to constantly be practicing using tests in order to succeed. So I assigned it,2023-03-06T17:06:13.150-08:00,2023-03-06T17:06:22.450-08:00,tutor,tutor,1,,,
,,,"now, and if you can go to the assessments tab and get started, i'll put up a timer, and",2023-03-06T17:06:22.980-08:00,2023-03-06T17:06:31.340-08:00,tutor,tutor,1,,,
,,,actually I'll give you a 5 min warning,2023-03-06T17:06:32.870-08:00,2023-03-06T17:06:35.780-08:00,tutor,tutor,1,,,
,,,"when you have 5 min left, and then we will review.",2023-03-06T17:06:36.370-08:00,2023-03-06T17:06:40.140-08:00,tutor,tutor,1,,,
,,,Okay. Yeah.,2023-03-06T17:06:40.900-08:00,2023-03-06T17:06:42.320-08:00,tutor,tutor,1,,,
,,,"Oh, you guys have 5 min left 5 min.",2023-03-06T17:30:39.960-08:00,2023-03-06T17:30:43.750-08:00,tutor,tutor,1,,,
,,,Okay. I hope you all have time to complete the quiz and let me screen share and we can go over some questions. You that,2023-03-06T17:36:34.220-08:00,2023-03-06T17:36:44.260-08:00,tutor,tutor,1,,,
,,,Okay. Did anyone have a question that they wanted to go over.,2023-03-06T17:37:14.420-08:00,2023-03-06T17:37:18.130-08:00,tutor,tutor,1,,,
,,,Yes.,2023-03-06T17:37:20.300-08:00,2023-03-06T17:37:21.530-08:00,student,student A,1,,,
,,,"Oh, okay. Which one",2023-03-06T17:37:22.430-08:00,2023-03-06T17:37:23.860-08:00,tutor,tutor,1,,,
,,,"question, 5 and 9.",2023-03-06T17:37:24.940-08:00,2023-03-06T17:37:26.850-08:00,student,student A,1,,,
