problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
489.0,,1.0,Am I audible now?,2023-02-18T03:48:57.280+00:00,2023-02-18T03:48:58.570+00:00,tutor,tutor,1,,,
,,,"Okay. Yeah. So I don't move on, but my head.",2023-02-18T03:49:05.000+00:00,2023-02-18T03:49:09.180+00:00,tutor,tutor,1,,,
,,,"Alright, so first of all, we have to do a test today. That's for 15 min. Then we'll review the test.",2023-02-18T03:49:10.030+00:00,2023-02-18T03:49:16.620+00:00,tutor,tutor,1,,,
,,,"So first of all, we'll do",2023-02-18T03:49:16.730+00:00,2023-02-18T03:49:18.570+00:00,tutor,tutor,1,,,
,,,"some questions on radical and exponential expressions. Then we'll study some geometry, and then we'll start the case.",2023-02-18T03:49:18.840+00:00,2023-02-18T03:49:26.160+00:00,tutor,tutor,1,,,
,,,I will review the test after that. So,2023-02-18T03:49:28.640+00:00,2023-02-18T03:49:31.860+00:00,tutor,tutor,1,,,
,,,yeah. Question.,2023-02-18T03:49:35.280+00:00,2023-02-18T03:49:37.700+00:00,tutor,tutor,1,,,
,,,Radical and exponential expressions.,2023-02-18T03:49:38.280+00:00,2023-02-18T03:49:41.930+00:00,tutor,tutor,1,,,
,,,Okay. So,2023-02-18T03:49:42.070+00:00,2023-02-18T03:49:43.750+00:00,tutor,tutor,1,,,
,,,can everybody see the other screen like I'm sharing a whiteboard.,2023-02-18T03:49:45.220+00:00,2023-02-18T03:49:49.630+00:00,tutor,tutor,1,,,
,-1.0,1.0,Okay. So first question as,2023-02-18T03:49:59.510+00:00,2023-02-18T03:50:03.330+00:00,tutor,tutor,2,,-1.0,
,,,Mr. Value off A.,2023-02-18T03:50:11.290+00:00,2023-02-18T03:50:13.720+00:00,tutor,tutor,2,,-1.0,
,,,"So first question is, what is the value of 8 t0 2 by 3.",2023-02-18T03:50:22.500+00:00,2023-02-18T03:50:25.780+00:00,tutor,tutor,2,,-1.0,
,,,So can anybody tell me how we can solve this question?,2023-02-18T03:50:31.520+00:00,2023-02-18T03:50:35.330+00:00,tutor,tutor,2,,-1.0,
,,,It's to,2023-02-18T03:50:48.400+00:00,2023-02-18T03:50:50.360+00:00,student,student A,2,,-1.0,
,,,"a squared, and then that inside of root 3 right?",2023-02-18T03:50:50.750+00:00,2023-02-18T03:50:54.950+00:00,student,student A,2,,-1.0,
,,,Yeah. So that's correct. So,2023-02-18T03:50:56.050+00:00,2023-02-18T03:50:59.090+00:00,tutor,tutor,2,,-1.0,
,,,whenever there's some a probably like in the denominator like this.,2023-02-18T03:50:59.780+00:00,2023-02-18T03:51:04.930+00:00,tutor,tutor,2,,-1.0,
,,,this means that,2023-02-18T03:51:06.130+00:00,2023-02-18T03:51:07.760+00:00,tutor,tutor,2,,-1.0,
,,,"is, under root M. Times.",2023-02-18T03:51:07.840+00:00,2023-02-18T03:51:10.490+00:00,tutor,tutor,2,,-1.0,
,,,"So in this question we can just write it as a go ahead. 30,000 by 3, because of that law A. M. To the end",2023-02-18T03:51:13.050+00:00,2023-02-18T03:51:21.690+00:00,tutor,tutor,2,,-1.0,
,,,is we starting. and this would be equal to a squared,2023-02-18T03:51:22.950+00:00,2023-02-18T03:51:27.510+00:00,tutor,tutor,2,,-1.0,
,,,you boot,2023-02-18T03:51:29.440+00:00,2023-02-18T03:51:30.350+00:00,tutor,tutor,2,,-1.0,
,,,"It's it's one of the options, I guess.",2023-02-18T03:51:32.750+00:00,2023-02-18T03:51:34.950+00:00,tutor,tutor,2,,-1.0,
,,,Yeah.,2023-02-18T03:51:39.550+00:00,2023-02-18T03:51:40.200+00:00,tutor,tutor,2,,-1.0,
,-1.0,1.0,let's d0 0ne thing.,2023-02-18T03:51:43.180+00:00,2023-02-18T03:51:44.380+00:00,tutor,tutor,3,,-1.0,
,,,So i'm sharing my screen. Can everybody see that?,2023-02-18T03:51:48.640+00:00,2023-02-18T03:51:51.200+00:00,tutor,tutor,3,,-1.0,
,,,Okay. So what is the answer to this question,2023-02-18T03:52:00.080+00:00,2023-02-18T03:52:04.070+00:00,tutor,tutor,3,,-1.0,
,,,"right at the like, right in the chat. A, B C. D.",2023-02-18T03:52:05.430+00:00,2023-02-18T03:52:09.360+00:00,tutor,tutor,3,,-1.0,
,,,Your message? Me privately your,2023-02-18T03:52:11.300+00:00,2023-02-18T03:52:13.760+00:00,tutor,tutor,3,,-1.0,
,,,I think it's fine.,2023-02-18T03:52:14.060+00:00,2023-02-18T03:52:15.160+00:00,tutor,tutor,3,,-1.0,
,,,"If you don't know how to solve this question. We can. I can g0 0ver that, too.",2023-02-18T03:52:30.200+00:00,2023-02-18T03:52:34.569+00:00,tutor,tutor,3,,-1.0,
,,,all right.,2023-02-18T03:53:02.250+00:00,2023-02-18T03:53:03.070+00:00,tutor,tutor,3,,-1.0,
,,,S0 2 people Haven't still tried the problem. I guess.,2023-02-18T03:53:13.590+00:00,2023-02-18T03:53:17.160+00:00,tutor,tutor,3,,-1.0,
,,,"Okay, so we'll do this the same way. We did the last problem. So first of all. Oh.",2023-02-18T03:53:20.100+00:00,2023-02-18T03:53:26.030+00:00,tutor,tutor,3,,-1.0,
