problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
492.0,,1.0,"Okay, Hello, everyone. I'm just gonna give people 2 more minutes to join. And then we're starting.",2023-03-08T12:32:15.120-08:00,2023-03-08T12:32:22.980-08:00,tutor,tutor,1,,,
,,,"Okay, Hello, everyone. Welcome back to week, 4 day 2. This is gonna be our last lesson for the course. Okay?",2023-03-08T12:34:01.290-08:00,2023-03-08T12:34:11.230-08:00,tutor,tutor,1,,,
,,,And so we're gonna start with some tips for test day,2023-03-08T12:34:11.630-08:00,2023-03-08T12:34:14.970-08:00,tutor,tutor,1,,,
,,,test days coming up. It's shortly. So this these are a few tips prepared by schoolhouse on Kan Academy on what to do.,2023-03-08T12:34:15.340-08:00,2023-03-08T12:34:25.280-08:00,tutor,tutor,1,,,
,,,"So first of all, something that's really important is getting a good",2023-03-08T12:34:25.730-08:00,2023-03-08T12:34:29.630-08:00,tutor,tutor,1,,,
,,,"nights meet before, maybe taking a healthy breakfast before the test. But 1 one that I feel that is really important is getting to the test site early when I was doing my Sid. This is one of the things I did one, and I arrived",2023-03-08T12:34:29.640-08:00,2023-03-08T12:34:44.520-08:00,tutor,tutor,1,,,
,,,like 5 min left. and while going now I go lost. On my way to cars. I got a in there different one. I ended up getting to the exam 5 min late.,2023-03-08T12:34:44.550-08:00,2023-03-08T12:34:56.350-08:00,tutor,tutor,1,,,
,,,"having to rush in, going to the room when everyone was already sat, and that was just a bit more stressful than it had to be.",2023-03-08T12:34:57.060-08:00,2023-03-08T12:35:05.260-08:00,tutor,tutor,1,,,
,,,"So it's always better to plan to get to the test site as early as you can, maybe 2030 min beforehand.",2023-03-08T12:35:05.290-08:00,2023-03-08T12:35:12.420-08:00,tutor,tutor,1,,,
,,,It's gonna let you relax before you get started with the task.,2023-03-08T12:35:12.470-08:00,2023-03-08T12:35:16.570-08:00,tutor,tutor,1,,,
,,,"and in case anything does happen it, it'll give you time to sort it out. Okay. And then i'm also going to talk about a few of the math tips.",2023-03-08T12:35:16.800-08:00,2023-03-08T12:35:27.500-08:00,tutor,tutor,1,,,
,,,Okay. So one of the tips we've been going through is,2023-03-08T12:35:27.800-08:00,2023-03-08T12:35:31.690-08:00,tutor,tutor,1,,,
,,,"first of all, whenever you have a text like to put it into equations. This is very important. It's gonna help. You see things easier. Okay, as with equations, you can do a lot of things as with an equation you can add to both sides. You can see the relationship.",2023-03-08T12:35:32.690-08:00,2023-03-08T12:35:47.440-08:00,tutor,tutor,1,,,
,,,"You can't add to to both sides of the text, so it's always better to put everything in equations, and I feel like it's just easier to see once you have it that way. Okay? And a lot of sat questions are just about putting text in the equation.",2023-03-08T12:35:47.520-08:00,2023-03-08T12:36:03.809-08:00,tutor,tutor,1,,,
,,,and that's all you have to do. So. If that's a skill you can master it's not only going to help you answer the questions I know about that,2023-03-08T12:36:04.000-08:00,2023-03-08T12:36:10.860-08:00,tutor,tutor,1,,,
,,,to give you,2023-03-08T12:36:11.220-08:00,2023-03-08T12:36:11.920-08:00,tutor,tutor,1,,,
,,,"point in some of the easier questions, which is just that getting a thanks, and for me it into like",2023-03-08T12:36:12.050-08:00,2023-03-08T12:36:18.000-08:00,tutor,tutor,1,,,
,,,another thing is making sure you answer the question that is being asked. Okay.,2023-03-08T12:36:19.550-08:00,2023-03-08T12:36:25.010-08:00,tutor,tutor,1,,,
