problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
491.0,,1.0,Hi.,2023-03-04T04:54:15.430-08:00,2023-03-04T04:54:16.490-08:00,student,student A,1,,,
,,,"hey, [STUDENT_4]! So how are you feeling",2023-03-04T04:54:19.840-08:00,2023-03-04T04:54:22.390-08:00,tutor,tutor,1,,,
,,,feeling? Okay? It turns out we did take the Sat,2023-03-04T04:54:23.390-08:00,2023-03-04T04:54:28.390-08:00,student,student A,1,,,
,,,Wednesday.,2023-03-04T04:54:28.430-08:00,2023-03-04T04:54:29.660-08:00,student,student A,1,,,
,,,"Oh, you took the Sat on Wednesday.",2023-03-04T04:54:31.860-08:00,2023-03-04T04:54:34.420-08:00,tutor,tutor,1,,,
,,,"Yeah, it's something to do with it.",2023-03-04T04:54:35.250-08:00,2023-03-04T04:54:37.570-08:00,student,student A,1,,,
,,,Apparently this was at the Cms. D district where I am at.,2023-03-04T04:54:37.790-08:00,2023-03-04T04:54:43.020-08:00,student,student A,1,,,
,,,Okay.,2023-03-04T04:54:45.420-08:00,2023-03-04T04:54:46.380-08:00,student,student A,1,,,
,,,it's weird.,2023-03-04T04:54:46.620-08:00,2023-03-04T04:54:50.020-08:00,tutor,tutor,1,,,
,,,What did you just say so. Does this mean?,2023-03-04T04:54:52.600-08:00,2023-03-04T04:54:56.800-08:00,student,student A,1,,,
,,,Is my okay? Just give me a sec.,2023-03-04T04:54:58.130-08:00,2023-03-04T04:55:01.550-08:00,tutor,tutor,1,,,
,,,What did I? What were you just trying to say? We're breaking up?,2023-03-04T04:55:04.280-08:00,2023-03-04T04:55:10.830-08:00,student,student A,1,,,
,,,"Okay, just give me a said, My Internet. Connection is apparently unstable.",2023-03-04T04:55:11.759-08:00,2023-03-04T04:55:16.010-08:00,tutor,tutor,1,,,
,,,"Oh, I",2023-03-04T04:55:16.690-08:00,2023-03-04T04:55:17.770-08:00,student,student A,1,,,
,,,change this.,2023-03-04T04:55:18.430-08:00,2023-03-04T04:55:19.720-08:00,tutor,tutor,1,,,
,,,"Okay, is this better.",2023-03-04T04:56:14.510-08:00,2023-03-04T04:56:16.080-08:00,tutor,tutor,1,,,
,,,absolutely,2023-03-04T04:56:19.210-08:00,2023-03-04T04:56:20.880-08:00,student,student A,1,,,
,,,okay. And I think my connection is unstable,2023-03-04T04:56:22.730-08:00,2023-03-04T04:56:26.280-08:00,tutor,tutor,1,,,
,,,today. So,2023-03-04T04:56:27.300-08:00,2023-03-04T04:56:28.540-08:00,tutor,tutor,1,,,
,,,So with this means you're not taking this at on Saturday. Yes.,2023-03-04T04:56:29.400-08:00,2023-03-04T04:56:34.010-08:00,tutor,tutor,1,,,
,,,on Saturday.,2023-03-04T04:56:34.960-08:00,2023-03-04T04:56:35.910-08:00,tutor,tutor,1,,,
,,,like like one of that happened. We just took it. Wednesday.,2023-03-04T04:56:36.700-08:00,2023-03-04T04:56:40.630-08:00,student,student A,1,,,
,,,Okay. So it has happened.,2023-03-04T04:56:42.520-08:00,2023-03-04T04:56:45.350-08:00,student,student A,1,,,
,,,Okay. So how was it,2023-03-04T04:56:46.030-08:00,2023-03-04T04:56:48.520-08:00,tutor,tutor,1,,,
,,,"the first part of the test? It didn't go well at all, because everybody was suffering technical issues.",2023-03-04T04:56:50.920-08:00,2023-03-04T04:56:58.100-08:00,student,student A,1,,,
,,,"I saw it. It was written, so I did not bring my laptop today, and I had to go grab a loner.",2023-03-04T04:56:58.150-08:00,2023-03-04T04:57:04.960-08:00,student,student A,1,,,
,,,"but it was dead, so I so I had to wait for a charger. But the chargers came way too late.",2023-03-04T04:57:04.980-08:00,2023-03-04T04:57:11.920-08:00,student,student A,1,,,
,,,Okay. So also what did you do?,2023-03-04T04:57:13.210-08:00,2023-03-04T04:57:15.870-08:00,tutor,tutor,1,,,
,,,"Well. we did take the first part of the test, anyway. But we all had to have an irregularity reported filed because it turned out we didn't have enough time to even complete this section.",2023-03-04T04:57:17.520-08:00,2023-03-04T04:57:30.660-08:00,student,student A,1,,,
,,,"Oh, okay. that's It's worrying.",2023-03-04T04:57:31.430-08:00,2023-03-04T04:57:36.750-08:00,tutor,tutor,1,,,
,,,"Yeah, I had a pretty sad morning. I'd rather forget about it.",2023-03-04T04:57:37.340-08:00,2023-03-04T04:57:41.920-08:00,student,student A,1,,,
,,,"Okay, I'm: sorry about that.",2023-03-04T04:57:42.300-08:00,2023-03-04T04:57:44.970-08:00,tutor,tutor,1,,,
,,,Fortunately the rest of the test one pretty smoothly.,2023-03-04T04:57:45.100-08:00,2023-03-04T04:57:48.960-08:00,student,student A,1,,,
,,,Okay. So the first spot is Matt: Yes.,2023-03-04T04:57:50.060-08:00,2023-03-04T04:57:53.580-08:00,tutor,tutor,1,,,
,,,"No, that's the reading part. Oh, okay, so current one is reading",2023-03-04T04:57:54.420-08:00,2023-03-04T04:58:00.090-08:00,student,student A,1,,,
,,,part 2 is writing and language part 3 is.,2023-03-04T04:58:00.400-08:00,2023-03-04T04:58:05.030-08:00,student,student A,1,,,
,,,"Yeah, No calculator in the last part is with calculator. Oh, God.",2023-03-04T04:58:05.370-08:00,2023-03-04T04:58:10.660-08:00,student,student A,1,,,
,,,Okay. So how would the man sections?,2023-03-04T04:58:10.820-08:00,2023-03-04T04:58:13.120-08:00,tutor,tutor,1,,,
,,,"I did pretty okay on them. I I tried my best to remember right everything, especially with like the circle things.",2023-03-04T04:58:16.650-08:00,2023-03-04T04:58:25.470-08:00,student,student A,1,,,
,,,Okay.,2023-03-04T04:58:26.020-08:00,2023-03-04T04:58:26.920-08:00,tutor,tutor,1,,,
,,,So so you're pretty confident about like something above a 700 in the back,2023-03-04T04:58:29.780-08:00,2023-03-04T04:58:35.020-08:00,tutor,tutor,1,,,
,,,that,2023-03-04T04:58:35.590-08:00,2023-03-04T04:58:36.330-08:00,tutor,tutor,1,,,
,,,like,2023-03-04T04:58:38.840-08:00,2023-03-04T04:58:39.530-08:00,student,student A,1,,,
,,,I wouldn't say 100% confident. But I do have a good amount of confidence,2023-03-04T04:58:39.700-08:00,2023-03-04T04:58:45.440-08:00,student,student A,1,,,
,,,and and hold on.,2023-03-04T04:58:47.840-08:00,2023-03-04T04:58:49.760-08:00,student,student A,1,,,
,,,"Yeah, you can text me with the",2023-03-04T04:58:51.330-08:00,2023-03-04T04:58:57.150-08:00,tutor,tutor,1,,,
,,,"your results, I mean. I would be glad, you know. I mean you're not obligated in any way but via slack or something.",2023-03-04T04:58:57.220-08:00,2023-03-04T04:59:04.640-08:00,tutor,tutor,1,,,
,,,I'd like to know when you get there.,2023-03-04T04:59:04.820-08:00,2023-03-04T04:59:06.540-08:00,tutor,tutor,1,,,
,,,and,2023-03-04T04:59:07.730-08:00,2023-03-04T04:59:08.640-08:00,student,student A,1,,,
,,,"I don't think we're getting our scores until around my birthday, which is like",2023-03-04T04:59:09.270-08:00,2023-03-04T04:59:14.820-08:00,student,student A,1,,,
,,,"just after the 20 s, which is my birthday.",2023-03-04T04:59:15.670-08:00,2023-03-04T04:59:18.830-08:00,student,student A,1,,,
,,,so,2023-03-04T04:59:21.540-08:00,2023-03-04T04:59:23.280-08:00,tutor,tutor,1,,,
,,,I mean I feel like you'll be tense on your birthday.,2023-03-04T04:59:23.920-08:00,2023-03-04T04:59:26.750-08:00,tutor,tutor,1,,,
,,,What,2023-03-04T04:59:30.290-08:00,2023-03-04T04:59:31.230-08:00,student,student A,1,,,
,,,I feel like You'll be tense on your but you won't be able to. You enjoy it.,2023-03-04T04:59:32.220-08:00,2023-03-04T04:59:36.880-08:00,tutor,tutor,1,,,
,,,Well. I probably wouldn't feel attention. I just probably be just looking forward to it.,2023-03-04T04:59:40.040-08:00,2023-03-04T04:59:46.830-08:00,student,student A,1,,,
,,,"Okay, I mean, I don't. I always get nervous and results are coming out.",2023-03-04T04:59:48.060-08:00,2023-03-04T04:59:52.000-08:00,tutor,tutor,1,,,
,,,"My email was started on my birthday, so it tests",2023-03-04T04:59:53.770-08:00,2023-03-04T04:59:57.020-08:00,tutor,tutor,1,,,
,,,"like, now",2023-03-04T04:59:57.070-08:00,2023-03-04T04:59:58.030-08:00,tutor,tutor,1,,,
,,,"you know it's always horrible. Hey, Marty, how are you feeling about the pending, is it?",2023-03-04T04:59:58.540-08:00,2023-03-04T05:00:07.790-08:00,tutor,tutor,1,,,
,,,Hey? Are you doing okay? I'm kind of really nervous for it? Because if we only have one week,2023-03-04T05:00:08.090-08:00,2023-03-04T05:00:13.650-08:00,student,student B,1,,,
,,,and I feel like it's like really overwhelming. Just thinking about the fact that we only have one weeks left.,2023-03-04T05:00:14.000-08:00,2023-03-04T05:00:19.440-08:00,student,student B,1,,,
,,,Yeah.,2023-03-04T05:00:19.930-08:00,2023-03-04T05:00:20.730-08:00,student,student B,1,,,
,,,Hmm. You're You're getting pretty,2023-03-04T05:00:21.820-08:00,2023-03-04T05:00:24.200-08:00,tutor,tutor,1,,,
,,,"good, right? I Are you on pleased with your I don't know progress right?",2023-03-04T05:00:24.570-08:00,2023-03-04T05:00:30.230-08:00,tutor,tutor,1,,,
,,,And how are they,2023-03-04T05:00:30.470-08:00,2023-03-04T05:00:31.650-08:00,tutor,tutor,1,,,
,,,like?,2023-03-04T05:00:35.120-08:00,2023-03-04T05:00:36.870-08:00,tutor,tutor,1,,,
,,,"Okay, so",2023-03-04T05:00:39.140-08:00,2023-03-04T05:00:40.360-08:00,tutor,tutor,1,,,
,,,you and Marina you so.,2023-03-04T05:00:40.550-08:00,2023-03-04T05:00:43.220-08:00,tutor,tutor,1,,,
,,,"Hey, Eva, hey, mania. huh?",2023-03-04T05:00:45.570-08:00,2023-03-04T05:00:48.720-08:00,tutor,tutor,1,,,
,,,Hi!,2023-03-04T05:00:48.790-08:00,2023-03-04T05:00:50.200-08:00,student,student C,1,,,
,,,How are you guys feeling about your,2023-03-04T05:00:51.030-08:00,2023-03-04T05:00:53.850-08:00,tutor,tutor,1,,,
,,,sab test? That is probably next week for you guys.,2023-03-04T05:00:54.140-08:00,2023-03-04T05:00:57.640-08:00,tutor,tutor,1,,,
,,,Mine is in April. but,2023-03-04T05:01:01.280-08:00,2023-03-04T05:01:05.620-08:00,student,student C,1,,,
,,,"I feel like a little bit nervous, but also in my math class. We're also doing practice like this like practices.",2023-03-04T05:01:06.300-08:00,2023-03-04T05:01:13.310-08:00,student,student C,1,,,
,,,So i'm feeling a little bit better.,2023-03-04T05:01:13.400-08:00,2023-03-04T05:01:15.890-08:00,student,student C,1,,,
,,,and i'm glad we've missed you last week. How are you feeling?,2023-03-04T05:01:17.440-08:00,2023-03-04T05:01:21.400-08:00,tutor,tutor,1,,,
,,,"I'm feeling good except for like the timing part, because I I feel like i'm pretty so on these steps to set, so I hope I can just like finish them all.",2023-03-04T05:01:21.590-08:00,2023-03-04T05:01:29.000-08:00,student,student D,1,,,
,,,"Okay, yeah, I mean.",2023-03-04T05:01:29.940-08:00,2023-03-04T05:01:31.990-08:00,tutor,tutor,1,,,
,,,"good like, keep doing tests. That helps right.",2023-03-04T05:01:32.930-08:00,2023-03-04T05:01:38.679-08:00,tutor,tutor,1,,,
,,,"You have a timing it. Then, you know. Finish, then you have to do another test. Keep doing them on time. I think that helps more than anything else.",2023-03-04T05:01:38.820-08:00,2023-03-04T05:01:48.990-08:00,tutor,tutor,1,,,
,,,"So it's 6, 31, and we're gonna start off. Okay, it's Start off with the welcome slides, and we'll see",2023-03-04T05:01:49.300-08:00,2023-03-04T05:01:57.660-08:00,tutor,tutor,1,,,
,,,anyone else joins and we will go on to our,2023-03-04T05:01:57.750-08:00,2023-03-04T05:02:04.560-08:00,tutor,tutor,1,,,
,,,test. We have a practice test Today's so,2023-03-04T05:02:05.340-08:00,2023-03-04T05:02:10.040-08:00,tutor,tutor,1,,,
,,,you said,2023-03-04T05:02:11.070-08:00,2023-03-04T05:02:12.040-08:00,tutor,tutor,1,,,
,,,"we, still chatting.",2023-03-04T05:02:12.600-08:00,2023-03-04T05:02:14.320-08:00,tutor,tutor,1,,,
,,,Oh.,2023-03-04T05:02:24.090-08:00,2023-03-04T05:02:25.370-08:00,tutor,tutor,1,,,
,,,okay.,2023-03-04T05:02:39.160-08:00,2023-03-04T05:02:39.940-08:00,tutor,tutor,1,,,
,,,So I would count the 4 day one right. This is our last week. This is,2023-03-04T05:02:40.360-08:00,2023-03-04T05:02:47.360-08:00,tutor,tutor,1,,,
,,,the session before the last.,2023-03-04T05:02:47.940-08:00,2023-03-04T05:02:51.500-08:00,tutor,tutor,1,,,
,,,So,2023-03-04T05:02:51.610-08:00,2023-03-04T05:02:52.790-08:00,tutor,tutor,1,,,
,,,"yeah, what are you guys interested in",2023-03-04T05:02:55.050-08:00,2023-03-04T05:02:57.640-08:00,tutor,tutor,1,,,
,,,subject?,2023-03-04T05:02:58.380-08:00,2023-03-04T05:02:59.630-08:00,tutor,tutor,1,,,
,,,"I mean, you guys can",2023-03-04T05:03:00.820-08:00,2023-03-04T05:03:02.260-08:00,tutor,tutor,1,,,
,,,with something in the chat.,2023-03-04T05:03:04.020-08:00,2023-03-04T05:03:05.590-08:00,tutor,tutor,1,,,
,,,I I remember there was a somewhat similar question a few weeks ago about your favorite subject at school.,2023-03-04T05:03:05.920-08:00,2023-03-04T05:03:12.890-08:00,tutor,tutor,1,,,
,,,So what interests you?,2023-03-04T05:03:13.800-08:00,2023-03-04T05:03:16.710-08:00,tutor,tutor,1,,,
,,,I am,2023-03-04T05:03:24.140-08:00,2023-03-04T05:03:25.100-08:00,tutor,tutor,1,,,
,,,"okay. I'm in chemistry. Okay, that's always interesting.",2023-03-04T05:03:25.970-08:00,2023-03-04T05:03:29.680-08:00,tutor,tutor,1,,,
,,,Hmm.,2023-03-04T05:03:30.520-08:00,2023-03-04T05:03:31.300-08:00,tutor,tutor,1,,,
,,,With dinosaurs.,2023-03-04T05:03:32.880-08:00,2023-03-04T05:03:34.510-08:00,tutor,tutor,1,,,
,,,"That's nice or just 2 8, [STUDENT_5].",2023-03-04T05:03:36.110-08:00,2023-03-04T05:03:39.070-08:00,tutor,tutor,1,,,
,,,It's here.,2023-03-04T05:03:40.180-08:00,2023-03-04T05:03:42.400-08:00,tutor,tutor,1,,,
,,,Emma,2023-03-04T05:03:42.880-08:00,2023-03-04T05:03:43.760-08:00,tutor,tutor,1,,,
,,,audio.,2023-03-04T05:03:43.860-08:00,2023-03-04T05:03:44.880-08:00,tutor,tutor,1,,,
,,,How about you guys?,2023-03-04T05:03:45.550-08:00,2023-03-04T05:03:46.810-08:00,tutor,tutor,1,,,
,,,Okay.,2023-03-04T05:03:53.030-08:00,2023-03-04T05:03:54.260-08:00,tutor,tutor,1,,,
,,,auto immune diseases. What are auto immune diseases? Can you explain?,2023-03-04T05:03:54.540-08:00,2023-03-04T05:03:58.740-08:00,tutor,tutor,1,,,
,,,"They're like diseases that are like your body causes by itself, like type, one diabetes",2023-03-04T05:03:59.240-08:00,2023-03-04T05:04:04.760-08:00,student,student B,1,,,
,,,and like i'm doing. I'm basically doing research on like,2023-03-04T05:04:05.920-08:00,2023-03-04T05:04:09.460-08:00,student,student B,1,,,
,,,"a treatment like an alternative treatment for type. One diabetes at my school, so that that kind of like fascinates me like",2023-03-04T05:04:09.880-08:00,2023-03-04T05:04:17.000-08:00,student,student B,1,,,
,,,that is fascinating.,2023-03-04T05:04:18.810-08:00,2023-03-04T05:04:21.900-08:00,tutor,tutor,1,,,
,,,"So you a psychology. Okay, that's great.",2023-03-04T05:04:22.710-08:00,2023-03-04T05:04:25.760-08:00,tutor,tutor,1,,,
,,,He.,2023-03-04T05:04:28.200-08:00,2023-03-04T05:04:28.980-08:00,tutor,tutor,1,,,
,,,"Ariana, do you",2023-03-04T05:04:28.990-08:00,2023-03-04T05:04:31.300-08:00,tutor,tutor,1,,,
,,,"one? You guys want to have possible subjects, that? Oh, yeah.",2023-03-04T05:04:31.360-08:00,2023-03-04T05:04:35.980-08:00,tutor,tutor,1,,,
,,,That's nice.,2023-03-04T05:04:36.120-08:00,2023-03-04T05:04:37.510-08:00,tutor,tutor,1,,,
,,,Yeah. Hold on. I'm: sorry. So,2023-03-04T05:04:38.940-08:00,2023-03-04T05:04:43.820-08:00,tutor,tutor,1,,,
,,,"yeah, you guys are interested in a lot of things, right? But",2023-03-04T05:04:44.040-08:00,2023-03-04T05:04:47.910-08:00,tutor,tutor,1,,,
,,,science based most of them.,2023-03-04T05:04:48.270-08:00,2023-03-04T05:04:50.070-08:00,tutor,tutor,1,,,
