problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
491.0,,1.0,"Hello, everyone!",2023-03-04T11:03:50.070-08:00,2023-03-04T11:03:51.300-08:00,tutor,tutor,1,,,
,,,Hi!,2023-03-04T11:03:53.990-08:00,2023-03-04T11:03:54.790-08:00,student,student A,1,,,
,,,Hello! Hello! How are you guys?,2023-03-04T11:03:57.540-08:00,2023-03-04T11:04:01.320-08:00,tutor,tutor,1,,,
,,,I'm: doing good.,2023-03-04T11:04:03.819-08:00,2023-03-04T11:04:04.950-08:00,student,student A,1,,,
,,,I'm: Good.,2023-03-04T11:04:04.970-08:00,2023-03-04T11:04:05.900-08:00,tutor,tutor,1,,,
,,,Yeah.,2023-03-04T11:04:07.240-08:00,2023-03-04T11:04:08.040-08:00,tutor,tutor,1,,,
,,,So okay. yeah. So I cannot come to the session tomorrow. So this will be my last session.,2023-03-04T11:04:09.170-08:00,2023-03-04T11:04:15.770-08:00,tutor,tutor,1,,,
,,,Okay.,2023-03-04T11:04:16.520-08:00,2023-03-04T11:04:17.460-08:00,tutor,tutor,1,,,
,,,it's okay. So,2023-03-04T11:04:18.500-08:00,2023-03-04T11:04:20.980-08:00,tutor,tutor,1,,,
,,,"what we are doing today. So first of all, welcome to",2023-03-04T11:04:23.620-08:00,2023-03-04T11:04:27.920-08:00,tutor,tutor,1,,,
,,,week for day one. So this is the second to last session.,2023-03-04T11:04:28.430-08:00,2023-03-04T11:04:34.120-08:00,tutor,tutor,1,,,
,,,and we have some flights.,2023-03-04T11:04:36.020-08:00,2023-03-04T11:04:38.260-08:00,tutor,tutor,1,,,
,,,Can everybody see my screen?,2023-03-04T11:04:42.180-08:00,2023-03-04T11:04:43.860-08:00,tutor,tutor,1,,,
,,,Yeah.,2023-03-04T11:04:46.500-08:00,2023-03-04T11:04:47.220-08:00,student,student A,1,,,
,,,yes.,2023-03-04T11:04:47.430-08:00,2023-03-04T11:04:48.250-08:00,student,student B,1,,,
,,,hello.,2023-03-04T11:04:48.270-08:00,2023-03-04T11:04:48.990-08:00,tutor,tutor,1,,,
,,,"welcome, everyone. This is the seventh class. Last second to last class.",2023-03-04T11:04:49.090-08:00,2023-03-04T11:04:54.170-08:00,tutor,tutor,1,,,
,,,And,2023-03-04T11:04:54.820-08:00,2023-03-04T11:04:55.710-08:00,tutor,tutor,1,,,
,,,"so today's question is, what is the subject or a topic that deeply interests you.",2023-03-04T11:04:58.490-08:00,2023-03-04T11:05:05.020-08:00,tutor,tutor,1,,,
,,,so is. so i'll go first. The subject. That,2023-03-04T11:05:06.580-08:00,2023-03-04T11:05:12.670-08:00,tutor,tutor,1,,,
,,,interest we very much is cyber security. It's very fun to break programs that other people have written and find flows with them.,2023-03-04T11:05:12.760-08:00,2023-03-04T11:05:22.330-08:00,tutor,tutor,1,,,
,,,"Why, Don't, would someone else like to go.",2023-03-04T11:05:23.390-08:00,2023-03-04T11:05:26.770-08:00,tutor,tutor,1,,,
,,,"I can go a a subject. I think that's really interesting is neuroscience, because you feel like there's so much about the brain and like.",2023-03-04T11:05:29.220-08:00,2023-03-04T11:05:39.100-08:00,student,student A,1,,,
,,,just like we can develop our personalities like with some. There's just so much to learn from it. So I feel like it's such a,2023-03-04T11:05:40.040-08:00,2023-03-04T11:05:48.380-08:00,student,student A,1,,,
,,,broad topic.,2023-03-04T11:05:48.600-08:00,2023-03-04T11:05:49.960-08:00,student,student A,1,,,
,,,That's very interesting. Anybody else want to go.,2023-03-04T11:05:51.450-08:00,2023-03-04T11:05:55.130-08:00,tutor,tutor,1,,,
,,,I can go. Yeah.,2023-03-04T11:05:55.760-08:00,2023-03-04T11:05:57.800-08:00,student,student B,1,,,
,,,Sort of related to that. I'm kind of interested in psychology and like,2023-03-04T11:05:58.000-08:00,2023-03-04T11:06:02.470-08:00,student,student B,1,,,
,,,how our brains work. I guess it just sounds really interesting to me.,2023-03-04T11:06:02.790-08:00,2023-03-04T11:06:06.710-08:00,student,student B,1,,,
,,,That's very cool. Anybody else want to go.,2023-03-04T11:06:07.840-08:00,2023-03-04T11:06:11.570-08:00,tutor,tutor,1,,,
,,,"Yeah, I can go. I'm interested in computer science and corporate law.",2023-03-04T11:06:12.290-08:00,2023-03-04T11:06:17.410-08:00,student,student C,1,,,
,,,What is that,2023-03-04T11:06:19.600-08:00,2023-03-04T11:06:20.630-08:00,tutor,tutor,1,,,
,,,"so corporate law? That's lawyers that work within a larger company, either a once to the company or they have multiple different clients to offer one main organization.",2023-03-04T11:06:21.580-08:00,2023-03-04T11:06:32.200-08:00,student,student C,1,,,
,,,It's great. Anybody else wants to go.,2023-03-04T11:06:34.020-08:00,2023-03-04T11:06:37.810-08:00,tutor,tutor,1,,,
,,,I can go.,2023-03-04T11:06:39.610-08:00,2023-03-04T11:06:41.250-08:00,student,student D,1,,,
,,,The topic I interest with the most is the topic of time travel in general,2023-03-04T11:06:42.360-08:00,2023-03-04T11:06:47.590-08:00,student,student D,1,,,
,,,it's like no one can ever crack the code of time travel. How exactly this thing works,2023-03-04T11:06:47.770-08:00,2023-03-04T11:06:53.580-08:00,student,student D,1,,,
,,,That's interesting,2023-03-04T11:06:55.200-08:00,2023-03-04T11:06:57.080-08:00,tutor,tutor,1,,,
