problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
495.0,,1.0,Are you sorry? Welcome back.,2023-02-22T19:54:36.010-08:00,2023-02-22T19:54:37.650-08:00,tutor,tutor,1,,,
,,,hey? Sorry about last time?,2023-02-22T19:54:38.620-08:00,2023-02-22T19:54:40.210-08:00,student,student A,1,,,
,,,"No, no worries. You're fine.",2023-02-22T19:54:40.320-08:00,2023-02-22T19:54:41.890-08:00,tutor,tutor,1,,,
,,,"I think I sent you the makeup work, but I Won't. Be checking it. Just if you have time",2023-02-22T19:54:43.340-08:00,2023-02-22T19:54:48.690-08:00,tutor,tutor,1,,,
,,,"you can do it. It's just making up the practice test and going over the answers, Really.",2023-02-22T19:54:48.750-08:00,2023-02-22T19:54:53.560-08:00,tutor,tutor,1,,,
,,,okay.,2023-02-22T19:54:54.610-08:00,2023-02-22T19:54:55.510-08:00,student,student A,1,,,
,,,How's your week? So far?,2023-02-22T19:54:58.370-08:00,2023-02-22T19:54:59.850-08:00,tutor,tutor,1,,,
,,,Good.,2023-02-22T19:55:02.290-08:00,2023-02-22T19:55:03.120-08:00,student,student A,1,,,
,,,"I've still got to day off. I go back to school tomorrow, actually.",2023-02-22T19:55:03.190-08:00,2023-02-22T19:55:06.700-08:00,student,student A,1,,,
,,,"Oh, you have a break! That's it's great. Hopefully. It's a relaxing break or a fun break. However, you're choosing to spend that time.",2023-02-22T19:55:07.450-08:00,2023-02-22T19:55:15.560-08:00,tutor,tutor,1,,,
,,,Yeah.,2023-02-22T19:55:16.840-08:00,2023-02-22T19:55:17.540-08:00,student,student A,1,,,
,,,it is,2023-02-22T19:55:19.120-08:00,2023-02-22T19:55:20.070-08:00,student,student A,1,,,
,,,yeah for me. I think my break was 2 weeks ago. I need to spend.,2023-02-22T19:55:21.710-08:00,2023-02-22T19:55:27.770-08:00,tutor,tutor,1,,,
,,,"I think I told you all that i'm in Taipei this semester, so I really need to take some time to explore the city.",2023-02-22T19:55:27.830-08:00,2023-02-22T19:55:34.680-08:00,tutor,tutor,1,,,
,,,and,2023-02-22T19:55:35.850-08:00,2023-02-22T19:55:36.840-08:00,tutor,tutor,1,,,
,,,"I think explore outside the city, too, because there's a lot of cool like hiking trails and mountains, too. So maybe the next break, which is what we call quadri a break at Minerva University. I'll probably go to",2023-02-22T19:55:37.040-08:00,2023-02-22T19:55:50.420-08:00,tutor,tutor,1,,,
,,,Elephant Mountain is what it's called. and it'll be a nice relaxing way to get away from academic stuff.,2023-02-22T19:55:50.530-08:00,2023-02-22T19:55:57.810-08:00,tutor,tutor,1,,,
,,,"Yeah, that sounds cool.",2023-02-22T19:55:59.320-08:00,2023-02-22T19:56:00.740-08:00,student,student A,1,,,
,,,What are you,2023-02-22T19:56:00.970-08:00,2023-02-22T19:56:02.270-08:00,student,student A,1,,,
,,,studying?,2023-02-22T19:56:02.790-08:00,2023-02-22T19:56:03.710-08:00,student,student A,1,,,
,,,"I'm studying computer science right now. So, majoring in that mining in psychology",2023-02-22T19:56:04.080-08:00,2023-02-22T19:56:09.560-08:00,tutor,tutor,1,,,
,,,that's cool. What do you want to like do for like a career?,2023-02-22T19:56:12.030-08:00,2023-02-22T19:56:15.470-08:00,student,student A,1,,,
,,,"So right now, I actually have",2023-02-22T19:56:17.280-08:00,2023-02-22T19:56:20.380-08:00,tutor,tutor,1,,,
,,,right now i'm planning to be a software. Engineer at a big retail company.,2023-02-22T19:56:20.920-08:00,2023-02-22T19:56:26.720-08:00,tutor,tutor,1,,,
,,,"and i'll certainly do that for at least 2 years. I' see. Hey, do I like working at a big company? Do I like this sort of software engineering side of things, and",2023-02-22T19:56:28.280-08:00,2023-02-22T19:56:38.540-08:00,tutor,tutor,1,,,
,,,from there we'll see what happens. But i'm really excited for what the future holds for me.,2023-02-22T19:56:38.800-08:00,2023-02-22T19:56:43.910-08:00,tutor,tutor,1,,,
