problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
485.0,,1.0,Welcome to,2023-02-10T12:54:14.340-08:00,2023-02-10T12:54:17.809-08:00,tutor,tutor,1,,,
,,,hi everyone.,2023-02-10T12:56:49.480-08:00,2023-02-10T12:56:50.620-08:00,tutor,tutor,1,,,
,,,So our next week,2023-02-10T12:56:50.730-08:00,2023-02-10T12:56:52.529-08:00,tutor,tutor,1,,,
,,,"good afternoon, everyone. My name is, and",2023-02-10T13:00:12.260-08:00,2023-02-10T13:00:17.580-08:00,tutor,tutor,1,,,
,,,i'll be at you over the next 4 weeks.,2023-02-10T13:00:17.790-08:00,2023-02-10T13:00:20.209-08:00,tutor,tutor,1,,,
,,,alright. So we're going to do a brief orientation.,2023-02-10T13:00:20.390-08:00,2023-02-10T13:00:24.279-08:00,tutor,tutor,1,,,
,,,Thank you guys Hear me?,2023-02-10T13:00:24.460-08:00,2023-02-10T13:00:25.640-08:00,tutor,tutor,1,,,
,,,"Yeah, I can hear you guys hear me?",2023-02-10T13:00:27.800-08:00,2023-02-10T13:00:29.960-08:00,tutor,tutor,1,,,
,,,Yes.,2023-02-10T13:00:31.010-08:00,2023-02-10T13:00:31.910-08:00,student,student A,1,,,
,,,Sorry I can't.,2023-02-10T13:00:34.980-08:00,2023-02-10T13:00:36.500-08:00,tutor,tutor,1,,,
,,,Thank you.,2023-02-10T13:00:37.770-08:00,2023-02-10T13:00:39.289-08:00,tutor,tutor,1,,,
,,,Alright. Can you guys hear me?,2023-02-10T13:00:55.180-08:00,2023-02-10T13:00:56.570-08:00,tutor,tutor,1,,,
,,,I'm sorry.,2023-02-10T13:00:56.800-08:00,2023-02-10T13:00:57.760-08:00,tutor,tutor,1,,,
,,,"Yes, we can.",2023-02-10T13:00:57.850-08:00,2023-02-10T13:01:02.820-08:00,student,student B,1,,,
,,,"all right. I'm sorry for the interaction, alright.",2023-02-10T13:02:06.020-08:00,2023-02-10T13:02:09.760-08:00,tutor,tutor,1,,,
