problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
491.0,,1.0,All right. We're getting checking now. Could everyone turn on their camera?,2023-03-06T17:01:42.720-08:00,2023-03-06T17:01:46.930-08:00,tutor,tutor,1,,,
,,,Thank you.,2023-03-06T17:01:53.280-08:00,2023-03-06T17:01:54.600-08:00,tutor,tutor,1,,,
,,,All right. Cool.,2023-03-06T17:01:59.730-08:00,2023-03-06T17:02:01.370-08:00,tutor,tutor,1,,,
,,,So how is everyone doing today?,2023-03-06T17:02:02.050-08:00,2023-03-06T17:02:04.540-08:00,tutor,tutor,1,,,
,,,Good that it? Okay. Good.,2023-03-06T17:02:05.240-08:00,2023-03-06T17:02:08.450-08:00,tutor,tutor,1,,,
,,,That's good.,2023-03-06T17:02:10.480-08:00,2023-03-06T17:02:11.670-08:00,student,student A,1,,,
,,,So,2023-03-06T17:02:12.110-08:00,2023-03-06T17:02:13.880-08:00,tutor,tutor,1,,,
,,,"yeah, that's good.",2023-03-06T17:02:15.970-08:00,2023-03-06T17:02:17.660-08:00,tutor,tutor,1,,,
,,,Okay. So we're going to start today with another practice test. This. One does,2023-03-06T17:02:21.660-08:00,2023-03-06T17:02:30.770-08:00,tutor,tutor,1,,,
,,,allow calculators.,2023-03-06T17:02:31.190-08:00,2023-03-06T17:02:33.400-08:00,tutor,tutor,1,,,
,,,and it's gonna be like approximately,2023-03-06T17:02:33.490-08:00,2023-03-06T17:02:37.380-08:00,tutor,tutor,1,,,
,,,20 ish minutes on 25.,2023-03-06T17:02:37.870-08:00,2023-03-06T17:02:41.650-08:00,tutor,tutor,1,,,
,,,So just let me know if you have difficulties finding it.,2023-03-06T17:02:42.730-08:00,2023-03-06T17:02:47.330-08:00,tutor,tutor,1,,,
,,,Or anything else.,2023-03-06T17:02:48.470-08:00,2023-03-06T17:02:49.980-08:00,tutor,tutor,1,,,
,,,You guys have about 5 min left.,2023-03-06T17:22:33.840-08:00,2023-03-06T17:22:36.600-08:00,tutor,tutor,1,,,
,,,"Okay, everyone Can you turn in your tests?",2023-03-06T17:28:11.540-08:00,2023-03-06T17:28:14.740-08:00,tutor,tutor,1,,,
,,,All right. Cool. How do you guys think it fun?,2023-03-06T17:28:38.990-08:00,2023-03-06T17:28:41.860-08:00,tutor,tutor,1,,,
,,,Good.,2023-03-06T17:28:45.220-08:00,2023-03-06T17:28:46.130-08:00,tutor,tutor,1,,,
,,,Okay.,2023-03-06T17:28:46.150-08:00,2023-03-06T17:28:47.170-08:00,tutor,tutor,1,,,
,,,I feel like it was a little easier.,2023-03-06T17:28:48.100-08:00,2023-03-06T17:28:50.010-08:00,student,student B,1,,,
,,,"Yeah, for sure.",2023-03-06T17:28:51.400-08:00,2023-03-06T17:28:52.740-08:00,tutor,tutor,1,,,
,,,The beginning part of a test is always kind of a little easier.,2023-03-06T17:28:53.550-08:00,2023-03-06T17:28:57.660-08:00,tutor,tutor,1,,,
,,,So send me any questions that you guys want to go over.,2023-03-06T17:29:04.510-08:00,2023-03-06T17:29:08.380-08:00,tutor,tutor,1,,,
,,,"Okay, so it looks like it. The questions",2023-03-06T17:30:45.510-08:00,2023-03-06T17:30:48.580-08:00,tutor,tutor,1,,,
,,,"people most want to go over is 1115, 16, and 17.",2023-03-06T17:30:48.710-08:00,2023-03-06T17:30:55.140-08:00,tutor,tutor,1,,,
,,,Okay.,2023-03-06T17:31:01.370-08:00,2023-03-06T17:31:02.239-08:00,tutor,tutor,1,,,
,11.0,1.0,"So question, 11 is",2023-03-06T17:31:05.300-08:00,2023-03-06T17:31:08.500-08:00,tutor,tutor,2,,11.0,
,,,one about means and standard deviations.,2023-03-06T17:31:08.900-08:00,2023-03-06T17:31:12.230-08:00,tutor,tutor,2,,11.0,
,,,So,2023-03-06T17:31:12.440-08:00,2023-03-06T17:31:14.510-08:00,tutor,tutor,2,,11.0,
,,,"if you sum up the numbers from list a and List B,",2023-03-06T17:31:15.230-08:00,2023-03-06T17:31:19.679-08:00,tutor,tutor,2,,11.0,
,,,they have the same sum. So,2023-03-06T17:31:19.810-08:00,2023-03-06T17:31:22.870-08:00,tutor,tutor,2,,11.0,
,,,"when you divide them both by 6,",2023-03-06T17:31:23.330-08:00,2023-03-06T17:31:27.080-08:00,tutor,tutor,2,,11.0,
,,,you're going to find that their means are the same.,2023-03-06T17:31:27.219-08:00,2023-03-06T17:31:29.630-08:00,tutor,tutor,2,,11.0,
,,,On the other hand.,2023-03-06T17:31:30.600-08:00,2023-03-06T17:31:32.420-08:00,tutor,tutor,2,,11.0,
,,,standard deviation is like. If you have a bell curve of all of your values.,2023-03-06T17:31:32.460-08:00,2023-03-06T17:31:40.000-08:00,tutor,tutor,2,,11.0,
