problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
491.0,,1.0,"Hi, everyone! Are you able to hear me?",2023-03-07T13:00:28.530-08:00,2023-03-07T13:00:30.300-08:00,tutor,tutor,1,,,
,,,Yes.,2023-03-07T13:00:31.810-08:00,2023-03-07T13:00:32.700-08:00,student,student A,1,,,
,,,awesome. All right. If you guys could turn your cameras on that would be great.,2023-03-07T13:00:33.390-08:00,2023-03-07T13:00:38.130-08:00,tutor,tutor,1,,,
,,,and we'll get started Today's format is going to be pretty similar to,2023-03-07T13:00:38.370-08:00,2023-03-07T13:00:45.700-08:00,tutor,tutor,1,,,
,,,"yesterday's in that. What we're gonna do is we're going to start out by taking our practice test, and then we're going to go over it. So we're not going to do a review before we do our practice tests.",2023-03-07T13:00:45.840-08:00,2023-03-07T13:00:56.640-08:00,tutor,tutor,1,,,
,,,"One thing I would like to do, though, before we take our practice test is, i'd like to do a bit of a group discussion just kind of regarding your feelings towards",2023-03-07T13:00:56.930-08:00,2023-03-07T13:01:09.330-08:00,tutor,tutor,1,,,
,,,your upcoming sat. So i'm going to put a question in the chat. And,2023-03-07T13:01:10.620-08:00,2023-03-07T13:01:16.920-08:00,tutor,tutor,1,,,
,,,"because you know, your Sat is this Saturday, which is pretty soon, and so i'm going to put a question in the chat, and if any of you would like to answer it and talk about, maybe how you're feeling.",2023-03-07T13:01:19.950-08:00,2023-03-07T13:01:29.140-08:00,tutor,tutor,1,,,
,,,"what kinds of things you're worried about, maybe, or what kinds of things you're feeling confident in anything like that. I think that would be a great place to start.",2023-03-07T13:01:30.990-08:00,2023-03-07T13:01:40.170-08:00,tutor,tutor,1,,,
,,,Yeah. So if anyone wants to start us off. that'd be great.,2023-03-07T13:01:42.010-08:00,2023-03-07T13:01:45.470-08:00,tutor,tutor,1,,,
,,,If you guys would prefer to just message me,2023-03-07T13:02:01.920-08:00,2023-03-07T13:02:05.270-08:00,tutor,tutor,1,,,
,,,"your answers through the chat. That would be fine, too. I just would like to get a sense of kind of how you're all feeling.",2023-03-07T13:02:05.540-08:00,2023-03-07T13:02:13.070-08:00,tutor,tutor,1,,,
,,,Yeah.,2023-03-07T13:02:15.430-08:00,2023-03-07T13:02:16.040-08:00,tutor,tutor,1,,,
