problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
495.0,,1.0,"So. Bro. Welcome, Jackie, how are you?",2023-02-19T18:41:29.840+00:00,2023-02-19T18:41:34.950+00:00,student,student A,1,,,
,,,"I'm doing well, Thank you.",2023-02-19T18:41:35.130+00:00,2023-02-19T18:41:36.610+00:00,tutor,tutor,1,,,
,,,That's how you wake up today.,2023-02-19T18:41:36.950+00:00,2023-02-19T18:41:38.540+00:00,student,student A,1,,,
,,,Around 8.,2023-02-19T18:41:41.760+00:00,2023-02-19T18:41:42.830+00:00,tutor,tutor,1,,,
,,,"Oh, really for.",2023-02-19T18:41:47.740+00:00,2023-02-19T18:41:54.370+00:00,tutor,tutor,1,,,
,,,and I still got homework.,2023-02-19T18:41:54.550+00:00,2023-02-19T18:41:57.330+00:00,student,student A,1,,,
,,,Your President's day as well.,2023-02-19T18:41:57.620+00:00,2023-02-19T18:41:59.100+00:00,tutor,tutor,1,,,
,,,"Huh? Yeah. Presidents day off tomorrow. Yeah, when they I don't know how much you do when we get that",2023-02-19T18:41:59.420+00:00,2023-02-19T18:42:05.990+00:00,student,student A,1,,,
,,,like not counting Monday. So I have to finish it. It's. It's computer home. It's kind of it's kind of hard to me do it.,2023-02-19T18:42:06.240+00:00,2023-02-19T18:42:14.700+00:00,student,student A,1,,,
,,,It's not the best.,2023-02-19T18:42:15.560+00:00,2023-02-19T18:42:17.420+00:00,tutor,tutor,1,,,
,,,Yeah. But yeah. thanks a lot.,2023-02-19T18:42:18.140+00:00,2023-02-19T18:42:22.070+00:00,student,student A,1,,,
,,,Alright. Thank you. Fucking curious. Then.,2023-02-19T18:42:22.650+00:00,2023-02-19T18:42:25.860+00:00,tutor,tutor,1,,,
,,,Hi.,2023-02-19T18:42:27.710+00:00,2023-02-19T18:42:28.740+00:00,student,student B,1,,,
,,,Hello! How are you?,2023-02-19T18:42:29.020+00:00,2023-02-19T18:42:30.500+00:00,tutor,tutor,1,,,
,,,I'm: Good. How are you?,2023-02-19T18:42:30.940+00:00,2023-02-19T18:42:32.560+00:00,student,student B,1,,,
,,,"I'm: doing? Well, Thank you.",2023-02-19T18:42:32.580+00:00,2023-02-19T18:42:34.200+00:00,tutor,tutor,1,,,
,,,Hmm.,2023-02-19T18:43:00.330+00:00,2023-02-19T18:43:00.990+00:00,tutor,tutor,1,,,
,,,"Welcome, [STUDENT_8].",2023-02-19T18:44:23.060+00:00,2023-02-19T18:44:24.300+00:00,tutor,tutor,1,,,
,,,Welcome to.,2023-02-19T18:44:54.200+00:00,2023-02-19T18:44:56.340+00:00,tutor,tutor,1,,,
,,,So for the people who are here we're going to wait about another 2 min until we get about,2023-02-19T18:45:12.430+00:00,2023-02-19T18:45:17.880+00:00,tutor,tutor,1,,,
,,,"10 participants, and then we'll go ahead and get started.",2023-02-19T18:45:18.050+00:00,2023-02-19T18:45:21.350+00:00,tutor,tutor,1,,,
,,,"and then if it gets past 1240, 8, then it'll just start.",2023-02-19T18:45:23.800+00:00,2023-02-19T18:45:29.380+00:00,tutor,tutor,1,,,
,,,"Welcome, [STUDENT_10]!",2023-02-19T18:45:35.390+00:00,2023-02-19T18:45:36.560+00:00,tutor,tutor,1,,,
,,,Hello!,2023-02-19T18:45:37.950+00:00,2023-02-19T18:45:38.800+00:00,student,student C,1,,,
,,,Hello! How are you?,2023-02-19T18:45:39.270+00:00,2023-02-19T18:45:40.690+00:00,tutor,tutor,1,,,
,,,Good! How are you?,2023-02-19T18:45:41.420+00:00,2023-02-19T18:45:42.610+00:00,student,student C,1,,,
,,,"I'm doing Well, Thank you.",2023-02-19T18:45:42.750+00:00,2023-02-19T18:45:44.230+00:00,tutor,tutor,1,,,
,,,That's good.,2023-02-19T18:45:44.280+00:00,2023-02-19T18:45:45.210+00:00,student,student C,1,,,
,,,"Hello, Cumbria! Welcome as you.",2023-02-19T18:45:53.710+00:00,2023-02-19T18:45:55.910+00:00,tutor,tutor,1,,,
,,,"So we're going to wait for one more person, and we're going to go ahead and get started.",2023-02-19T18:46:03.740+00:00,2023-02-19T18:46:08.080+00:00,tutor,tutor,1,,,
,,,Oh. it's like we have one person,2023-02-19T18:46:10.760+00:00,2023-02-19T18:46:13.380+00:00,tutor,tutor,1,,,
,,,welcome in.,2023-02-19T18:46:21.330+00:00,2023-02-19T18:46:22.380+00:00,tutor,tutor,1,,,
,,,all right. I think that's about everybody everybody else joins. I'll just get them cut up and we'll,2023-02-19T18:46:27.750+00:00,2023-02-19T18:46:34.630+00:00,tutor,tutor,1,,,
,,,it had. Go ahead and get started,2023-02-19T18:46:35.110+00:00,2023-02-19T18:46:36.950+00:00,tutor,tutor,1,,,
,,,"all right, so schoolhouse s it boot camp week to day 2 who can't feed back.",2023-02-19T18:46:37.100+00:00,2023-02-19T18:46:42.320+00:00,tutor,tutor,1,,,
,,,So what feedback do you guys have for the sat boot camp? So far,2023-02-19T18:46:42.950+00:00,2023-02-19T18:46:47.630+00:00,tutor,tutor,1,,,
,,,"you guys like type of reaction to chat, or you guys can just share with all of us.",2023-02-19T18:46:47.830+00:00,2023-02-19T18:46:53.380+00:00,tutor,tutor,1,,,
,,,What if I like to go first and share,2023-02-19T18:46:54.120+00:00,2023-02-19T18:46:55.810+00:00,tutor,tutor,1,,,
,,,"It makes you guys more comfortable? You can just DM me, or just put in the chat and put you guys feel how these s it? Boot camp so far?",2023-02-19T18:47:11.870+00:00,2023-02-19T18:47:19.370+00:00,tutor,tutor,1,,,
