problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
485.0,,1.0,Hello.,2023-02-11T10:55:40.590-08:00,2023-02-11T10:55:41.550-08:00,tutor,tutor,1,,,
,,,Hi! Guys.,2023-02-11T10:56:27.500-08:00,2023-02-11T10:56:28.540-08:00,tutor,tutor,1,,,
,,,Hi! Guys!,2023-02-11T10:57:38.840-08:00,2023-02-11T10:57:39.870-08:00,tutor,tutor,1,,,
,,,Hi! Guys!,2023-02-11T10:59:59.960-08:00,2023-02-11T11:00:00.970-08:00,tutor,tutor,1,,,
,,,"Okay. So I think we're going to get started, and if everyone anyone else comes, then I will let them in when they do so. I'm going to share my screen right now.",2023-02-11T11:00:04.860-08:00,2023-02-11T11:00:18.590-08:00,tutor,tutor,1,,,
,,,And please tell me if you can see it.,2023-02-11T11:00:19.000-08:00,2023-02-11T11:00:22.630-08:00,tutor,tutor,1,,,
,,,Can you see my screen.,2023-02-11T11:00:31.410-08:00,2023-02-11T11:00:32.990-08:00,tutor,tutor,1,,,
,,,"Okay, great.",2023-02-11T11:00:41.640-08:00,2023-02-11T11:00:43.230-08:00,tutor,tutor,1,,,
,,,So this is basically a small introduction to the boot camp.,2023-02-11T11:00:51.680-08:00,2023-02-11T11:00:56.800-08:00,tutor,tutor,1,,,
,,,"And first of all, i'm going to introduce myself. And then i'm going to ask all of you to introduce yourselves. So if you could please, just turn on your mic and",2023-02-11T11:00:57.080-08:00,2023-02-11T11:01:09.880-08:00,tutor,tutor,1,,,
,,,"see your name, and something about you that would be great. So hi! My name is Anna I'm. From Romania in Europe. and my hope for the Sat boot camp is to help you all achieve the score that you want, and to",2023-02-11T11:01:10.120-08:00,2023-02-11T11:01:27.480-08:00,tutor,tutor,1,,,
,,,"just for you to do your best. The upcoming sat. This is the second time i'm teaching a boot camp, so",2023-02-11T11:01:27.580-08:00,2023-02-11T11:01:35.110-08:00,tutor,tutor,1,,,
,,,"i'm hoping I can help you with anything you need. So, Amira, can you introduce yourself and then popcorn to somebody else?",2023-02-11T11:01:35.810-08:00,2023-02-11T11:01:47.210-08:00,tutor,tutor,1,,,
,,,"Okay, hi! My name is Amara. I am from California and my hope for this you you can to to score higher than my Psh.",2023-02-11T11:01:50.590-08:00,2023-02-11T11:01:59.920-08:00,student,student A,1,,,
,,,"Okay, great. And can you pass it on to someone else",2023-02-11T11:02:01.910-08:00,2023-02-11T11:02:04.710-08:00,student,student A,1,,,
,,,One of your colleagues.,2023-02-11T11:02:04.730-08:00,2023-02-11T11:02:06.010-08:00,tutor,tutor,1,,,
,,,How do I do that?,2023-02-11T11:02:06.210-08:00,2023-02-11T11:02:07.380-08:00,student,student A,1,,,
,,,"Oh, just say his or her name.",2023-02-11T11:02:07.960-08:00,2023-02-11T11:02:10.650-08:00,tutor,tutor,1,,,
,,,"Okay, what about [STUDENT_10]? B.",2023-02-11T11:02:10.840-08:00,2023-02-11T11:02:13.740-08:00,student,student A,1,,,
