problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
492.0,,1.0,Okay.,2023-03-08T19:09:48.780-08:00,2023-03-08T19:09:49.370-08:00,tutor,tutor,1,,,
,,,"7, 13, Hopefully, more people show up in a second.",2023-03-08T19:13:12.040-08:00,2023-03-08T19:13:17.010-08:00,tutor,tutor,1,,,
,,,"alright. 7, 15. But there's only 4 to you guys.",2023-03-08T19:15:08.920-08:00,2023-03-08T19:15:11.800-08:00,tutor,tutor,1,,,
,,,"We don't have that much plan for today, so",2023-03-08T19:15:13.750-08:00,2023-03-08T19:15:16.820-08:00,tutor,tutor,1,,,
,,,I think we can wait a minute before we,2023-03-08T19:15:17.900-08:00,2023-03-08T19:15:21.030-08:00,tutor,tutor,1,,,
,,,start up completely. But,2023-03-08T19:15:21.190-08:00,2023-03-08T19:15:24.380-08:00,tutor,tutor,1,,,
,,,I let me just start getting things ready.,2023-03-08T19:15:24.580-08:00,2023-03-08T19:15:28.200-08:00,tutor,tutor,1,,,
,,,"I wait till 7. 16, 7, 17. No more people show up than",2023-03-08T19:15:29.050-08:00,2023-03-08T19:15:34.740-08:00,tutor,tutor,1,,,
,,,you can just get started.,2023-03-08T19:15:35.130-08:00,2023-03-08T19:15:36.500-08:00,tutor,tutor,1,,,
,,,"In the meantime, let me just",2023-03-08T19:15:37.470-08:00,2023-03-08T19:15:39.890-08:00,tutor,tutor,1,,,
,,,this for you guys.,2023-03-08T19:15:40.600-08:00,2023-03-08T19:15:42.400-08:00,tutor,tutor,1,,,
,,,hey? Sure.,2023-03-08T19:15:44.130-08:00,2023-03-08T19:15:46.360-08:00,tutor,tutor,1,,,
,,,Okay? And then it's my shoe.,2023-03-08T19:15:48.400-08:00,2023-03-08T19:15:52.330-08:00,tutor,tutor,1,,,
,,,Alright.,2023-03-08T19:15:53.720-08:00,2023-03-08T19:15:54.390-08:00,tutor,tutor,1,,,
,,,"Yeah, we'll take like one more minute. Allow people to come in and still check out everything",2023-03-08T19:15:55.220-08:00,2023-03-08T19:16:00.330-08:00,tutor,tutor,1,,,
,,,we like,2023-03-08T19:16:00.690-08:00,2023-03-08T19:16:01.700-08:00,tutor,tutor,1,,,
,,,today is our last session. So I want everyone to,2023-03-08T19:16:01.980-08:00,2023-03-08T19:16:05.270-08:00,tutor,tutor,1,,,
,,,be here to what? How? To? Yeah.,2023-03-08T19:16:06.890-08:00,2023-03-08T19:16:11.350-08:00,tutor,tutor,1,,,
,,,Okay.,2023-03-08T19:16:13.990-08:00,2023-03-08T19:16:14.930-08:00,tutor,tutor,1,,,
,,,"yeah, we could start at 17. It can't be too long. But",2023-03-08T19:16:22.590-08:00,2023-03-08T19:16:26.290-08:00,tutor,tutor,1,,,
,,,yeah.,2023-03-08T19:16:26.370-08:00,2023-03-08T19:16:27.090-08:00,tutor,tutor,1,,,
,,,right then. Seventeenth.,2023-03-08T19:17:01.070-08:00,2023-03-08T19:17:02.950-08:00,tutor,tutor,1,,,
,,,Okay. So I think we can just get started hopefully. More people come in. But we're gonna start,2023-03-08T19:17:04.950-08:00,2023-03-08T19:17:12.620-08:00,tutor,tutor,1,,,
,,,"with a practice test again. So. Oh, there's someone.",2023-03-08T19:17:12.730-08:00,2023-03-08T19:17:15.630-08:00,tutor,tutor,1,,,
,,,I don't want them to get stuff on the practice while we're doing the practice test. anyways. right? So,2023-03-08T19:17:17.840-08:00,2023-03-08T19:17:27.020-08:00,tutor,tutor,1,,,
