problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
491.0,,1.0,"Hey, guys, just give me a minute to get set up",2023-03-03T12:01:03.150-08:00,2023-03-03T12:01:05.740-08:00,tutor,tutor,1,,,
,,,Alrighty. If we could all get our cameras on so I can get started here,2023-03-03T12:03:27.840-08:00,2023-03-03T12:03:33.760-08:00,tutor,tutor,1,,,
,,,you are able to turn your cameras on. Please go for it.,2023-03-03T12:04:22.590-08:00,2023-03-03T12:04:26.350-08:00,tutor,tutor,1,,,
,,,Okay.,2023-03-03T12:04:36.370-08:00,2023-03-03T12:04:37.160-08:00,tutor,tutor,1,,,
,,,"So today is week for day, one. the second to last session with me, how are you guys feeling about this? So far? Thumbs up thumbs down",2023-03-03T12:04:37.740-08:00,2023-03-03T12:04:46.910-08:00,tutor,tutor,1,,,
,,,"cool, cool?",2023-03-03T12:04:47.980-08:00,2023-03-03T12:04:48.880-08:00,tutor,tutor,1,,,
,,,"So today's welcome question is, what is the subject or topic that deeply interest you",2023-03-03T12:04:51.300-08:00,2023-03-03T12:04:55.820-08:00,tutor,tutor,1,,,
,,,for me. I'm really big into like.,2023-03-03T12:04:56.310-08:00,2023-03-03T12:05:00.080-08:00,tutor,tutor,1,,,
,,,"not necessarily all biology, but like",2023-03-03T12:05:00.620-08:00,2023-03-03T12:05:03.140-08:00,tutor,tutor,1,,,
,,,"anatomy, and like genetics, or is really interesting to me.",2023-03-03T12:05:03.520-08:00,2023-03-03T12:05:08.000-08:00,tutor,tutor,1,,,
,,,I am also big on math. So hence why I'm helping to to math. But,2023-03-03T12:05:08.130-08:00,2023-03-03T12:05:14.280-08:00,tutor,tutor,1,,,
,,,yeah.,2023-03-03T12:05:16.640-08:00,2023-03-03T12:05:17.400-08:00,tutor,tutor,1,,,
,,,"Kayla, do you have any subject to a topic that interest you?",2023-03-03T12:05:18.700-08:00,2023-03-03T12:05:21.650-08:00,tutor,tutor,1,,,
,,,"Yeah. Normally, I tend to gravitate more those like English.",2023-03-03T12:05:22.480-08:00,2023-03-03T12:05:26.140-08:00,student,student A,1,,,
,,,"Okay, yeah.",2023-03-03T12:05:26.450-08:00,2023-03-03T12:05:27.880-08:00,tutor,tutor,1,,,
,,,Rosen.,2023-03-03T12:05:28.710-08:00,2023-03-03T12:05:29.730-08:00,tutor,tutor,1,,,
,,,I really like chemistry.,2023-03-03T12:05:31.250-08:00,2023-03-03T12:05:32.790-08:00,student,student B,1,,,
,,,That's rare. Not too many people like that.,2023-03-03T12:05:34.330-08:00,2023-03-03T12:05:36.970-08:00,tutor,tutor,1,,,
,,,You may.,2023-03-03T12:05:37.330-08:00,2023-03-03T12:05:38.240-08:00,tutor,tutor,1,,,
,,,I like business related classes like finance and stuff.,2023-03-03T12:05:40.330-08:00,2023-03-03T12:05:44.200-08:00,student,student C,1,,,
,,,"Nice, nice",2023-03-03T12:05:44.720-08:00,2023-03-03T12:05:45.880-08:00,tutor,tutor,1,,,
,,,Santa.,2023-03-03T12:05:46.890-08:00,2023-03-03T12:05:47.820-08:00,tutor,tutor,1,,,
,,,"I like biology, too, but more into like the behavior side of it.",2023-03-03T12:05:49.960-08:00,2023-03-03T12:05:55.540-08:00,student,student D,1,,,
,,,"Okay, like psychology, or",2023-03-03T12:05:56.330-08:00,2023-03-03T12:05:58.630-08:00,tutor,tutor,1,,,
,,,like more like animal behavior.,2023-03-03T12:05:58.950-08:00,2023-03-03T12:06:01.220-08:00,student,student D,1,,,
,,,Gotcha,2023-03-03T12:06:01.320-08:00,2023-03-03T12:06:02.220-08:00,tutor,tutor,1,,,
,,,Gotcha.,2023-03-03T12:06:02.600-08:00,2023-03-03T12:06:03.300-08:00,tutor,tutor,1,,,
,,,Okay.,2023-03-03T12:06:05.040-08:00,2023-03-03T12:06:05.850-08:00,tutor,tutor,1,,,
,,,Alright.,2023-03-03T12:06:09.400-08:00,2023-03-03T12:06:10.100-08:00,tutor,tutor,1,,,
,,,So today one of the topics i'm talking about is tutoring on the schoolhouse.,2023-03-03T12:06:11.240-08:00,2023-03-03T12:06:16.550-08:00,tutor,tutor,1,,,
,,,Anyone is able to tutor here.,2023-03-03T12:06:16.650-08:00,2023-03-03T12:06:20.060-08:00,tutor,tutor,1,,,
,,,"I heard about schoolhouse through an email because of linking my St. T to my Khan Academy, and then, seeing my score and being like, hey, can you help teach other people.",2023-03-03T12:06:20.590-08:00,2023-03-03T12:06:31.440-08:00,tutor,tutor,1,,,
,,,but,2023-03-03T12:06:31.690-08:00,2023-03-03T12:06:33.110-08:00,tutor,tutor,1,,,
,,,anyone is able to tutor so long as you know what you're talking about.,2023-03-03T12:06:33.180-08:00,2023-03-03T12:06:37.830-08:00,tutor,tutor,1,,,
,,,"It takes 2 h to get certified and finish the training. It took me a little late, and not that long. So it it really is easy. As soon as you guys have",2023-03-03T12:06:37.840-08:00,2023-03-03T12:06:47.920-08:00,tutor,tutor,1,,,
,,,"credentials, to be able to do so. It's really really easy to just go for it.",2023-03-03T12:06:47.930-08:00,2023-03-03T12:06:52.170-08:00,tutor,tutor,1,,,
,,,"It's a pretty big community. They have over 4,000 volunteers helping out",2023-03-03T12:06:52.290-08:00,2023-03-03T12:06:57.640-08:00,tutor,tutor,1,,,
,,,just like me.,2023-03-03T12:06:57.680-08:00,2023-03-03T12:06:59.090-08:00,tutor,tutor,1,,,
,,,You make your own schedule and host sessions when you're able to for anything with the sat or otherwise. There are plenty of classes for you to tutor.,2023-03-03T12:06:59.280-08:00,2023-03-03T12:07:09.820-08:00,tutor,tutor,1,,,
,,,"And yeah, you're just helping other students and earning community service hours from us.",2023-03-03T12:07:10.150-08:00,2023-03-03T12:07:15.000-08:00,tutor,tutor,1,,,
,,,"So today we're going to do practice test B 2, which is another review",2023-03-03T12:07:17.570-08:00,2023-03-03T12:07:22.110-08:00,tutor,tutor,1,,,
,,,which is calculator section makes you guys have calculators ready? Then we're gonna go over it. And then i'm gonna go over a couple of concepts that,2023-03-03T12:07:22.250-08:00,2023-03-03T12:07:31.110-08:00,tutor,tutor,1,,,
,,,I feel you guys need to work on that sound good to everybody.,2023-03-03T12:07:31.190-08:00,2023-03-03T12:07:34.620-08:00,tutor,tutor,1,,,
,,,"Cool, cool. Stop sharing here. If you go into your series. Assessments.",2023-03-03T12:07:36.170-08:00,2023-03-03T12:07:44.030-08:00,tutor,tutor,1,,,
,,,practice test. B 2 is open right now. I want you guys to go ahead and and get started with that.,2023-03-03T12:07:44.100-08:00,2023-03-03T12:07:49.840-08:00,tutor,tutor,1,,,
,,,Yeah. Use the chat if you have any questions for me and you're free to turn your cameras off.,2023-03-03T12:07:51.750-08:00,2023-03-03T12:07:56.630-08:00,tutor,tutor,1,,,
,,,"All right, guys. Let's start",2023-03-03T12:33:18.040-08:00,2023-03-03T12:33:19.900-08:00,tutor,tutor,1,,,
,,,putting your responses in and coming back.,2023-03-03T12:33:21.480-08:00,2023-03-03T12:33:24.090-08:00,tutor,tutor,1,,,
,,,Put in the chat. Whichever ones you want me to go over specifically.,2023-03-03T12:34:01.370-08:00,2023-03-03T12:34:06.510-08:00,tutor,tutor,1,,,
,,,"Otherwise, I'm: just going to take a quick peek.",2023-03-03T12:34:07.710-08:00,2023-03-03T12:34:10.080-08:00,tutor,tutor,1,,,
,,,Okay.,2023-03-03T12:34:34.980-08:00,2023-03-03T12:34:35.630-08:00,tutor,tutor,1,,,
,,,Can you see my screen,2023-03-03T12:35:02.489-08:00,2023-03-03T12:35:03.830-08:00,tutor,tutor,1,,,
,,,cool?,2023-03-03T12:35:05.989-08:00,2023-03-03T12:35:06.630-08:00,tutor,tutor,1,,,
,12.0,1.0,"Okay. So the first one i'm seeing is 12. If you guys don't have anyone's before, if you have any, you want me to do before that one",2023-03-03T12:35:13.490-08:00,2023-03-03T12:35:21.970-08:00,tutor,tutor,2,,12.0,
,,,definitely mentioned.,2023-03-03T12:35:24.300-08:00,2023-03-03T12:35:25.990-08:00,tutor,tutor,2,,12.0,
,,,So here I have. A book was on sale for 40 off its original price. The sale price of the book was $18. What was the original price of the book?,2023-03-03T12:35:26.020-08:00,2023-03-03T12:35:34.720-08:00,tutor,tutor,2,,12.0,
,,,So the way. I did this,2023-03-03T12:35:35.710-08:00,2023-03-03T12:35:38.510-08:00,tutor,tutor,2,,12.0,
,,,the way you can set it out and kind of visualize it is that point. since it's 40% of something that means that the original price is this times.,2023-03-03T12:35:41.180-08:00,2023-03-03T12:35:53.170-08:00,tutor,tutor,2,,12.0,
,,,or the original price is whatever it is. Times point 6 to be 18.,2023-03-03T12:35:54.670-08:00,2023-03-03T12:36:00.410-08:00,tutor,tutor,2,,12.0,
,,,"So point 6 x equals 18,",2023-03-03T12:36:00.800-08:00,2023-03-03T12:36:06.070-08:00,tutor,tutor,2,,12.0,
