problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
490.0,,1.0,"Okay, you guys hear me now? Why didn't? Only one person said anything. Can everybody hear me now?",2023-03-02T16:06:02.250-08:00,2023-03-02T16:06:07.880-08:00,tutor,tutor,1,,,
,,,Okay. my bad. Okay. My Mike wasn't on,2023-03-02T16:06:09.660-08:00,2023-03-02T16:06:14.500-08:00,tutor,tutor,1,,,
,,,"apologies, Anyway.",2023-03-02T16:06:16.710-08:00,2023-03-02T16:06:18.690-08:00,tutor,tutor,1,,,
,,,"let's start over. So this session, as I mentioned last session, we're going to be going through a bunch of problems together and not going to do any practice tests or",2023-03-02T16:06:20.440-08:00,2023-03-02T16:06:29.510-08:00,tutor,tutor,1,,,
,,,anything of the sort. Just gonna go through a bunch of problems that,2023-03-02T16:06:30.570-08:00,2023-03-02T16:06:34.360-08:00,tutor,tutor,1,,,
,,,"you guys. So you might want to go over, anyway.",2023-03-02T16:06:35.300-08:00,2023-03-02T16:06:39.600-08:00,tutor,tutor,1,,,
,-1.0,1.0,So the first one here is a systems of equations problem. So what I was saying was that because it gives us but basically there's a couple of different ways to solve system of equations. And one of the ways is substitution.,2023-03-02T16:06:41.810-08:00,2023-03-02T16:06:55.440-08:00,tutor,tutor,2,,-1.0,
,,,Right? So essentially gives us,2023-03-02T16:06:56.140-08:00,2023-03-02T16:06:57.820-08:00,tutor,tutor,2,,-1.0,
,,,an equation. Where t is isolated.,2023-03-02T16:06:58.000-08:00,2023-03-02T16:07:00.870-08:00,tutor,tutor,2,,-1.0,
,,,we can substitute the other side in of the equation in for t,2023-03-02T16:07:01.400-08:00,2023-03-02T16:07:05.200-08:00,tutor,tutor,2,,-1.0,
,,,at in the top equation. Right? That's what i've done over here because I've written,2023-03-02T16:07:09.160-08:00,2023-03-02T16:07:13.240-08:00,tutor,tutor,2,,-1.0,
,,,two-thirds u plus 9 minus 5,2023-03-02T16:07:13.780-08:00,2023-03-02T16:07:16.620-08:00,tutor,tutor,2,,-1.0,
