problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
491.0,,1.0,"Okay, we'll go ahead and get started right now.",2023-03-06T13:05:29.730-08:00,2023-03-06T13:05:33.670-08:00,tutor,tutor,1,,,
,,,I'll share my screen.,2023-03-06T13:05:35.080-08:00,2023-03-06T13:05:36.150-08:00,tutor,tutor,1,,,
,,,What?,2023-03-06T13:05:39.630-08:00,2023-03-06T13:05:40.230-08:00,tutor,tutor,1,,,
,,,Here we go.,2023-03-06T13:05:43.010-08:00,2023-03-06T13:05:44.660-08:00,tutor,tutor,1,,,
,,,This is the second to last,2023-03-06T13:05:45.430-08:00,2023-03-06T13:05:47.320-08:00,tutor,tutor,1,,,
,,,tutoring session before. You will probably take the exam.,2023-03-06T13:05:48.510-08:00,2023-03-06T13:05:53.340-08:00,tutor,tutor,1,,,
,,,"and we're gonna start with a welcome question of what is this subject or top with topic that deeply interests you feel free to raise your hand to share, and then popcorn to another learner.",2023-03-06T13:05:53.470-08:00,2023-03-06T13:06:04.340-08:00,tutor,tutor,1,,,
,,,or just,2023-03-06T13:06:07.650-08:00,2023-03-06T13:06:08.300-08:00,tutor,tutor,1,,,
,,,just go ahead if you want to say something.,2023-03-06T13:06:09.410-08:00,2023-03-06T13:06:12.320-08:00,tutor,tutor,1,,,
,,,i'm biology. I'm interested in biology.,2023-03-06T13:06:12.920-08:00,2023-03-06T13:06:15.950-08:00,student,student A,1,,,
,,,Yeah.,2023-03-06T13:06:17.900-08:00,2023-03-06T13:06:18.570-08:00,student,student A,1,,,
,,,Kaden.,2023-03-06T13:06:24.390-08:00,2023-03-06T13:06:25.140-08:00,tutor,tutor,1,,,
,,,I don't think i'd say anything like deeply interest me,2023-03-06T13:06:26.790-08:00,2023-03-06T13:06:30.810-08:00,student,student B,1,,,
,,,"that's fair. You don't even know what you need to do with one. I do. Yet. Itossi, do you have an idea",2023-03-06T13:06:32.260-08:00,2023-03-06T13:06:36.420-08:00,tutor,tutor,1,,,
,,,also like astronomy,2023-03-06T13:06:38.050-08:00,2023-03-06T13:06:41.590-08:00,student,student C,1,,,
,,,that's cool.,2023-03-06T13:06:42.330-08:00,2023-03-06T13:06:43.570-08:00,tutor,tutor,1,,,
,,,so that's that.,2023-03-06T13:06:46.940-08:00,2023-03-06T13:06:49.500-08:00,tutor,tutor,1,,,
,,,And then there's tutoring on schoolhouse.,2023-03-06T13:06:50.750-08:00,2023-03-06T13:06:54.250-08:00,tutor,tutor,1,,,
,,,You can become a tutor.,2023-03-06T13:06:55.150-08:00,2023-03-06T13:06:57.590-08:00,tutor,tutor,1,,,
,,,It takes a roughly 2 h to get certified and finish training.,2023-03-06T13:06:59.580-08:00,2023-03-06T13:07:03.190-08:00,tutor,tutor,1,,,
,,,and you could become just like me. I grow in a global community.,2023-03-06T13:07:05.560-08:00,2023-03-06T13:07:13.830-08:00,tutor,tutor,1,,,
,,,"You can join our community and meet more than 4,000 fellow volunteers across the World",2023-03-06T13:07:14.010-08:00,2023-03-06T13:07:19.550-08:00,tutor,tutor,1,,,
,,,Post Sessions when you'd like to.,2023-03-06T13:07:20.340-08:00,2023-03-06T13:07:22.610-08:00,tutor,tutor,1,,,
,,,And,2023-03-06T13:07:24.810-08:00,2023-03-06T13:07:25.810-08:00,tutor,tutor,1,,,
,,,"and what subject do you like like, math as it prep writing, and more, maybe even like you could like.",2023-03-06T13:07:26.750-08:00,2023-03-06T13:07:33.030-08:00,tutor,tutor,1,,,
,,,be able to find one on biology or astronomy if you want to teach others about that.,2023-03-06T13:07:33.190-08:00,2023-03-06T13:07:40.060-08:00,tutor,tutor,1,,,
,,,"and you give back to volunteering helpful students, and you can even earn community service hours.",2023-03-06T13:07:40.140-08:00,2023-03-06T13:07:46.420-08:00,tutor,tutor,1,,,
,,,and you can,2023-03-06T13:07:47.150-08:00,2023-03-06T13:07:50.120-08:00,tutor,tutor,1,,,
,,,share what you enjoy with others.,2023-03-06T13:07:50.270-08:00,2023-03-06T13:07:53.210-08:00,tutor,tutor,1,,,
,,,And One thing I've enjoyed about being a tutor is just helping you guys and seeing you guys grow as,2023-03-06T13:07:53.770-08:00,2023-03-06T13:07:59.450-08:00,tutor,tutor,1,,,
,,,students.,2023-03-06T13:08:01.110-08:00,2023-03-06T13:08:01.930-08:00,tutor,tutor,1,,,
,,,and we're going to start with a practice test of which I will start accepting responses to right now.,2023-03-06T13:08:04.990-08:00,2023-03-06T13:08:15.870-08:00,tutor,tutor,1,,,
,,,"there's time to you. You have 25 min there. I think are like 18 questions, and it is a calculator, one so",2023-03-06T13:08:17.700-08:00,2023-03-06T13:08:24.680-08:00,tutor,tutor,1,,,
,,,feel free to use a calculator.,2023-03-06T13:08:24.950-08:00,2023-03-06T13:08:26.650-08:00,tutor,tutor,1,,,
,,,And if you're not sure if your calculator is allowed.,2023-03-06T13:08:28.370-08:00,2023-03-06T13:08:30.770-08:00,tutor,tutor,1,,,
,,,you can look on the,2023-03-06T13:08:32.820-08:00,2023-03-06T13:08:34.480-08:00,tutor,tutor,1,,,
,,,"college board website. I believe they have a section on which calculators you can use, and",2023-03-06T13:08:34.930-08:00,2023-03-06T13:08:39.610-08:00,tutor,tutor,1,,,
,,,"you also start to get emails from them leading up to the test date about reminders for stuff. So if you guys just want to get started on that, i'll give you till",2023-03-06T13:08:39.700-08:00,2023-03-06T13:08:49.350-08:00,tutor,tutor,1,,,
,,,435,2023-03-06T13:08:50.010-08:00,2023-03-06T13:08:51.780-08:00,tutor,tutor,1,,,
,,,"or whatever, 35 whatever times on your end.",2023-03-06T13:08:52.110-08:00,2023-03-06T13:08:54.870-08:00,tutor,tutor,1,,,
,,,So that's like 26 min.,2023-03-06T13:08:58.260-08:00,2023-03-06T13:09:00.970-08:00,tutor,tutor,1,,,
,,,Good luck.,2023-03-06T13:09:02.770-08:00,2023-03-06T13:09:03.680-08:00,tutor,tutor,1,,,
,,,You have 5 min left.,2023-03-06T13:30:18.800-08:00,2023-03-06T13:30:20.429-08:00,tutor,tutor,1,,,
,,,"Okay, we can start going over. It now.",2023-03-06T13:37:29.430-08:00,2023-03-06T13:37:32.040-08:00,tutor,tutor,1,,,
,,,You guys only got 2 questions wrong.,2023-03-06T13:37:32.980-08:00,2023-03-06T13:37:35.610-08:00,tutor,tutor,1,,,
,,,"But if there are any questions, I guess, even if you got it right, you wanted to go over to go over those 2, but we can start by going over. No one's guys got wrong",2023-03-06T13:37:38.180-08:00,2023-03-06T13:37:49.090-08:00,tutor,tutor,1,,,
,12.0,1.0,just to 12.,2023-03-06T13:37:56.800-08:00,2023-03-06T13:37:57.890-08:00,tutor,tutor,2,,12.0,
,,,Okay.,2023-03-06T13:38:12.540-08:00,2023-03-06T13:38:14.160-08:00,tutor,tutor,2,,12.0,
,,,Does anyone want to start with what they did to solve? Question 12.,2023-03-06T13:38:17.370-08:00,2023-03-06T13:38:21.700-08:00,tutor,tutor,2,,12.0,
,,,Sure.,2023-03-06T13:38:26.270-08:00,2023-03-06T13:38:26.920-08:00,student,student C,2,,12.0,
,,,"So I just did 60 minus 40, because 60% division, like the original price. And I just did 18, divided by 60% or 60, divided by 100.",2023-03-06T13:38:27.960-08:00,2023-03-06T13:38:38.620-08:00,student,student C,2,,12.0,
,,,Hey? Sorry! What did you do?,2023-03-06T13:38:47.110-08:00,2023-03-06T13:38:48.470-08:00,tutor,tutor,2,,12.0,
,,,"I did 60 or like at a 100% minus 40%. Then I got 60, and that is divided that by 18",2023-03-06T13:38:50.930-08:00,2023-03-06T13:38:58.520-08:00,tutor,tutor,2,,12.0,
,,,he's got 30.,2023-03-06T13:39:04.560-08:00,2023-03-06T13:39:05.760-08:00,tutor,tutor,2,,12.0,
,,,Wait. This is the right question.,2023-03-06T13:39:07.660-08:00,2023-03-06T13:39:09.440-08:00,tutor,tutor,2,,12.0,
,,,I'm Really.,2023-03-06T13:39:11.450-08:00,2023-03-06T13:39:12.330-08:00,tutor,tutor,2,,12.0,
,,,Did you miss Quick,2023-03-06T13:39:17.740-08:00,2023-03-06T13:39:19.190-08:00,tutor,tutor,2,,12.0,
,,,when you submitted your answer.,2023-03-06T13:39:23.040-08:00,2023-03-06T13:39:24.630-08:00,tutor,tutor,2,,12.0,
,,,"Yeah, no. Like When I reviewed it. I I did like 18 divided by 40, like I didn't. I forgot to do that. Okay, yeah.",2023-03-06T13:39:25.810-08:00,2023-03-06T13:39:33.440-08:00,student,student C,2,,12.0,
,,,So you know what you did wrong. So.,2023-03-06T13:39:33.860-08:00,2023-03-06T13:39:35.550-08:00,tutor,tutor,2,,12.0,
,16.0,1.0,and also question 60,2023-03-06T13:39:39.570-08:00,2023-03-06T13:39:42.180-08:00,tutor,tutor,3,,16.0,
,,,team.,2023-03-06T13:39:42.210-08:00,2023-03-06T13:39:43.110-08:00,tutor,tutor,3,,16.0,
,,,How did you do this one?,2023-03-06T13:39:48.120-08:00,2023-03-06T13:39:49.590-08:00,tutor,tutor,3,,16.0,
,,,"If either one of you wants to go, or I could just explain it very quick.",2023-03-06T13:39:57.050-08:00,2023-03-06T13:40:01.120-08:00,tutor,tutor,3,,16.0,
,,,"Okay, I'll just explain it.",2023-03-06T13:40:07.050-08:00,2023-03-06T13:40:09.380-08:00,tutor,tutor,3,,16.0,
,,,So this is a little confusing just because,2023-03-06T13:40:10.410-08:00,2023-03-06T13:40:13.730-08:00,tutor,tutor,3,,16.0,
,,,of the way it's kind of worded. So they begin. They start by saying,2023-03-06T13:40:14.760-08:00,2023-03-06T13:40:18.620-08:00,tutor,tutor,3,,16.0,
,,,"in 2,015. The populations of City X and City Y were equal.",2023-03-06T13:40:18.680-08:00,2023-03-06T13:40:23.490-08:00,tutor,tutor,3,,16.0,
,,,"and then from 2,010 to 2,015 x to city X increased by 20%",2023-03-06T13:40:25.920-08:00,2023-03-06T13:40:31.300-08:00,tutor,tutor,3,,16.0,
,,,city-wide decreased,2023-03-06T13:40:31.510-08:00,2023-03-06T13:40:33.390-08:00,tutor,tutor,3,,16.0,
,,,by 10%.,2023-03-06T13:40:34.730-08:00,2023-03-06T13:40:36.130-08:00,tutor,tutor,3,,16.0,
,,,So City X was,2023-03-06T13:40:37.810-08:00,2023-03-06T13:40:40.960-08:00,tutor,tutor,3,,16.0,
,,,"120,02010",2023-03-06T13:40:41.130-08:00,2023-03-06T13:40:43.840-08:00,tutor,tutor,3,,16.0,
,,,"What is the population of city. Why, in 2,010. So you first have to go from City X",2023-03-06T13:40:43.870-08:00,2023-03-06T13:40:49.740-08:00,tutor,tutor,3,,16.0,
,,,"in 2,010,",2023-03-06T13:40:50.960-08:00,2023-03-06T13:40:52.870-08:00,tutor,tutor,3,,16.0,
,,,thanks to the,2023-03-06T13:40:55.080-08:00,2023-03-06T13:40:56.490-08:00,tutor,tutor,3,,16.0,
,,,you can,2023-03-06T13:40:58.180-08:00,2023-03-06T13:40:59.160-08:00,tutor,tutor,3,,16.0,
,,,2,2023-03-06T13:41:01.000-08:00,2023-03-06T13:41:01.930-08:00,tutor,tutor,3,,16.0,
,,,X,2023-03-06T13:41:03.280-08:00,2023-03-06T13:41:04.250-08:00,tutor,tutor,3,,16.0,
,,,"in 2,015.",2023-03-06T13:41:05.710-08:00,2023-03-06T13:41:07.230-08:00,tutor,tutor,3,,16.0,
,,,So one,2023-03-06T13:41:08.910-08:00,2023-03-06T13:41:11.280-08:00,tutor,tutor,3,,16.0,
,,,"Yeah, yeah.",2023-03-06T13:41:13.160-08:00,2023-03-06T13:41:14.040-08:00,tutor,tutor,3,,16.0,
,,,okay.,2023-03-06T13:41:14.790-08:00,2023-03-06T13:41:15.360-08:00,tutor,tutor,3,,16.0,
,,,yeah.,2023-03-06T13:41:16.520-08:00,2023-03-06T13:41:17.150-08:00,tutor,tutor,3,,16.0,
,,,times.,2023-03-06T13:41:18.520-08:00,2023-03-06T13:41:19.640-08:00,tutor,tutor,3,,16.0,
,,,1.2,2023-03-06T13:41:20.850-08:00,2023-03-06T13:41:22.290-08:00,tutor,tutor,3,,16.0,
,,,"would give you the population in 2,015",2023-03-06T13:41:23.410-08:00,2023-03-06T13:41:27.920-08:00,tutor,tutor,3,,16.0,
,,,for City X. But it's also the same as City Y.,2023-03-06T13:41:28.980-08:00,2023-03-06T13:41:35.980-08:00,tutor,tutor,3,,16.0,
,,,So in order to get from,2023-03-06T13:41:37.610-08:00,2023-03-06T13:41:40.130-08:00,tutor,tutor,3,,16.0,
,,,"city Y to from city x to city y here, or to go from whatever city Y was in 2,015 to what it was in 2,010",2023-03-06T13:41:41.210-08:00,2023-03-06T13:41:48.880-08:00,tutor,tutor,3,,16.0,
,,,equals.,2023-03-06T13:41:53.000-08:00,2023-03-06T13:41:54.030-08:00,tutor,tutor,3,,16.0,
,,,What about y 1 10?,2023-03-06T13:41:55.540-08:00,2023-03-06T13:41:57.590-08:00,tutor,tutor,3,,16.0,
