problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
489.0,,1.0,Hey? What's up?,2023-02-18T15:55:17.490+00:00,2023-02-18T15:55:19.020+00:00,tutor,tutor,1,,,
,,,"Hey? What's up, Julia?",2023-02-18T15:55:20.100+00:00,2023-02-18T15:55:22.090+00:00,tutor,tutor,1,,,
,,,How are you,2023-02-18T15:55:27.200+00:00,2023-02-18T15:55:28.400+00:00,tutor,tutor,1,,,
,,,and I'll do it. So turn this on.,2023-02-18T15:55:31.130+00:00,2023-02-18T15:55:34.650+00:00,tutor,tutor,1,,,
,,,"Okay, that's fine. Hey, [STUDENT_4], how are you?",2023-02-18T15:55:38.750+00:00,2023-02-18T15:55:43.570+00:00,tutor,tutor,1,,,
,,,You're still connecting to audio. Okay.,2023-02-18T15:55:46.440+00:00,2023-02-18T15:55:51.050+00:00,tutor,tutor,1,,,
,,,Hmm.,2023-02-18T15:56:11.260+00:00,2023-02-18T15:56:12.200+00:00,tutor,tutor,1,,,
,,,Let's wait for the others.,2023-02-18T15:56:13.570+00:00,2023-02-18T15:56:15.360+00:00,tutor,tutor,1,,,
,,,So how do you guys feel about the upcoming sat? Do you feel like you're making some progress,2023-02-18T15:58:17.680+00:00,2023-02-18T15:58:23.510+00:00,tutor,tutor,1,,,
,,,awesome.,2023-02-18T15:58:31.370+00:00,2023-02-18T15:58:32.310+00:00,tutor,tutor,1,,,
,,,"Well, [STUDENT_5]. welcome!",2023-02-18T15:58:35.650+00:00,2023-02-18T15:58:38.260+00:00,tutor,tutor,1,,,
,,,What time is it for you guys? Approximately,2023-02-18T15:58:48.970+00:00,2023-02-18T15:58:51.950+00:00,tutor,tutor,1,,,
,,,It's because it's 7 Pm. For me right now.,2023-02-18T15:58:52.220+00:00,2023-02-18T15:58:55.120+00:00,tutor,tutor,1,,,
,,,8 in the morning all day.,2023-02-18T15:58:58.660+00:00,2023-02-18T15:59:00.650+00:00,tutor,tutor,1,,,
,,,That's a huge time difference.,2023-02-18T15:59:03.080+00:00,2023-02-18T15:59:05.170+00:00,tutor,tutor,1,,,
,,,especially in the weekend waking up so early,2023-02-18T15:59:07.030+00:00,2023-02-18T15:59:11.410+00:00,tutor,tutor,1,,,
,,,it might not feel so good.,2023-02-18T15:59:12.070+00:00,2023-02-18T15:59:14.260+00:00,tutor,tutor,1,,,
,,,"Hello, [STUDENT_2]! Welcome.",2023-02-18T15:59:34.720+00:00,2023-02-18T15:59:37.810+00:00,tutor,tutor,1,,,
,,,"hey, [STUDENT_7]!",2023-02-18T15:59:53.360+00:00,2023-02-18T15:59:54.690+00:00,tutor,tutor,1,,,
,,,Welcome!,2023-02-18T15:59:56.070+00:00,2023-02-18T15:59:57.300+00:00,tutor,tutor,1,,,
,,,So I think,2023-02-18T15:59:58.330+00:00,2023-02-18T15:59:59.350+00:00,tutor,tutor,1,,,
,,,we can start the lesson,2023-02-18T15:59:59.460+00:00,2023-02-18T16:00:02.620+00:00,tutor,tutor,1,,,
,,,7. Yeah. Okay. I'm gonna share my screen 1 s.,2023-02-18T16:00:03.780+00:00,2023-02-18T16:00:11.310+00:00,tutor,tutor,1,,,
,,,Okay.,2023-02-18T16:00:12.140+00:00,2023-02-18T16:00:12.860+00:00,tutor,tutor,1,,,
,,,sure. Okay. So today the lesson is going to be slightly different.,2023-02-18T16:00:13.380+00:00,2023-02-18T16:00:18.560+00:00,tutor,tutor,1,,,
,,,"because, you know, I I have a curriculum that's assigned to me by the School House, but unfortunately, we won't. Be able to complete it because",2023-02-18T16:00:18.920+00:00,2023-02-18T16:00:27.350+00:00,tutor,tutor,1,,,
,,,"we still have, like the city practice sessions to take.",2023-02-18T16:00:28.520+00:00,2023-02-18T16:00:33.980+00:00,tutor,tutor,1,,,
,,,But we're gonna take them this lesson.,2023-02-18T16:00:34.700+00:00,2023-02-18T16:00:37.310+00:00,tutor,tutor,1,,,
,,,"If you guys want, we can schedule an extra session somewhere between this one and the next one, so that we are able to catch up to the curriculum.",2023-02-18T16:00:37.510+00:00,2023-02-18T16:00:48.720+00:00,tutor,tutor,1,,,
,,,Hmm. But for now we're just gonna review some concepts for that is that are recommended from the previous practice that you guys took the first one.,2023-02-18T16:00:49.460+00:00,2023-02-18T16:01:00.390+00:00,tutor,tutor,1,,,
,,,"I think only Anthony took it, the second one and the rest of the guys took the first one. But anyways.",2023-02-18T16:01:01.330+00:00,2023-02-18T16:01:09.560+00:00,tutor,tutor,1,,,
,,,we're going to do some topics of mathematics from there 1 s.,2023-02-18T16:01:10.280+00:00,2023-02-18T16:01:15.650+00:00,tutor,tutor,1,,,
,,,Can you guys see my screen. By the way.,2023-02-18T16:01:17.490+00:00,2023-02-18T16:01:19.380+00:00,tutor,tutor,1,,,
,,,Okay.,2023-02-18T16:01:28.760+00:00,2023-02-18T16:01:29.690+00:00,tutor,tutor,1,,,
,,,"let's start with. So last time we did radical exponential expressions and equations, and then systems of linear equations.",2023-02-18T16:01:34.310+00:00,2023-02-18T16:01:44.240+00:00,tutor,tutor,1,,,
,,,some of you were not here.,2023-02-18T16:01:44.490+00:00,2023-02-18T16:01:47.670+00:00,tutor,tutor,1,,,
,,,"But that's fine. We're gonna anyways, to some practice problems later on. And then it's gonna be clear for you. Concert itself. I think the best way to understand any concept in mathematics is just to",2023-02-18T16:01:47.740+00:00,2023-02-18T16:01:59.960+00:00,tutor,tutor,1,,,
,,,"look at the problem that involves it, and then trying to understand, and each and every single step",2023-02-18T16:01:59.970+00:00,2023-02-18T16:02:05.350+00:00,tutor,tutor,1,,,
,,,and the methodology for solving a problem.,2023-02-18T16:02:05.670+00:00,2023-02-18T16:02:08.780+00:00,tutor,tutor,1,,,
,,,And this is what we're gonna do. But for now we have to actually review the topics. So we're gonna do isolating quantities. And this is an extremely easy topic.,2023-02-18T16:02:08.850+00:00,2023-02-18T16:02:19.820+00:00,tutor,tutor,1,,,
,,,No worries there. It's really the topic in Han Academy.,2023-02-18T16:02:20.260+00:00,2023-02-18T16:02:24.230+00:00,tutor,tutor,1,,,
,,,"So basically what is isolating quantities? There's a lot of questions on the sat where they're going to ask you to. Essentially, they're going to give you a a formula like this: One area equals to length times with you. Probably you guys probably familiar with this.",2023-02-18T16:02:25.210+00:00,2023-02-18T16:02:40.790+00:00,tutor,tutor,1,,,
,,,"and then they're gonna ask you to solve for either the width or the length and the way we can do. This is just isolating, because solving for is just getting that variable, that result",2023-02-18T16:02:40.790+00:00,2023-02-18T16:02:53.910+00:00,tutor,tutor,1,,,
,,,"equal to whatever else we have. So what is equal to this variable what is equal to, for example, L.",2023-02-18T16:02:53.990+00:00,2023-02-18T16:03:03.030+00:00,tutor,tutor,1,,,
,,,"And the the way we can do this is just by isolating it, by leaving it on just one side without any other number or variable, decided.",2023-02-18T16:03:03.230+00:00,2023-02-18T16:03:12.940+00:00,tutor,tutor,1,,,
,,,"We can Here we can just divide by W, and then just transfer to the other side. So L is equal t0 8 0ver W.",2023-02-18T16:03:13.020+00:00,2023-02-18T16:03:19.340+00:00,tutor,tutor,1,,,
,,,And you know these types of transformations are still going to keep the equation equivalent to the previous form.,2023-02-18T16:03:22.430+00:00,2023-02-18T16:03:31.820+00:00,tutor,tutor,1,,,
,,,So you're not doing anything extreme that is irreversible. How do I? How do I isolate quantities? So we're gonna solve some practice problems together.,2023-02-18T16:03:31.850+00:00,2023-02-18T16:03:44.500+00:00,tutor,tutor,1,,,
,,,"first individual in together, and then we're gonna explain we we're gonna see the actual process step by step, of how we're going to isolate them like solving equations. But with more. Variables so it's just",2023-02-18T16:03:44.539+00:00,2023-02-18T16:03:59.130+00:00,tutor,tutor,1,,,
,,,"basically having multiple variables and then getting treating those variables. The the other variables, for example, if you want to solve for X here, you would just treat the Y variable as a number, and then you would transfer it over to the other side. You would, minus by Y from both sides",2023-02-18T16:03:59.370+00:00,2023-02-18T16:04:15.930+00:00,tutor,tutor,1,,,
,,,"to a transformation that is reversible, which is doing the same thing for both sides, and then you would be left with X on just the one side. And this is how you can isolate the x.",2023-02-18T16:04:15.930+00:00,2023-02-18T16:04:27.860+00:00,tutor,tutor,1,,,
,,,Let's look at this example.,2023-02-18T16:04:29.970+00:00,2023-02-18T16:04:31.710+00:00,tutor,tutor,1,,,
,,,"A physics student uses the formulae K. Equal t0 0ne over 2 and V square. This is the energy, the kinetic energy formula. You you guys are probably familiar with this.",2023-02-18T16:04:32.160+00:00,2023-02-18T16:04:43.680+00:00,tutor,tutor,1,,,
