problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
491.0,,1.0,How are you all doing today?,2023-03-06T16:01:34.700-08:00,2023-03-06T16:01:36.400-08:00,tutor,tutor,1,,,
,,,I'm. Good! How are you? Good?,2023-03-06T16:01:40.800-08:00,2023-03-06T16:01:43.340-08:00,student,student A,1,,,
,,,"You said your sat experience was good, like easier than the practice test.",2023-03-06T16:01:43.710-08:00,2023-03-06T16:01:49.370-08:00,tutor,tutor,1,,,
,,,You didn't take the yeah. My bad.,2023-03-06T16:01:53.340-08:00,2023-03-06T16:01:54.910-08:00,tutor,tutor,1,,,
,,,"No, not yet, Aren't. You. Oh, are you taking the St. Or act tomorrow",2023-03-06T16:01:55.140-08:00,2023-03-06T16:02:00.940-08:00,student,student A,1,,,
,,,"A/C. T. Tomorrow and sat in, maybe like April, I think.",2023-03-06T16:02:01.350-08:00,2023-03-06T16:02:06.380-08:00,student,student A,1,,,
,,,Okay.,2023-03-06T16:02:06.760-08:00,2023-03-06T16:02:07.530-08:00,tutor,tutor,1,,,
,,,"yeah, yeah.",2023-03-06T16:02:08.860-08:00,2023-03-06T16:02:10.390-08:00,tutor,tutor,1,,,
,,,"[STUDENT_6]. Are taking it in like June, you said.",2023-03-06T16:02:11.860-08:00,2023-03-06T16:02:14.960-08:00,tutor,tutor,1,,,
,,,and,2023-03-06T16:02:15.680-08:00,2023-03-06T16:02:17.040-08:00,student,student B,1,,,
,,,"sorry, April or May. Okay.",2023-03-06T16:02:17.200-08:00,2023-03-06T16:02:20.580-08:00,student,student B,1,,,
,,,So you have like.,2023-03-06T16:02:21.530-08:00,2023-03-06T16:02:22.740-08:00,tutor,tutor,1,,,
,,,"at least some months, both of you.",2023-03-06T16:02:23.900-08:00,2023-03-06T16:02:26.340-08:00,tutor,tutor,1,,,
,,,Yeah.,2023-03-06T16:02:26.910-08:00,2023-03-06T16:02:27.690-08:00,student,student B,1,,,
,,,Yeah.,2023-03-06T16:02:27.760-08:00,2023-03-06T16:02:28.480-08:00,student,student B,1,,,
,,,And live. Are you ready for the act?,2023-03-06T16:02:29.450-08:00,2023-03-06T16:02:32.410-08:00,tutor,tutor,1,,,
,,,"The English portion? Yes. But I don't know about math and science, maybe science. Yeah, okay.",2023-03-06T16:02:35.480-08:00,2023-03-06T16:02:42.580-08:00,student,student A,1,,,
,,,I I don't know how the act works like is the science just like,2023-03-06T16:02:43.040-08:00,2023-03-06T16:02:48.890-08:00,tutor,tutor,1,,,
,,,math science.,2023-03-06T16:02:49.840-08:00,2023-03-06T16:02:51.130-08:00,tutor,tutor,1,,,
,,,"Well, science is mostly like, Are you able to read graphs like it'll say it'll just have a graph, and maybe like which year had the highest population of monkeys, or like.",2023-03-06T16:02:51.290-08:00,2023-03-06T16:03:03.350-08:00,student,student A,1,,,
,,,which year did have the lowest populace or just stuff like that.,2023-03-06T16:03:03.460-08:00,2023-03-06T16:03:08.010-08:00,student,student A,1,,,
,,,Okay? So that's not that.,2023-03-06T16:03:08.110-08:00,2023-03-06T16:03:10.060-08:00,tutor,tutor,1,,,
,,,"Yeah, yeah.",2023-03-06T16:03:10.420-08:00,2023-03-06T16:03:11.790-08:00,student,student A,1,,,
,,,Okay.,2023-03-06T16:03:12.650-08:00,2023-03-06T16:03:13.900-08:00,tutor,tutor,1,,,
,,,"Hold on. Once again, I'll be right back.",2023-03-06T16:03:13.940-08:00,2023-03-06T16:03:15.830-08:00,student,student B,1,,,
,,,Okay.,2023-03-06T16:03:15.880-08:00,2023-03-06T16:03:16.580-08:00,tutor,tutor,1,,,
,,,Okay. I'm back. Sorry,2023-03-06T16:03:58.740-08:00,2023-03-06T16:04:00.340-08:00,student,student B,1,,,
,,,you're fine.,2023-03-06T16:04:00.510-08:00,2023-03-06T16:04:01.470-08:00,tutor,tutor,1,,,
,,,Okay.,2023-03-06T16:04:23.830-08:00,2023-03-06T16:04:24.690-08:00,tutor,tutor,1,,,
,,,There you go.,2023-03-06T16:04:26.460-08:00,2023-03-06T16:04:27.310-08:00,tutor,tutor,1,,,
,,,"So this is week, 4 day, one. So second to last session",2023-03-06T16:04:27.550-08:00,2023-03-06T16:04:32.230-08:00,tutor,tutor,1,,,
,,,this is our welcome question. So what is it? Subject or topic that deeply interests you.,2023-03-06T16:04:33.720-08:00,2023-03-06T16:04:38.780-08:00,tutor,tutor,1,,,
,,,I'll go first. I I really like geography. It's just interesting. How,2023-03-06T16:04:41.050-08:00,2023-03-06T16:04:49.810-08:00,tutor,tutor,1,,,
,,,"like the way the world looks if that makes sense, like all the different countries",2023-03-06T16:04:50.380-08:00,2023-03-06T16:04:55.760-08:00,tutor,tutor,1,,,
,,,like their interactions with one another.,2023-03-06T16:04:55.790-08:00,2023-03-06T16:04:58.490-08:00,tutor,tutor,1,,,
,,,"And, [STUDENT_6], what's subject to topic that you like?",2023-03-06T16:04:59.640-08:00,2023-03-06T16:05:05.020-08:00,tutor,tutor,1,,,
,,,I'm really interested in to graphic design. I'm interested in.,2023-03-06T16:05:06.470-08:00,2023-03-06T16:05:14.440-08:00,student,student B,1,,,
,,,"Yeah, I would say graphic design",2023-03-06T16:05:18.580-08:00,2023-03-06T16:05:20.410-08:00,student,student B,1,,,
,,,"like, do you like graphic design websites, or like",2023-03-06T16:05:21.330-08:00,2023-03-06T16:05:25.770-08:00,tutor,tutor,1,,,
,,,clothing or,2023-03-06T16:05:25.810-08:00,2023-03-06T16:05:27.110-08:00,tutor,tutor,1,,,
,,,clothing websites.,2023-03-06T16:05:27.380-08:00,2023-03-06T16:05:29.570-08:00,student,student B,1,,,
,,,promotional advertising all that stuff.,2023-03-06T16:05:29.790-08:00,2023-03-06T16:05:32.400-08:00,student,student B,1,,,
,,,"Okay, that's cool",2023-03-06T16:05:32.550-08:00,2023-03-06T16:05:34.060-08:00,tutor,tutor,1,,,
,,,and live.,2023-03-06T16:05:35.650-08:00,2023-03-06T16:05:37.170-08:00,tutor,tutor,1,,,
,,,I don't really know. Maybe Surrealism art.,2023-03-06T16:05:43.780-08:00,2023-03-06T16:05:49.300-08:00,student,student A,1,,,
,,,Okay.,2023-03-06T16:05:49.500-08:00,2023-03-06T16:05:50.250-08:00,tutor,tutor,1,,,
,,,Do you have any specific examples?,2023-03-06T16:05:51.230-08:00,2023-03-06T16:05:53.760-08:00,tutor,tutor,1,,,
,,,"Just any one of Salvador Dolly's paintings? I know he's really popular, famous for this.",2023-03-06T16:05:56.140-08:00,2023-03-06T16:06:03.950-08:00,student,student A,1,,,
,,,Yeah.,2023-03-06T16:06:04.130-08:00,2023-03-06T16:06:04.920-08:00,tutor,tutor,1,,,
,,,yeah.,2023-03-06T16:06:08.500-08:00,2023-03-06T16:06:09.180-08:00,tutor,tutor,1,,,
,,,"Like for school, we had a project that we we just like went to our museum and saw some of this part",2023-03-06T16:06:09.420-08:00,2023-03-06T16:06:16.400-08:00,tutor,tutor,1,,,
,,,that was cool. It was like the his Dante's Inferno stuff.,2023-03-06T16:06:16.620-08:00,2023-03-06T16:06:20.740-08:00,tutor,tutor,1,,,
,,,That's cool.,2023-03-06T16:06:21.040-08:00,2023-03-06T16:06:22.540-08:00,student,student A,1,,,
,,,That's wonderful. I would,2023-03-06T16:06:22.650-08:00,2023-03-06T16:06:24.690-08:00,student,student A,1,,,
,,,to do. You know the immersive Van Gogh exhibit,2023-03-06T16:06:24.820-08:00,2023-03-06T16:06:28.180-08:00,student,student A,1,,,
