problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
491.0,,1.0,Everyone. Welcome.,2023-03-04T17:00:14.760-08:00,2023-03-04T17:00:16.220-08:00,tutor,tutor,1,,,
,,,"Hey, everyone! Welcome to the second To last S. A. T. Boot camp session. Today we're going to be doing another practice test first, and then i'm going to review it, and then I have some more practice questions.",2023-03-04T17:00:58.030-08:00,2023-03-04T17:01:12.740-08:00,tutor,tutor,1,,,
,,,And you guys can always ask any questions you might have.,2023-03-04T17:01:13.570-08:00,2023-03-04T17:01:17.010-08:00,tutor,tutor,1,,,
,,,"But yeah, first we're gonna start off with a calculator practice test.",2023-03-04T17:01:17.610-08:00,2023-03-04T17:01:23.790-08:00,tutor,tutor,1,,,
,,,"So get your calculators and notebooks ready, cause it's going to be a 25 min test",2023-03-04T17:01:24.260-08:00,2023-03-04T17:01:33.960-08:00,tutor,tutor,1,,,
,,,and go ahead and find the B 2 practice test with calculator on your schoolhouse assessments. Page.,2023-03-04T17:01:35.790-08:00,2023-03-04T17:01:45.920-08:00,tutor,tutor,1,,,
,,,"Okay, is everybody ready to start?",2023-03-04T17:02:29.610-08:00,2023-03-04T17:02:32.360-08:00,tutor,tutor,1,,,
,,,Yeah.,2023-03-04T17:02:36.220-08:00,2023-03-04T17:02:37.160-08:00,student,student A,1,,,
,,,All right. Good luck.,2023-03-04T17:02:39.870-08:00,2023-03-04T17:02:41.970-08:00,tutor,tutor,1,,,
,,,"Okay, time is up. If you Haven't finished already, go ahead and submit.",2023-03-04T17:27:48.710-08:00,2023-03-04T17:27:54.720-08:00,tutor,tutor,1,,,
,,,"So I can see which questions have to be reviewed, and if you have any specific ones that you want me to go over it, feel free to send me a message.",2023-03-04T17:27:55.850-08:00,2023-03-04T17:28:04.830-08:00,tutor,tutor,1,,,
,11.0,1.0,Okay. So first we're going to go over Number 11.,2023-03-04T17:29:14.220-08:00,2023-03-04T17:29:18.470-08:00,tutor,tutor,2,,11.0,
,,,"The table above shows 2 lists of numbers, which of the following is a true statement: comparing list a and this B.",2023-03-04T17:29:22.570-08:00,2023-03-04T17:29:29.800-08:00,tutor,tutor,2,,11.0,
,,,So it looks like we're looking for the means and the standard deviation to see if they're the same or different.,2023-03-04T17:29:30.560-08:00,2023-03-04T17:29:37.450-08:00,tutor,tutor,2,,11.0,
,,,We can just calculate the mean.,2023-03-04T17:29:38.060-08:00,2023-03-04T17:29:40.250-08:00,tutor,tutor,2,,11.0,
,,,Let's see.,2023-03-04T17:29:41.940-08:00,2023-03-04T17:29:43.020-08:00,tutor,tutor,2,,11.0,
,,,"We have one plus 2, plus 3",2023-03-04T17:29:44.270-08:00,2023-03-04T17:29:48.480-08:00,tutor,tutor,2,,11.0,
,,,"plus 4, plus 5 plus 6,",2023-03-04T17:29:50.470-08:00,2023-03-04T17:29:53.240-08:00,tutor,tutor,2,,11.0,
,,,"and that is equal to 21,",2023-03-04T17:29:56.270-08:00,2023-03-04T17:29:58.730-08:00,tutor,tutor,2,,11.0,
,,,"and then we divide by the number of numbers, which is 6,",2023-03-04T17:29:59.330-08:00,2023-03-04T17:30:04.530-08:00,tutor,tutor,2,,11.0,
