problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
488.0,,1.0,Okay.,2023-02-15T13:34:40.510-08:00,2023-02-15T13:34:41.410-08:00,student,student A,1,,,
,,,"I want to ask. By the way, I a disconnected like",2023-02-15T13:34:42.480-08:00,2023-02-15T13:34:46.870-08:00,student,student A,1,,,
,,,"kind of, and I like, what if we, what did I miss?",2023-02-15T13:34:47.000-08:00,2023-02-15T13:35:01.400-08:00,student,student A,1,,,
,,,"Okay, perfect, perfect. Yeah. So all we did was we looked at",2023-02-15T13:35:01.840-08:00,2023-02-15T13:35:04.710-08:00,tutor,tutor,1,,,
,,,"You got to good practices, and then we just went over like 2 2 questions, and we're going to keep going over more questions today, too. S0 0kay, got you. I know I was disconnected, and then I was trying to reconnect, and it literally just would not let me.",2023-02-15T13:35:04.770-08:00,2023-02-15T13:35:16.410-08:00,student,student A,1,,,
,,,"No, not you, you completely good or but thank you for reaching out. Thank you for using the chat. And then, yeah, you did.",2023-02-15T13:35:16.520-08:00,2023-02-15T13:35:21.780-08:00,student,student A,1,,,
,,,"Yeah. And then, yeah, we have 10 min to take your time. Sit back. Relax.",2023-02-15T13:35:21.800-08:00,2023-02-15T13:35:26.750-08:00,tutor,tutor,1,,,
,,,"hey, [STUDENT_2]",2023-02-15T13:37:55.720-08:00,2023-02-15T13:37:56.790-08:00,tutor,tutor,1,,,
,,,Bye.,2023-02-15T13:37:58.880-08:00,2023-02-15T13:37:59.950-08:00,student,student B,1,,,
,,,have 7 min. People start trickling in.,2023-02-15T13:38:02.550-08:00,2023-02-15T13:38:05.770-08:00,tutor,tutor,1,,,
,,,Take your time a little bit.,2023-02-15T13:38:05.840-08:00,2023-02-15T13:38:07.120-08:00,tutor,tutor,1,,,
,,,"Hey, Bella!",2023-02-15T13:39:50.720-08:00,2023-02-15T13:39:51.640-08:00,tutor,tutor,1,,,
,,,Hi.,2023-02-15T13:39:53.190-08:00,2023-02-15T13:39:54.190-08:00,student,student C,1,,,
,,,"hey, [STUDENT_7]!",2023-02-15T13:40:36.400-08:00,2023-02-15T13:40:37.420-08:00,tutor,tutor,1,,,
,,,Hi!,2023-02-15T13:40:41.900-08:00,2023-02-15T13:40:43.050-08:00,student,student D,1,,,
,,,"Who are new. We will also let them do introductions like we did yesterday, so we can get to know everyone.",2023-02-15T13:40:50.760-08:00,2023-02-15T13:40:56.180-08:00,student,student D,1,,,
,,,Hello!,2023-02-15T13:44:18.610-08:00,2023-02-15T13:44:19.390-08:00,student,student E,1,,,
,,,"Rolling in. Start trick on in, but we will get started.",2023-02-15T13:45:03.900-08:00,2023-02-15T13:45:09.300-08:00,tutor,tutor,1,,,
,,,"If you guys are in a place where you guys are able to turn on your cameras. That'd be amazing. If not, I completely get it. We're all good.",2023-02-15T13:45:09.400-08:00,2023-02-15T13:45:16.190-08:00,tutor,tutor,1,,,
,,,And then yeah.,2023-02-15T13:45:16.940-08:00,2023-02-15T13:45:18.550-08:00,tutor,tutor,1,,,
,,,so we'll get started like that.,2023-02-15T13:45:18.670-08:00,2023-02-15T13:45:20.560-08:00,tutor,tutor,1,,,
,,,"Alright, so you know how it goes. We're gonna start off with a little schoolhouse slide show presentation.",2023-02-15T13:45:43.950-08:00,2023-02-15T13:45:49.050-08:00,tutor,tutor,1,,,
,,,"We are actually, before we even get to any of that, we are going to give an opportunity to Miss Sara and Mr. [STUDENT_1] to give an opportunity to introduce themselves, because we couldn't get to meet them yesterday. So",2023-02-15T13:45:49.560-08:00,2023-02-15T13:46:04.130-08:00,tutor,tutor,1,,,
,,,we want to hear your name where you're from either state or country.,2023-02-15T13:46:04.180-08:00,2023-02-15T13:46:09.330-08:00,tutor,tutor,1,,,
,,,And then what are you looking forward to in this boot camp? What are you trying to get out of it.,2023-02-15T13:46:09.450-08:00,2023-02-15T13:46:14.940-08:00,tutor,tutor,1,,,
,,,Anything of that sorts,2023-02-15T13:46:14.970-08:00,2023-02-15T13:46:16.590-08:00,tutor,tutor,1,,,
,,,We'll let [STUDENT_7] go first.,2023-02-15T13:46:17.090-08:00,2023-02-15T13:46:19.670-08:00,tutor,tutor,1,,,
,,,"I'm [STUDENT_7] i'm from Florida, and I don't know to learn.",2023-02-15T13:46:22.150-08:00,2023-02-15T13:46:27.610-08:00,student,student D,1,,,
,,,And you.,2023-02-15T13:46:32.530-08:00,2023-02-15T13:46:33.410-08:00,student,student D,1,,,
,,,"I'm [STUDENT_1], I'm. From New Jersey. And same thing learning. Get a good Sat score",2023-02-15T13:46:34.120-08:00,2023-02-15T13:46:39.840-08:00,student,student E,1,,,
,,,definitely. Definitely that's what we're gonna do. We're gonna,2023-02-15T13:46:40.620-08:00,2023-02-15T13:46:42.890-08:00,tutor,tutor,1,,,
,,,"take a slow. It's going to be pretty informal. We're not going to go to. We're not going to take it too hardcore, but we're gonna definitely get to learn when to get done, if everyone else can also just say their name. So [STUDENT_7] and [STUDENT_1] no where you from, you say where your your name and where you're from that'd be amazing. But let's see your camera, and then you started off.",2023-02-15T13:46:43.030-08:00,2023-02-15T13:47:00.690-08:00,tutor,tutor,1,,,
,,,"My name is Bella, and I'm from Ohio",2023-02-15T13:47:01.520-08:00,2023-02-15T13:47:04.090-08:00,student,student C,1,,,
,,,and pick someone. Keep going.,2023-02-15T13:47:04.880-08:00,2023-02-15T13:47:07.330-08:00,tutor,tutor,1,,,
,,,1 s Jaden.,2023-02-15T13:47:09.430-08:00,2023-02-15T13:47:12.230-08:00,student,student C,1,,,
,,,"Hi, my name's Jaden I'm. From Indiana.",2023-02-15T13:47:14.160-08:00,2023-02-15T13:47:16.810-08:00,student,student A,1,,,
,,,and keep it going. Pick someone in.,2023-02-15T13:47:18.280-08:00,2023-02-15T13:47:19.940-08:00,tutor,tutor,1,,,
,,,How about Mila?,2023-02-15T13:47:24.350-08:00,2023-02-15T13:47:25.710-08:00,student,student A,1,,,
,,,Hi! I'm Mila and I'm from Florida?,2023-02-15T13:47:29.190-08:00,2023-02-15T13:47:31.940-08:00,student,student F,1,,,
,,,Take some of mile to keep it going. Keep your line moving.,2023-02-15T13:47:33.700-08:00,2023-02-15T13:47:36.370-08:00,tutor,tutor,1,,,
,,,It's not a not a,2023-02-15T13:47:46.860-08:00,2023-02-15T13:47:48.950-08:00,student,student B,1,,,
,,,yeah. It's okay. I'm not. I'm from Georgia,2023-02-15T13:47:49.010-08:00,2023-02-15T13:47:52.370-08:00,student,student B,1,,,
,,,perfect perfect. And I think we have one more joining in,2023-02-15T13:47:53.620-08:00,2023-02-15T13:47:57.010-08:00,tutor,tutor,1,,,
,,,"[STUDENT_3]. Hello, Hello!",2023-02-15T13:47:59.830-08:00,2023-02-15T13:48:02.020-08:00,tutor,tutor,1,,,
,,,"We'll see if Chris for [STUDENT_3]. If you're there, maybe to type in chat. I'd say some.",2023-02-15T13:48:14.060-08:00,2023-02-15T13:48:18.570-08:00,tutor,tutor,1,,,
,,,We'll hear back from another time. But,2023-02-15T13:48:24.130-08:00,2023-02-15T13:48:27.640-08:00,tutor,tutor,1,,,
,,,glad to see you all. Here,2023-02-15T13:48:28.180-08:00,2023-02-15T13:48:30.000-08:00,tutor,tutor,1,,,
,,,we are. Just gonna jump straight into it. People probably keep joining. That's completely all right. Welcome to day 2. So this little post check you guys took the first practice test yesterday.,2023-02-15T13:48:30.030-08:00,2023-02-15T13:48:41.060-08:00,tutor,tutor,1,,,
,,,and we're just gonna keep going. We want to see. Take a one day at a time. and we'll see how it goes from there.,2023-02-15T13:48:41.420-08:00,2023-02-15T13:48:47.010-08:00,tutor,tutor,1,,,
,,,All right. Here's the question question of the day.,2023-02-15T13:48:49.120-08:00,2023-02-15T13:48:52.430-08:00,tutor,tutor,1,,,
