problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
495.0,,1.0,"Hey, everyone! It's good to see all of you",2023-02-22T17:01:16.110-08:00,2023-02-22T17:01:18.600-08:00,tutor,tutor,1,,,
,,,as people keep joining. I'll start up,2023-02-22T17:01:22.010-08:00,2023-02-22T17:01:25.470-08:00,tutor,tutor,1,,,
,,,the quick slides we have for today,2023-02-22T17:01:26.860-08:00,2023-02-22T17:01:30.020-08:00,tutor,tutor,1,,,
,,,or for Monday. Apparently. Okay.,2023-02-22T17:01:34.700-08:00,2023-02-22T17:01:36.549-08:00,tutor,tutor,1,,,
,,,Serious today.,2023-02-22T17:01:36.770-08:00,2023-02-22T17:01:37.809-08:00,tutor,tutor,1,,,
,,,Pretty quick today. Does anyone have any feedback that they want to share about the boot camp? So far and positive negative favorite moment at least favorite moment.,2023-02-22T17:01:38.380-08:00,2023-02-22T17:01:50.770-08:00,tutor,tutor,1,,,
,,,You can put in the chat. You can unmute and talk whatever you feel comfortable doing.,2023-02-22T17:01:52.240-08:00,2023-02-22T17:01:57.860-08:00,tutor,tutor,1,,,
,,,"Yeah, that's a good one. So the ability to do not only just the general practice test, but also focus on the questions that were hardest, and the topics that people may want more help on",2023-02-22T17:02:34.430-08:00,2023-02-22T17:02:47.710-08:00,tutor,tutor,1,,,
,,,those are all a really cool feature of these.,2023-02-22T17:02:47.850-08:00,2023-02-22T17:02:52.910-08:00,tutor,tutor,1,,,
,,,if not today. We're looking at another 25 min of talking a great practice.,2023-02-22T17:03:05.540-08:00,2023-02-22T17:03:12.300-08:00,tutor,tutor,1,,,
,,,"We have a few questions. We didn't get t0 0n Monday from the last practice test, and then, if we get through all of those we should have. I've found a couple of other questions on stuff that we've been missing a little bit",2023-02-22T17:03:13.640-08:00,2023-02-22T17:03:29.340-08:00,tutor,tutor,1,,,
,,,on our practice test. So if we have extra time we can focus on those. and then 20 min for our last part of this first practice test.,2023-02-22T17:03:29.390-08:00,2023-02-22T17:03:39.640-08:00,tutor,tutor,1,,,
,,,"It's another 14 questions, and then we'll a few questions from that, and I think that's it.",2023-02-22T17:03:40.190-08:00,2023-02-22T17:03:45.690-08:00,tutor,tutor,1,,,
,,,So let me pull up,2023-02-22T17:03:47.350-08:00,2023-02-22T17:03:49.030-08:00,tutor,tutor,1,,,
,,,the,2023-02-22T17:03:49.050-08:00,2023-02-22T17:03:50.390-08:00,tutor,tutor,1,,,
,,,A practice test for Monday.,2023-02-22T17:03:51.710-08:00,2023-02-22T17:03:54.970-08:00,tutor,tutor,1,,,
,,,"Okay, I think this is it? So? The question we left off on was question 9 for you guys 19",2023-02-22T17:04:21.220-08:00,2023-02-22T17:04:31.310-08:00,tutor,tutor,1,,,
,,,on this.,2023-02-22T17:04:31.730-08:00,2023-02-22T17:04:34.270-08:00,tutor,tutor,1,,,
,,,"I know I got through part of it, but was struggling towards the end. But",2023-02-22T17:04:34.680-08:00,2023-02-22T17:04:39.970-08:00,tutor,tutor,1,,,
,,,we'll g0 0ver it from the beginning just since I probably messed you guys up with my mystics. But,2023-02-22T17:04:40.370-08:00,2023-02-22T17:04:47.160-08:00,tutor,tutor,1,,,
,-1.0,1.0,"so this reminder on Tuesday Jennifer will mix. Oh, I should probably zoom out from",2023-02-22T17:04:47.400-08:00,2023-02-22T17:04:53.160-08:00,tutor,tutor,2,,-1.0,
,,,on Tuesday Jennifer will mix crunchy Grand Syria with super greensio for her breakfast.,2023-02-22T17:04:54.780-08:00,2023-02-22T17:04:58.980-08:00,tutor,tutor,2,,-1.0,
,,,Super grain provides 240 calories per cup. If the total in both calories and one cup of Jennifer's mixture is 270. How much super grain cereal is in one cup of the mixture?,2023-02-22T17:04:59.030-08:00,2023-02-22T17:05:09.620-08:00,tutor,tutor,2,,-1.0,
,,,So we're given the information that the Crunchy Green,2023-02-22T17:05:10.050-08:00,2023-02-22T17:05:15.140-08:00,tutor,tutor,2,,-1.0,
,,,"has 3 quarters of a cup for a serving, and that's 210 calories. so we'll say, See for crunchy grain. 3 quarters of a cup.",2023-02-22T17:05:15.280-08:00,2023-02-22T17:05:26.100-08:00,tutor,tutor,2,,-1.0,
,,,It equals 210 calories.,2023-02-22T17:05:27.280-08:00,2023-02-22T17:05:30.310-08:00,tutor,tutor,2,,-1.0,
,,,and if we were to solve for one cup,2023-02-22T17:05:33.880-08:00,2023-02-22T17:05:38.310-08:00,tutor,tutor,2,,-1.0,
,,,"to make it easier on ourselves, we can multiply by the reciprocal. so multiply both sides by four-thirds. We'll get one cup",2023-02-22T17:05:38.450-08:00,2023-02-22T17:05:46.340-08:00,tutor,tutor,2,,-1.0,
,,,is equal to,2023-02-22T17:05:46.540-08:00,2023-02-22T17:05:49.070-08:00,tutor,tutor,2,,-1.0,
,,,2 80 it looks like.,2023-02-22T17:05:49.120-08:00,2023-02-22T17:05:51.280-08:00,tutor,tutor,2,,-1.0,
,,,and then for the super green we have one cup,2023-02-22T17:05:54.050-08:00,2023-02-22T17:05:58.350-08:00,tutor,tutor,2,,-1.0,
,,,equals,2023-02-22T17:05:58.750-08:00,2023-02-22T17:06:00.260-08:00,tutor,tutor,2,,-1.0,
,,,"one type equals 2 40 calories, and that's given right here.",2023-02-22T17:06:02.580-08:00,2023-02-22T17:06:08.400-08:00,tutor,tutor,2,,-1.0,
,,,Now we know our mixture is going to be equal t0 0ne cup also.,2023-02-22T17:06:12.150-08:00,2023-02-22T17:06:17.370-08:00,tutor,tutor,2,,-1.0,
,,,"and that's going to be 270,",2023-02-22T17:06:17.480-08:00,2023-02-22T17:06:20.110-08:00,tutor,tutor,2,,-1.0,
,,,"so we can kind of set up 2 different equations, one for like this quantity the cups.",2023-02-22T17:06:20.780-08:00,2023-02-22T17:06:27.520-08:00,tutor,tutor,2,,-1.0,
,,,"and then one for the calories, and we can combine those to figure out our total number of each. So if we look just at the cups, we know we have one mix or one cup in our mixture.",2023-02-22T17:06:27.650-08:00,2023-02-22T17:06:39.100-08:00,tutor,tutor,2,,-1.0,
,,,and the super green and crunchy grain,2023-02-22T17:06:39.170-08:00,2023-02-22T17:06:42.370-08:00,tutor,tutor,2,,-1.0,
,,,"we'll add to that mixture to get that one, so",2023-02-22T17:06:42.400-08:00,2023-02-22T17:06:46.800-08:00,tutor,tutor,2,,-1.0,
,,,"we'll say, See, it will be our value for amount of crunchy grain and pets plus.",2023-02-22T17:06:46.990-08:00,2023-02-22T17:06:55.620-08:00,tutor,tutor,2,,-1.0,
