problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
485.0,,1.0,"Right, guys, we're just gonna wait a little bit until 7 to start.",2023-02-11T15:58:57.540-08:00,2023-02-11T15:59:03.270-08:00,tutor,tutor,1,,,
,,,So just hang type,2023-02-11T15:59:04.920-08:00,2023-02-11T15:59:06.200-08:00,tutor,tutor,1,,,
,,,"alright, guys, if you can turn on your cameras. That'd be great.",2023-02-11T16:00:06.690-08:00,2023-02-11T16:00:10.440-08:00,tutor,tutor,1,,,
,,,Thanks.,2023-02-11T16:00:16.830-08:00,2023-02-11T16:00:17.730-08:00,tutor,tutor,1,,,
,,,all right. So we're gonna get started here.,2023-02-11T16:00:18.790-08:00,2023-02-11T16:00:21.800-08:00,tutor,tutor,1,,,
,,,Welcome to the,2023-02-11T16:00:21.970-08:00,2023-02-11T16:00:25.880-08:00,tutor,tutor,1,,,
,,,march! Sat Boot camp.,2023-02-11T16:00:26.420-08:00,2023-02-11T16:00:28.810-08:00,tutor,tutor,1,,,
,,,"My name is drove, and i'll be the your tutor.",2023-02-11T16:00:30.120-08:00,2023-02-11T16:00:33.710-08:00,tutor,tutor,1,,,
,,,So i'm going to get started by.,2023-02-11T16:00:33.870-08:00,2023-02-11T16:00:36.780-08:00,tutor,tutor,1,,,
,,,I'm going to get started by presenting a presentation from schoolhouse.,2023-02-11T16:00:43.360-08:00,2023-02-11T16:00:48.130-08:00,tutor,tutor,1,,,
,,,and i'll take you through what we're gonna do in the in the in the month together that we have.,2023-02-11T16:00:48.290-08:00,2023-02-11T16:00:54.320-08:00,tutor,tutor,1,,,
,,,and then we'll go from there.,2023-02-11T16:00:54.410-08:00,2023-02-11T16:00:55.850-08:00,tutor,tutor,1,,,
,,,Anybody who just joined it'd be great if you guys could turn on your cameras.,2023-02-11T16:00:55.940-08:00,2023-02-11T16:01:01.090-08:00,tutor,tutor,1,,,
,,,so i'm just gonna share my screen. And you guys should be seeing a presentation.,2023-02-11T16:01:26.370-08:00,2023-02-11T16:01:31.410-08:00,tutor,tutor,1,,,
,,,So just,2023-02-11T16:01:32.430-08:00,2023-02-11T16:01:33.360-08:00,tutor,tutor,1,,,
,,,give me a thumbs up. If you guys can all see this,2023-02-11T16:01:35.360-08:00,2023-02-11T16:01:37.970-08:00,tutor,tutor,1,,,
,,,all right. Great.,2023-02-11T16:01:39.220-08:00,2023-02-11T16:01:40.320-08:00,tutor,tutor,1,,,
,,,"All right. So again, welcome to the schoolhouse sh boot camp for math. If you guys thought this was for reading or writing. You're in the wrong place. Unfortunately, this is for math.",2023-02-11T16:01:43.130-08:00,2023-02-11T16:01:55.890-08:00,tutor,tutor,1,,,
,,,So we're just gonna start off with some icebreakers where we can just introduce ourselves. and i'll go first. So my name is drove,2023-02-11T16:01:56.990-08:00,2023-02-11T16:02:07.250-08:00,tutor,tutor,1,,,
,,,"I'm. From New Jersey in the United States, and my hope for this sat Boot Camp is to hopefully help you guys with any areas that you might have some problems with. And i'm just here to answer any questions you guys have. So",2023-02-11T16:02:07.450-08:00,2023-02-11T16:02:21.510-08:00,tutor,tutor,1,,,
,,,"don't be shy to ask questions. Right questions are a good thing. So if you guys at any time have any doubts about solving a problem, understanding your concept or anything like that. Please let me know. I'm here to help.",2023-02-11T16:02:21.640-08:00,2023-02-11T16:02:34.120-08:00,tutor,tutor,1,,,
,,,"All right. So now I will call on one of you guys, and",2023-02-11T16:02:34.670-08:00,2023-02-11T16:02:41.040-08:00,tutor,tutor,1,,,
,,,"you will go through these questions as well, and just like, Introduce yourself. And then, once you're done, feel free to call on another person in the meeting. So, Jalen, do you mind starting us off?",2023-02-11T16:02:41.080-08:00,2023-02-11T16:02:53.370-08:00,tutor,tutor,1,,,
,,,"Yeah. Hi. My name is [STUDENT_5]. I'm. From Pennsylvania, and my hope for Sat Boot Camp is",2023-02-11T16:02:54.900-08:00,2023-02-11T16:03:02.050-08:00,student,student A,1,,,
,,,to get up My mask sat because that is what i'm currently weekend.,2023-02-11T16:03:02.100-08:00,2023-02-11T16:03:07.250-08:00,student,student A,1,,,
,,,Do I just,2023-02-11T16:03:08.680-08:00,2023-02-11T16:03:10.110-08:00,student,student A,1,,,
,,,even?,2023-02-11T16:03:12.700-08:00,2023-02-11T16:03:14.020-08:00,student,student A,1,,,
,,,"Oh, hi! My name is [STUDENT_3]. I'm from Colorado.",2023-02-11T16:03:17.420-08:00,2023-02-11T16:03:20.350-08:00,student,student B,1,,,
,,,and my hope for this sat Boot Camp is to be be more prepared for the math part,2023-02-11T16:03:20.830-08:00,2023-02-11T16:03:25.490-08:00,student,student B,1,,,
