problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
495.0,,1.0,"Hello, there, and welcome back to another addition of",2023-02-23T15:00:05.590-08:00,2023-02-23T15:00:10.070-08:00,tutor,tutor,1,,,
,,,Zoom Meetings teaching you about the sat Math Section.,2023-02-23T15:00:11.180-08:00,2023-02-23T15:00:14.550-08:00,tutor,tutor,1,,,
,,,Let's start with our welcome.,2023-02-23T15:00:17.810-08:00,2023-02-23T15:00:20.580-08:00,tutor,tutor,1,,,
,,,"It is week to day 2, which means that apparently we are giving boot, camp feedback.",2023-02-23T15:00:31.840-08:00,2023-02-23T15:00:37.590-08:00,tutor,tutor,1,,,
,,,Here's our welcome question.,2023-02-23T15:00:41.370-08:00,2023-02-23T15:00:42.740-08:00,tutor,tutor,1,,,
,,,"What feedback do you have for the sat boot camp so far, share a favorite moment as well as an area you think we can improve on.",2023-02-23T15:00:42.780-08:00,2023-02-23T15:00:50.740-08:00,tutor,tutor,1,,,
,,,"I don't know this is supposed to be specific to me as a tutor, or the boot camps in general, but do either one. I guess",2023-02-23T15:00:52.620-08:00,2023-02-23T15:00:58.130-08:00,tutor,tutor,1,,,
,,,I don't have any,2023-02-23T15:01:04.240-08:00,2023-02-23T15:01:05.710-08:00,student,student A,1,,,
,,,like critiques.,2023-02-23T15:01:06.300-08:00,2023-02-23T15:01:07.860-08:00,student,student A,1,,,
,,,I enjoy going over the word problems. and,2023-02-23T15:01:07.920-08:00,2023-02-23T15:01:12.750-08:00,student,student A,1,,,
,,,it's good. You're doing great,2023-02-23T15:01:13.560-08:00,2023-02-23T15:01:15.730-08:00,student,student A,1,,,
,,,cool. Thank you.,2023-02-23T15:01:16.320-08:00,2023-02-23T15:01:17.750-08:00,tutor,tutor,1,,,
,,,[STUDENT_1]. What is a good moment and a bad moment in the book kept so far,2023-02-23T15:01:29.300-08:00,2023-02-23T15:01:33.300-08:00,tutor,tutor,1,,,
,,,"I think it's pretty good. I just I don't know. I like more specific questions, I guess, but I think it's to g0 0ver the questions that we get wrong.",2023-02-23T15:01:36.030-08:00,2023-02-23T15:01:46.380-08:00,student,student B,1,,,
,,,Helps,2023-02-23T15:01:46.430-08:00,2023-02-23T15:01:47.430-08:00,student,student B,1,,,
,,,yeah,2023-02-23T15:01:47.810-08:00,2023-02-23T15:01:48.440-08:00,tutor,tutor,1,,,
,,,"me, too. A good moment by moment with the sat camp. So far.",2023-02-23T15:01:52.790-08:00,2023-02-23T15:01:56.990-08:00,tutor,tutor,1,,,
,,,I think a good moment was.,2023-02-23T15:01:58.030-08:00,2023-02-23T15:02:00.340-08:00,student,student C,1,,,
,,,"It's like twice a week, something like that. And",2023-02-23T15:02:00.930-08:00,2023-02-23T15:02:04.410-08:00,student,student C,1,,,
,,,"I guess we can like move through problems quickly, like quicker.",2023-02-23T15:02:04.590-08:00,2023-02-23T15:02:09.410-08:00,student,student C,1,,,
,,,Hmm.,2023-02-23T15:02:09.640-08:00,2023-02-23T15:02:10.460-08:00,tutor,tutor,1,,,
,,,All over you. that's all.,2023-02-23T15:02:10.510-08:00,2023-02-23T15:02:12.760-08:00,student,student C,1,,,
,,,[STUDENT_8].,2023-02-23T15:02:15.950-08:00,2023-02-23T15:02:17.430-08:00,student,student C,1,,,
,,,Good moment is definitely just going through,2023-02-23T15:02:18.770-08:00,2023-02-23T15:02:21.460-08:00,student,student C,1,,,
,,,all the questions multiple times like different tests.,2023-02-23T15:02:21.490-08:00,2023-02-23T15:02:25.310-08:00,student,student D,1,,,
,,,I don't really have a bad one.,2023-02-23T15:02:25.730-08:00,2023-02-23T15:02:28.460-08:00,student,student D,1,,,
,,,kind of,2023-02-23T15:02:29.150-08:00,2023-02-23T15:02:29.970-08:00,tutor,tutor,1,,,
,,,[STUDENT_6].,2023-02-23T15:02:30.840-08:00,2023-02-23T15:02:31.810-08:00,tutor,tutor,1,,,
,,,I think we should have,2023-02-23T15:02:36.940-08:00,2023-02-23T15:02:39.700-08:00,tutor,tutor,1,,,
,,,"more different questions, because these questions are from the practice test, and I done some of these practice tests before",2023-02-23T15:02:40.040-08:00,2023-02-23T15:02:46.370-08:00,student,student E,1,,,
,,,right.,2023-02-23T15:02:48.160-08:00,2023-02-23T15:02:49.080-08:00,tutor,tutor,1,,,
,,,I should submit those feedback because it could be a slight issue.,2023-02-23T15:02:50.750-08:00,2023-02-23T15:02:55.270-08:00,tutor,tutor,1,,,
,,,I can't really change anything about that person.,2023-02-23T15:02:55.750-08:00,2023-02-23T15:02:58.020-08:00,tutor,tutor,1,,,
,,,Freda.,2023-02-23T15:03:00.830-08:00,2023-02-23T15:03:02.430-08:00,tutor,tutor,1,,,
,,,at the moment that moment.,2023-02-23T15:03:02.550-08:00,2023-02-23T15:03:03.920-08:00,tutor,tutor,1,,,
,,,A good moment is that it's like helping me. But then a bad one is that like I feel like the questions are too kind of. I don't know how to explain it like,2023-02-23T15:03:04.800-08:00,2023-02-23T15:03:15.870-08:00,student,student F,1,,,
,,,specific like. I wanted more like general questions. If that makes sense.,2023-02-23T15:03:16.070-08:00,2023-02-23T15:03:20.690-08:00,student,student F,1,,,
,,,Sure.,2023-02-23T15:03:21.770-08:00,2023-02-23T15:03:22.490-08:00,tutor,tutor,1,,,
,,,I will see what I can do with our practice problems today. which,2023-02-23T15:03:24.490-08:00,2023-02-23T15:03:28.570-08:00,tutor,tutor,1,,,
,,,"I guess what we're doing next. Yeah. we have our targeted group practice. S0 0ur practice problems. And then we're going to take practice test a 4 which I think is the last Calculator section we'll take together, and then we'll review that at the end.",2023-02-23T15:03:29.720-08:00,2023-02-23T15:03:43.140-08:00,tutor,tutor,1,,,
,,,So for what?,2023-02-23T15:03:46.240-08:00,2023-02-23T15:03:49.120-08:00,tutor,tutor,1,,,
,,,So,2023-02-23T15:03:50.690-08:00,2023-02-23T15:03:51.290-08:00,tutor,tutor,1,,,
,,,okay.,2023-02-23T15:04:10.300-08:00,2023-02-23T15:04:10.930-08:00,tutor,tutor,1,,,
,,,Feel free to put in the chat any specific topics you want to g0 0ver.,2023-02-23T15:04:14.740-08:00,2023-02-23T15:04:18.500-08:00,tutor,tutor,1,,,
,,,But,2023-02-23T15:04:20.650-08:00,2023-02-23T15:04:22.190-08:00,tutor,tutor,1,,,
,,,"If not, then I think that we can just go ahead and get started. Are we trying to focus more on the greater and problems? Because that's part of what our practice test today is focusing on. It's like the last, the multiple choice. And then the grid is as well.",2023-02-23T15:04:22.340-08:00,2023-02-23T15:04:37.100-08:00,tutor,tutor,1,,,
,,,so,2023-02-23T15:04:37.470-08:00,2023-02-23T15:04:38.060-08:00,tutor,tutor,1,,,
,,,as well.,2023-02-23T15:04:40.420-08:00,2023-02-23T15:04:41.170-08:00,tutor,tutor,1,,,
,,,"Oh, yeah, because it's a great and just type in your answer in the chat",2023-02-23T15:05:58.430-08:00,2023-02-23T15:06:01.670-08:00,tutor,tutor,1,,,
,,,I forgot that you can't just say a letter because it's not a multiple choice.,2023-02-23T15:06:02.750-08:00,2023-02-23T15:06:06.220-08:00,tutor,tutor,1,,,
,,,Where is Kate?,2023-02-23T15:06:27.450-08:00,2023-02-23T15:06:29.400-08:00,student,student E,1,,,
,,,Thank you.,2023-02-23T15:06:29.560-08:00,2023-02-23T15:06:30.290-08:00,student,student E,1,,,
,-1.0,1.0,"I'm gonna go ahead and start working through this problem, even though",2023-02-23T15:06:52.630-08:00,2023-02-23T15:06:55.840-08:00,tutor,tutor,2,,-1.0,
,,,most of you have not. Yes. And then you can answer.,2023-02-23T15:06:56.390-08:00,2023-02-23T15:06:59.130-08:00,tutor,tutor,2,,-1.0,
,,,"okay in the Xy plane of the point, 2 5 lies on the graph of the function F. If F. Of X equals K. Minus X squared where K. Is a constant",2023-02-23T15:07:03.380-08:00,2023-02-23T15:07:14.900-08:00,tutor,tutor,2,,-1.0,
,,,What is the value of K.,2023-02-23T15:07:15.020-08:00,2023-02-23T15:07:16.900-08:00,tutor,tutor,2,,-1.0,
,,,And the solution I see here is to put in the point 2 5 into this. a function.,2023-02-23T15:07:18.130-08:00,2023-02-23T15:07:26.060-08:00,tutor,tutor,2,,-1.0,
,,,Most of you have responded with an answer. That's not the one that,2023-02-23T15:07:31.090-08:00,2023-02-23T15:07:35.150-08:00,tutor,tutor,2,,-1.0,
,,,"I got, so I could potentially be the wrong one here. But we'll see.",2023-02-23T15:07:35.330-08:00,2023-02-23T15:07:40.000-08:00,tutor,tutor,2,,-1.0,
,,,feel pretty correct me.,2023-02-23T15:07:40.430-08:00,2023-02-23T15:07:42.020-08:00,tutor,tutor,2,,-1.0,
,,,But let's just put in,2023-02-23T15:07:42.320-08:00,2023-02-23T15:07:44.060-08:00,tutor,tutor,2,,-1.0,
,,,"y 5 as F. Of x, so",2023-02-23T15:07:45.730-08:00,2023-02-23T15:07:49.330-08:00,tutor,tutor,2,,-1.0,
,,,"5 equals K. My is x squared, and then, because our access to it's going to be minus.",2023-02-23T15:07:50.150-08:00,2023-02-23T15:07:57.240-08:00,tutor,tutor,2,,-1.0,
,,,"So then we'll just add for both sides, and then you can.",2023-02-23T15:08:05.510-08:00,2023-02-23T15:08:08.700-08:00,tutor,tutor,2,,-1.0,
,,,You just put in mind for the answer.,2023-02-23T15:08:10.220-08:00,2023-02-23T15:08:13.130-08:00,tutor,tutor,2,,-1.0,
,,,"Okay, where did you get the 4 from?",2023-02-23T15:08:14.850-08:00,2023-02-23T15:08:18.300-08:00,student,student F,2,,-1.0,
,,,"Oh, it was X squared. And because our access to I just",2023-02-23T15:08:20.590-08:00,2023-02-23T15:08:24.540-08:00,tutor,tutor,2,,-1.0,
,,,"0 0kay, Thank you.",2023-02-23T15:08:24.730-08:00,2023-02-23T15:08:27.950-08:00,tutor,tutor,2,,-1.0,
,,,I think that's why I got a different answer to anything different.,2023-02-23T15:08:31.960-08:00,2023-02-23T15:08:35.230-08:00,tutor,tutor,2,,-1.0,
,,,"Okay, perfect.",2023-02-23T15:08:40.670-08:00,2023-02-23T15:08:41.780-08:00,tutor,tutor,2,,-1.0,
,-1.0,1.0,Let's find another grid in problem,2023-02-23T15:08:43.930-08:00,2023-02-23T15:08:46.250-08:00,tutor,tutor,3,,-1.0,
,,,operations with professional expressions. Sure.,2023-02-23T15:08:47.860-08:00,2023-02-23T15:08:51.220-08:00,tutor,tutor,3,,-1.0,
,,,this particular screenshot is kind of fuzzy,2023-02-23T15:09:05.740-08:00,2023-02-23T15:09:08.130-08:00,tutor,tutor,3,,-1.0,
,,,great.,2023-02-23T15:09:09.270-08:00,2023-02-23T15:09:09.990-08:00,tutor,tutor,3,,-1.0,
,,,Okay.,2023-02-23T15:11:33.170-08:00,2023-02-23T15:11:34.010-08:00,tutor,tutor,3,,-1.0,
,,,Going to go ahead and start with this product.,2023-02-23T15:11:37.440-08:00,2023-02-23T15:11:40.290-08:00,tutor,tutor,3,,-1.0,
,,,The expression above is equivalent to a over exposed to sort,2023-02-23T15:11:42.790-08:00,2023-02-23T15:11:48.920-08:00,tutor,tutor,3,,-1.0,
,,,"where it's a positive constant, and X is not equal to what is the value of a",2023-02-23T15:11:49.370-08:00,2023-02-23T15:11:54.840-08:00,tutor,tutor,3,,-1.0,
,,,I'm. Just gonna go ahead and and then put a,2023-02-23T15:11:57.290-08:00,2023-02-23T15:12:00.520-08:00,tutor,tutor,3,,-1.0,
,,,over.,2023-02-23T15:12:00.780-08:00,2023-02-23T15:12:02.200-08:00,tutor,tutor,3,,-1.0,
,,,Does anyone see what our first step with this problem is,2023-02-23T15:12:08.150-08:00,2023-02-23T15:12:10.880-08:00,tutor,tutor,3,,-1.0,
,,,multiply 2 over X plus 2 times exposed t0 0ver access to,2023-02-23T15:12:21.690-08:00,2023-02-23T15:12:29.260-08:00,student,student A,3,,-1.0,
,,,"exactly what we need to do in this situation is, get everything on the same denominator, so that we can add things together. So that is exactly what we're going to do.",2023-02-23T15:12:29.730-08:00,2023-02-23T15:12:37.350-08:00,tutor,tutor,3,,-1.0,
,,,I'm just gonna,2023-02-23T15:12:39.720-08:00,2023-02-23T15:12:40.830-08:00,tutor,tutor,3,,-1.0,
,,,move this down here and then move this.,2023-02-23T15:12:41.170-08:00,2023-02-23T15:12:44.190-08:00,tutor,tutor,3,,-1.0,
,,,multiply it out. I have written down,2023-02-23T15:12:44.720-08:00,2023-02-23T15:12:46.630-08:00,tutor,tutor,3,,-1.0,
