problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
490.0,,1.0,"Hey, everybody! How's it going?",2023-02-28T12:31:17.450-08:00,2023-02-28T12:31:20.150-08:00,tutor,tutor,1,,,
,,,Hope you all had good Good day so far.,2023-02-28T12:31:27.440-08:00,2023-02-28T12:31:31.530-08:00,tutor,tutor,1,,,
,,,Oh.,2023-02-28T12:31:32.630-08:00,2023-02-28T12:31:34.020-08:00,tutor,tutor,1,,,
,,,today,2023-02-28T12:31:35.410-08:00,2023-02-28T12:31:36.510-08:00,tutor,tutor,1,,,
,,,let me check what's in store for us,2023-02-28T12:31:37.390-08:00,2023-02-28T12:31:40.820-08:00,tutor,tutor,1,,,
,,,we have.,2023-02-28T12:31:46.430-08:00,2023-02-28T12:31:48.289-08:00,tutor,tutor,1,,,
,,,So we have a new test that we're going to start taking. So,2023-02-28T12:31:57.330-08:00,2023-02-28T12:32:03.080-08:00,tutor,tutor,1,,,
,,,the last couple of sessions you all have been working on practice test a. Now we're going to be moving on to practices. B. And today we're actually just going to start out by working on that.,2023-02-28T12:32:04.020-08:00,2023-02-28T12:32:15.640-08:00,tutor,tutor,1,,,
,,,I working on that practice test.,2023-02-28T12:32:18.180-08:00,2023-02-28T12:32:21.740-08:00,tutor,tutor,1,,,
,,,"And I see this. So we are saying that it's tomorrow. Actually, let's see A. T",2023-02-28T12:32:21.830-08:00,2023-02-28T12:32:29.290-08:00,tutor,tutor,1,,,
,,,when this,2023-02-28T12:32:32.540-08:00,2023-02-28T12:32:34.460-08:00,tutor,tutor,1,,,
,,,mark.,2023-02-28T12:32:34.530-08:00,2023-02-28T12:32:35.290-08:00,tutor,tutor,1,,,
,,,"Oh, yeah, are you in the Are you in the Us.",2023-02-28T12:32:40.260-08:00,2023-02-28T12:32:43.040-08:00,tutor,tutor,1,,,
,,,Yeah. hmm.,2023-02-28T12:32:53.300-08:00,2023-02-28T12:32:55.290-08:00,tutor,tutor,1,,,
,,,Do you have like a separate date or something? But i'm pretty sure it was on the eleventh. Right? I think I think Car also said it was on the eleventh,2023-02-28T12:32:55.520-08:00,2023-02-28T12:33:02.300-08:00,tutor,tutor,1,,,
,,,Love the march.,2023-02-28T12:33:02.840-08:00,2023-02-28T12:33:05.110-08:00,tutor,tutor,1,,,
,,,I know.,2023-02-28T12:33:07.960-08:00,2023-02-28T12:33:09.080-08:00,tutor,tutor,1,,,
,,,Anyways. i'm gonna,2023-02-28T12:33:12.840-08:00,2023-02-28T12:33:16.570-08:00,tutor,tutor,1,,,
,,,open up that assessment.,2023-02-28T12:33:16.690-08:00,2023-02-28T12:33:19.720-08:00,tutor,tutor,1,,,
,,,"and you all can get started on that, and then we'll jump into",2023-02-28T12:33:20.770-08:00,2023-02-28T12:33:27.850-08:00,tutor,tutor,1,,,
,,,the revenue for that.,2023-02-28T12:33:27.940-08:00,2023-02-28T12:33:29.430-08:00,tutor,tutor,1,,,
,,,"Oh, I see. I see",2023-02-28T12:33:31.330-08:00,2023-02-28T12:33:33.400-08:00,tutor,tutor,1,,,
