problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
492.0,,1.0,Hi! Do you welcome? Did you get the answer to that? I sent you? I just sent you a 2 and a 3?,2023-03-09T17:30:12.220-08:00,2023-03-09T17:30:18.210-08:00,tutor,tutor,1,,,
,,,I'm just going to give people a couple of more minutes to come and then we will get started.,2023-03-09T17:30:44.360-08:00,2023-03-09T17:30:47.990-08:00,tutor,tutor,1,,,
,,,"Okay, awesome.",2023-03-09T17:31:13.650-08:00,2023-03-09T17:31:14.820-08:00,tutor,tutor,1,,,
,,,"While you're on the schoolhouse system. Let me know if there are any like questions on. especially practice to be, too. If you have like any questions you want me to go over today, and just in general any questions on any of the practice test we've taken up until now.",2023-03-09T17:31:21.170-08:00,2023-03-09T17:31:37.270-08:00,tutor,tutor,1,,,
,,,"Hi, le hi Roxanne. Welcome. We'll just give you like one or 2 min more minutes to join. I'm just asking everyone. I'll just take like a minute. Is there any questions, especially on any of the practice that we've taken so far especially be to the one we took last time. Please definitely take a look and like Mark that, so we can definitely go over it today.",2023-03-09T17:31:43.440-08:00,2023-03-09T17:32:03.300-08:00,tutor,tutor,1,,,
,,,"And just for people that also just entered. If there's like a specific question or a couple of questions on B 2, the practices we just take, or on a the practice test. You take it so far or any. It's just like.",2023-03-09T17:32:22.990-08:00,2023-03-09T17:32:36.210-08:00,tutor,tutor,1,,,
,,,"Get that question ready, so we can make sure we go over them. and we'll be people like one more minute.",2023-03-09T17:32:36.230-08:00,2023-03-09T17:32:42.020-08:00,tutor,tutor,1,,,
,,,All right. We are going to get started. Welcome back to session. 8 of the sat bo boot camp. If you're able to turn on your camera. Please do,2023-03-09T17:33:17.890-08:00,2023-03-09T17:33:28.970-08:00,tutor,tutor,1,,,
,,,"thank you. So today is our last session. I think a lot of you have already either taken your city. If it was like in school density, we're planning to take it on Saturday. It's coming up. So how is everybody feeling kind of going into it?",2023-03-09T17:33:28.970-08:00,2023-03-09T17:33:45.020-08:00,tutor,tutor,1,,,
,,,"Also feel free to use the chat feature, too.",2023-03-09T17:33:50.600-08:00,2023-03-09T17:33:52.960-08:00,tutor,tutor,1,,,
