problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
485.0,,1.0,"Hi, [STUDENT_11]! And",2023-02-10T15:57:57.130-08:00,2023-02-10T15:57:59.210-08:00,tutor,tutor,1,,,
,,,"oh, you are still connected to the audio. I'll wait for you on a bit.",2023-02-10T15:57:59.460-08:00,2023-02-10T15:58:03.840-08:00,tutor,tutor,1,,,
,,,"Hello, [STUDENT_11], and",2023-02-10T15:58:05.760-08:00,2023-02-10T15:58:08.010-08:00,tutor,tutor,1,,,
,,,welcome to our session our series.,2023-02-10T15:58:08.630-08:00,2023-02-10T15:58:12.009-08:00,tutor,tutor,1,,,
,,,"Hi there, [STUDENT_11]!",2023-02-10T15:58:14.180-08:00,2023-02-10T15:58:16.600-08:00,tutor,tutor,1,,,
,,,"Hello, Gabriela!",2023-02-10T15:58:16.960-08:00,2023-02-10T15:58:18.860-08:00,student,student A,1,,,
,,,And Hello! So,2023-02-10T15:58:19.230-08:00,2023-02-10T15:58:22.069-08:00,student,student B,1,,,
,,,"Hi, [STUDENT_5]! Hi! Everybody who has come to us for and welcome to our very first sed Math Boot Camp session, and also my very first S. I did not with Camp session.",2023-02-10T15:58:22.470-08:00,2023-02-10T15:58:34.269-08:00,tutor,tutor,1,,,
,,,"so we're still waiting for if I am right, 8 more members to come, but we all be like",2023-02-10T15:58:34.410-08:00,2023-02-10T15:58:42.230-08:00,tutor,tutor,1,,,
,,,they're patient for him.,2023-02-10T15:58:42.360-08:00,2023-02-10T15:58:43.729-08:00,tutor,tutor,1,,,
,,,"and hope that we'll get a perfect attendance today, because there's some talk about attendance. I'm gonna talk about today. But first of all, let me just share my slides, and",2023-02-10T15:58:43.780-08:00,2023-02-10T15:58:53.710-08:00,tutor,tutor,1,,,
,,,it will be like a fine.,2023-02-10T15:58:54.860-08:00,2023-02-10T15:58:56.459-08:00,tutor,tutor,1,,,
,,,Okay.,2023-02-10T15:58:56.980-08:00,2023-02-10T15:58:57.660-08:00,student,student A,1,,,
,,,so.,2023-02-10T15:59:07.750-08:00,2023-02-10T15:59:09.189-08:00,tutor,tutor,1,,,
,,,But it's all right.,2023-02-10T15:59:09.520-08:00,2023-02-10T15:59:12.259-08:00,tutor,tutor,1,,,
,,,There's also the check box. I'll be monitoring that.,2023-02-10T15:59:12.920-08:00,2023-02-10T15:59:18.190-08:00,tutor,tutor,1,,,
,,,"So I was. Just say, just let's say this, so I have noted everybody who had not been, Who? How? Not speak just to that. Ensure that we don't have an any noises. I can move this policy around and change it as necessary. And hello there, Mallory.",2023-02-10T15:59:44.790-08:00,2023-02-10T16:00:02.939-08:00,tutor,tutor,1,,,
,,,welcome to our very first s at that session.,2023-02-10T16:00:03.130-08:00,2023-02-10T16:00:08.080-08:00,tutor,tutor,1,,,
,,,and we're so glad everybody is here.,2023-02-10T16:00:08.210-08:00,2023-02-10T16:00:10.989-08:00,tutor,tutor,1,,,
,,,Let me just get my slides ready,2023-02-10T16:00:11.170-08:00,2023-02-10T16:00:15.249-08:00,tutor,tutor,1,,,
,,,all right.,2023-02-10T16:00:30.290-08:00,2023-02-10T16:00:31.710-08:00,tutor,tutor,1,,,
,,,Hello!,2023-02-10T16:00:54.320-08:00,2023-02-10T16:00:56.040-08:00,tutor,tutor,1,,,
,,,"Oh, that",2023-02-10T16:00:56.480-08:00,2023-02-10T16:00:57.720-08:00,tutor,tutor,1,,,
,,,is your name right,2023-02-10T16:00:58.390-08:00,2023-02-10T16:00:59.510-08:00,tutor,tutor,1,,,
,,,and welcome to our,2023-02-10T16:00:59.630-08:00,2023-02-10T16:01:03.040-08:00,tutor,tutor,1,,,
,,,and you.,2023-02-10T16:01:03.220-08:00,2023-02-10T16:01:04.090-08:00,tutor,tutor,1,,,
,,,Hi.,2023-02-10T16:01:05.570-08:00,2023-02-10T16:01:06.360-08:00,student,student C,1,,,
,,,hello!,2023-02-10T16:01:06.960-08:00,2023-02-10T16:01:07.900-08:00,tutor,tutor,1,,,
,,,"And we're waiting for [STUDENT_10] to join. I'm on you. Hi, [STUDENT_10], Welcome here!",2023-02-10T16:01:09.020-08:00,2023-02-10T16:01:14.440-08:00,tutor,tutor,1,,,
,,,"Welcome to our very first has a team, that session.",2023-02-10T16:01:16.300-08:00,2023-02-10T16:01:19.820-08:00,tutor,tutor,1,,,
,,,and,2023-02-10T16:01:20.370-08:00,2023-02-10T16:01:21.160-08:00,tutor,tutor,1,,,
,,,we're still waiting for 5 of us.,2023-02-10T16:01:22.780-08:00,2023-02-10T16:01:24.949-08:00,tutor,tutor,1,,,
,,,I'll wait for for one more minute,2023-02-10T16:01:25.540-08:00,2023-02-10T16:01:27.610-08:00,tutor,tutor,1,,,
,,,and see it.,2023-02-10T16:01:28.210-08:00,2023-02-10T16:01:29.320-08:00,tutor,tutor,1,,,
,,,Everybody is here who will be will call.,2023-02-10T16:01:29.340-08:00,2023-02-10T16:01:32.730-08:00,tutor,tutor,1,,,
,,,What is,2023-02-10T16:01:33.020-08:00,2023-02-10T16:01:33.690-08:00,tutor,tutor,1,,,
,,,this to me?,2023-02-10T16:01:34.850-08:00,2023-02-10T16:01:36.010-08:00,tutor,tutor,1,,,
,,,What dial is? They are right.,2023-02-10T16:01:36.790-08:00,2023-02-10T16:01:38.679-08:00,tutor,tutor,1,,,
,,,"Hi Len! Or she's. Still, I think she's still not connecting with me audio.",2023-02-10T16:01:53.940-08:00,2023-02-10T16:01:58.540-08:00,tutor,tutor,1,,,
,,,Hello.,2023-02-10T16:01:59.470-08:00,2023-02-10T16:02:00.490-08:00,tutor,tutor,1,,,
,,,"hi, Len! And welcome to our very first.",2023-02-10T16:02:01.270-08:00,2023-02-10T16:02:05.130-08:00,tutor,tutor,1,,,
,,,I think he math boot cap.,2023-02-10T16:02:05.220-08:00,2023-02-10T16:02:07.320-08:00,tutor,tutor,1,,,
,,,and we shall be. I think i'll start it by now.,2023-02-10T16:02:07.500-08:00,2023-02-10T16:02:12.520-08:00,tutor,tutor,1,,,
,,,so,2023-02-10T16:02:12.830-08:00,2023-02-10T16:02:14.530-08:00,tutor,tutor,1,,,
,,,"if you, if you like, you can certainly turn on your your cameras",2023-02-10T16:02:16.050-08:00,2023-02-10T16:02:20.690-08:00,tutor,tutor,1,,,
,,,"as we see [STUDENT_4] and [STUDENT_11] has done, and i'm gonna i'm also doing. But if you don't feel as extremely comfortable, you're welcome to leave it us as is I'd say that perhaps they'd be, an on that that are leaving it off. But",2023-02-10T16:02:20.710-08:00,2023-02-10T16:02:36.459-08:00,tutor,tutor,1,,,
,,,"you're in a very with the environment, and you want to like",2023-02-10T16:02:36.470-08:00,2023-02-10T16:02:40.770-08:00,tutor,tutor,1,,,
,,,"you are sharing the room with other people. You might feel better to leave it off as it, so we'll kick it. Kick started right now, first of all. Welcome everybody to our sap boot camp, and we'll all come to our people as they trickle in. But we'll just start off by now.",2023-02-10T16:02:41.340-08:00,2023-02-10T16:02:57.829-08:00,tutor,tutor,1,,,
