problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
492.0,,1.0,"Hi. Okay, that's what",2023-03-07T08:27:56.220-08:00,2023-03-07T08:27:58.140-08:00,tutor,tutor,1,,,
,,,well,2023-03-07T08:34:32.480-08:00,2023-03-07T08:34:33.820-08:00,tutor,tutor,1,,,
,,,"testing. Okay, it's working",2023-03-07T08:36:50.110-08:00,2023-03-07T08:36:52.380-08:00,tutor,tutor,1,,,
,,,"there, you know.",2023-03-07T08:37:24.580-08:00,2023-03-07T08:37:25.810-08:00,tutor,tutor,1,,,
,,,"Hi, Georgiana, Just let me know if you can hear me.",2023-03-07T08:37:28.560-08:00,2023-03-07T08:37:31.500-08:00,tutor,tutor,1,,,
,,,"Oh, your second.",2023-03-07T08:37:33.700-08:00,2023-03-07T08:37:36.000-08:00,student,student A,1,,,
,,,"Okay, I'll give you about like 1 min, so you can open your camera if that's fine to you, and then we can get to know each other better, because I I think this is like your first time in our sessions.",2023-03-07T08:37:37.260-08:00,2023-03-07T08:37:49.170-08:00,tutor,tutor,1,,,
,,,"I prefer not to look at my camera on. This is my first time, because when you have classes, this is what I'm: so i'm just thinking that we should bring chrome pain.",2023-03-07T08:37:49.660-08:00,2023-03-07T08:38:01.840-08:00,student,student A,1,,,
,,,You are thinking that we should bring what,2023-03-07T08:38:04.310-08:00,2023-03-07T08:38:06.820-08:00,tutor,tutor,1,,,
,,,"you know, I said like when you keep presses i'm in a different time zones and you's key to some it at school. I'm.",2023-03-07T08:38:07.620-08:00,2023-03-07T08:38:18.970-08:00,student,student A,1,,,
,,,"I'm sorry, Jordan, Where do you live? Can you just remind me?",2023-03-07T08:38:19.300-08:00,2023-03-07T08:38:23.140-08:00,tutor,tutor,1,,,
,,,It comes from the Caribbean Jamaica to the exact.,2023-03-07T08:38:23.820-08:00,2023-03-07T08:38:27.880-08:00,tutor,tutor,1,,,
,,,very nice to meet you.,2023-03-07T08:38:28.930-08:00,2023-03-07T08:38:30.410-08:00,tutor,tutor,1,,,
,,,And what about the camera? You said something about the camera.,2023-03-07T08:38:32.980-08:00,2023-03-07T08:38:37.050-08:00,tutor,tutor,1,,,
,,,"I prefer not to turn on my camera. That's fine. Okay, Jordan, since this is",2023-03-07T08:38:37.960-08:00,2023-03-07T08:38:46.270-08:00,tutor,tutor,1,,,
,,,"like your first session, I would like to, and your sat is like next Saturday. Am I correct",2023-03-07T08:38:46.420-08:00,2023-03-07T08:38:53.340-08:00,tutor,tutor,1,,,
,,,the this week? Can you tell me if you have like any topics or lessons that you need me to revise real quick.,2023-03-07T08:38:54.640-08:00,2023-03-07T08:39:06.710-08:00,student,student A,1,,,
,,,"because if you don't have any suggestions, we can go on and solve like a practice test before we we start revising. So tell me which option do you prefer",2023-03-07T08:39:13.310-08:00,2023-03-07T08:39:24.570-08:00,tutor,tutor,1,,,
,,,"the practice? This, please?",2023-03-07T08:39:25.190-08:00,2023-03-07T08:39:27.540-08:00,student,student A,1,,,
,,,All right. But first I forgot to introduce myself to you. My name is Moscow.,2023-03-07T08:39:28.120-08:00,2023-03-07T08:39:34.710-08:00,tutor,tutor,1,,,
,,,"I'm. I'm. I'm. Originally from Egypt, but i'm currently staying in Saudi Arabia in the Middle East. and I'm. A senior right now in the high school.",2023-03-07T08:39:34.770-08:00,2023-03-07T08:39:46.970-08:00,tutor,tutor,1,,,
,,,Same.,2023-03-07T08:39:51.320-08:00,2023-03-07T08:39:52.200-08:00,student,student A,1,,,
,,,"All right? That's great. Okay, Jordan, Are you familiar with the schoolhouse platform on what exactly happens there? Or should I share my screen and show you",2023-03-07T08:39:53.330-08:00,2023-03-07T08:40:03.890-08:00,tutor,tutor,1,,,
,,,That's how many.,2023-03-07T08:40:04.450-08:00,2023-03-07T08:40:06.920-08:00,student,student A,1,,,
,,,Okay. So i'd like you to go to the assessments tab on your schoolhouse page,2023-03-07T08:40:07.310-08:00,2023-03-07T08:40:14.270-08:00,student,student A,1,,,
,,,and you can.,2023-03-07T08:40:14.370-08:00,2023-03-07T08:40:16.730-08:00,tutor,tutor,1,,,
,,,You can scroll down to the last the last practice test,2023-03-07T08:40:16.800-08:00,2023-03-07T08:40:21.730-08:00,student,student A,1,,,
,,,practice. Test B 3. Tell me if you can find that.,2023-03-07T08:40:22.780-08:00,2023-03-07T08:40:28.460-08:00,student,student A,1,,,
,,,"But okay, I would go. But I've got a party.",2023-03-07T08:40:29.740-08:00,2023-03-07T08:40:36.360-08:00,student,student A,1,,,
,,,"Yeah, all right. So i'm gonna give you like 30 min. You can solve the practice test, and if there's anything you know confusing or anything that's difficult, you can just open your mic and tell me or you can message me on the channel. Right?",2023-03-07T08:40:37.040-08:00,2023-03-07T08:40:54.270-08:00,tutor,tutor,1,,,
,,,Okay.,2023-03-07T08:40:54.670-08:00,2023-03-07T08:40:55.560-08:00,student,student A,1,,,
,,,All right. You can start solving right now and then. We meet in 30 min. All right.,2023-03-07T08:40:56.140-08:00,2023-03-07T08:41:02.060-08:00,tutor,tutor,1,,,
,,,I'm sorry for what were you saying?,2023-03-07T09:02:55.290-08:00,2023-03-07T09:02:57.930-08:00,tutor,tutor,1,,,
,,,"Okay, you're done. That's",2023-03-07T09:03:00.290-08:00,2023-03-07T09:03:04.290-08:00,student,student A,1,,,
,,,and how what she used to say to her she might say a step. Why is your eyes?,2023-03-07T09:03:07.170-08:00,2023-03-07T09:03:13.730-08:00,student,student A,1,,,
,,,Did you submit your answers?,2023-03-07T09:03:13.780-08:00,2023-03-07T09:03:16.140-08:00,tutor,tutor,1,,,
,,,I believe that.,2023-03-07T09:03:23.820-08:00,2023-03-07T09:03:25.200-08:00,student,student A,1,,,
,,,And she died.,2023-03-07T09:03:26.370-08:00,2023-03-07T09:03:27.620-08:00,student,student A,1,,,
,,,"No, I just I didn't tell anyone this",2023-03-07T09:03:32.420-08:00,2023-03-07T09:03:35.310-08:00,student,student A,1,,,
,,,"so, Jordan, in the meantime, tell me, how was the test? Was it hard or easy?",2023-03-07T09:03:35.330-08:00,2023-03-07T09:03:47.260-08:00,student,student A,1,,,
,,,I understand it?,2023-03-07T09:03:47.300-08:00,2023-03-07T09:03:49.590-08:00,student,student A,1,,,
,,,"Oh, I don't understand.",2023-03-07T09:03:49.750-08:00,2023-03-07T09:03:51.710-08:00,student,student A,1,,,
,,,"Honey speaks it. Okay, all right. Well, let me tell you that actually nobody likes math, even I don't like.",2023-03-07T09:03:51.820-08:00,2023-03-07T09:04:03.610-08:00,student,student A,1,,,
,,,And what happened,2023-03-07T09:04:05.030-08:00,2023-03-07T09:04:06.700-08:00,tutor,tutor,1,,,
,,,"what happened is that I kept on changing much teachers, and they they know everything to teach different. So when I do it this way, they won't do it that way, because that I got confused. I'm sure they hate to. Not that",2023-03-07T09:04:07.440-08:00,2023-03-07T09:04:23.620-08:00,student,student A,1,,,
