problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
492.0,,1.0,"Okay, hey? All.",2023-03-08T17:16:23.660-08:00,2023-03-08T17:16:25.500-08:00,tutor,tutor,1,,,
,,,I guess they may just be a smaller group. That is totally okay. I think i'm gonna wait to do like the welcome sliding question in case more people come in like the next like 5 min or so.,2023-03-08T17:16:26.150-08:00,2023-03-08T17:16:36.410-08:00,tutor,tutor,1,,,
,,,So we're actually just gonna go ahead and get started. The way today is going to work is we're going to do our last practice test because this is our last session together.,2023-03-08T17:16:36.580-08:00,2023-03-08T17:16:44.720-08:00,tutor,tutor,1,,,
,,,"So we're gonna do our last practice test, and we're gonna go over it. And then we're just gonna do some like general last minute tips for test day check in on how you're feeling about the upcoming test.",2023-03-08T17:16:44.960-08:00,2023-03-08T17:16:55.860-08:00,tutor,tutor,1,,,
,,,So i'm going to go ahead and screen share a timer.,2023-03-08T17:16:56.190-08:00,2023-03-08T17:17:00.960-08:00,tutor,tutor,1,,,
,,,Need a second to open the timer.,2023-03-08T17:17:02.890-08:00,2023-03-08T17:17:04.380-08:00,tutor,tutor,1,,,
,,,and then we're gonna get started with that.,2023-03-08T17:17:05.930-08:00,2023-03-08T17:17:08.340-08:00,tutor,tutor,1,,,
,,,All right. I'm gonna go ahead and hit start on the timer.,2023-03-08T17:17:22.370-08:00,2023-03-08T17:17:26.040-08:00,tutor,tutor,1,,,
,,,And this is test B 3. I believe i'll send the Pdf. And the chat in just a second.,2023-03-08T17:17:26.070-08:00,2023-03-08T17:17:31.500-08:00,tutor,tutor,1,,,
,,,"All right, that's time. Go ahead and come back.",2023-03-08T17:42:36.930-08:00,2023-03-08T17:42:40.560-08:00,tutor,tutor,1,,,
,,,and if you'll all send me in the chat which questions you want me to go over.,2023-03-08T17:42:45.020-08:00,2023-03-08T17:42:51.090-08:00,tutor,tutor,1,,,
,,,"We're not going to do all of them, but which everyone's you want to look at just in the numbers.",2023-03-08T17:42:51.480-08:00,2023-03-08T17:42:56.660-08:00,tutor,tutor,1,,,
,,,all right. Seems like we have someone to start with.,2023-03-08T17:43:26.220-08:00,2023-03-08T17:43:31.710-08:00,tutor,tutor,1,,,
,23.0,1.0,hey? The first one we're going to go over is number 23,2023-03-08T17:43:43.150-08:00,2023-03-08T17:43:48.120-08:00,tutor,tutor,2,,23.0,
,,,Okay.,2023-03-08T17:43:53.620-08:00,2023-03-08T17:43:54.390-08:00,tutor,tutor,2,,23.0,
,,,"Some values of X and their corresponding values of Y are shown in the table above, where a is a constant. if there is a linear relationship between X and Y, which of the following equations represents the relationship.",2023-03-08T17:43:54.590-08:00,2023-03-08T17:44:08.420-08:00,tutor,tutor,2,,23.0,
,,,Okay.,2023-03-08T17:44:08.670-08:00,2023-03-08T17:44:09.520-08:00,tutor,tutor,2,,23.0,
,,,So for this one a is a constant which means it can be any number so long as it's the same number every time.,2023-03-08T17:44:09.580-08:00,2023-03-08T17:44:16.930-08:00,tutor,tutor,2,,23.0,
,,,and it's a linear relationship which means it follows the form Y equals mx plus b.,2023-03-08T17:44:17.100-08:00,2023-03-08T17:44:23.180-08:00,tutor,tutor,2,,23.0,
,,,So the first step I would take for this one would be to put each of the questions in that form.,2023-03-08T17:44:23.400-08:00,2023-03-08T17:44:30.070-08:00,tutor,tutor,2,,23.0,
,,,so I would do,2023-03-08T17:44:31.150-08:00,2023-03-08T17:44:33.340-08:00,tutor,tutor,2,,23.0,
,,,2 y equals,2023-03-08T17:44:34.470-08:00,2023-03-08T17:44:37.330-08:00,tutor,tutor,2,,23.0,
,,,negative x,2023-03-08T17:44:38.590-08:00,2023-03-08T17:44:40.310-08:00,tutor,tutor,2,,23.0,
,,,plus a.,2023-03-08T17:44:40.500-08:00,2023-03-08T17:44:42.340-08:00,tutor,tutor,2,,23.0,
,,,and then divide both sides by 2 to have negative.,2023-03-08T17:44:42.790-08:00,2023-03-08T17:44:48.650-08:00,tutor,tutor,2,,23.0,
,,,Y equals negative x over 2,2023-03-08T17:44:50.420-08:00,2023-03-08T17:44:54.580-08:00,tutor,tutor,2,,23.0,
,,,"plus a over 2,",2023-03-08T17:44:54.800-08:00,2023-03-08T17:44:56.320-08:00,tutor,tutor,2,,23.0,
,,,and then for the second equation.,2023-03-08T17:44:59.590-08:00,2023-03-08T17:45:01.750-08:00,tutor,tutor,2,,23.0,
,,,"sort of the same thing, subject from both sides, and divide by 2 to get y equals negative x over 2",2023-03-08T17:45:01.820-08:00,2023-03-08T17:45:09.000-08:00,tutor,tutor,2,,23.0,
,,,plus,2023-03-08T17:45:09.190-08:00,2023-03-08T17:45:10.370-08:00,tutor,tutor,2,,23.0,
,,,5 a over 2,2023-03-08T17:45:10.880-08:00,2023-03-08T17:45:13.699-08:00,tutor,tutor,2,,23.0,
,,,same thing for this one.,2023-03-08T17:45:15.230-08:00,2023-03-08T17:45:17.230-08:00,tutor,tutor,2,,23.0,
,,,Y equals this i'm gonna,2023-03-08T17:45:18.360-08:00,2023-03-08T17:45:21.449-08:00,tutor,tutor,2,,23.0,
,,,make sure the signs match do y equals,2023-03-08T17:45:21.900-08:00,2023-03-08T17:45:25.150-08:00,tutor,tutor,2,,23.0,
,,,2 x,2023-03-08T17:45:26.280-08:00,2023-03-08T17:45:28.060-08:00,tutor,tutor,2,,23.0,
,,,plus 5 a.,2023-03-08T17:45:28.250-08:00,2023-03-08T17:45:30.260-08:00,tutor,tutor,2,,23.0,
,,,and the last one would be,2023-03-08T17:45:33.150-08:00,2023-03-08T17:45:35.070-08:00,tutor,tutor,2,,23.0,
,,,y equals 2 x minus,2023-03-08T17:45:35.300-08:00,2023-03-08T17:45:39.280-08:00,tutor,tutor,2,,23.0,
,,,"7, a",2023-03-08T17:45:39.510-08:00,2023-03-08T17:45:40.699-08:00,tutor,tutor,2,,23.0,
,,,"All right. So, looking at each of these i'm just gonna start plugging in the values of X and Y that we have. So, looking at the first one where we have",2023-03-08T17:45:41.230-08:00,2023-03-08T17:45:49.270-08:00,tutor,tutor,2,,23.0,
,,,"a and 0. So when we plug in a for x, let's look first at this equation.",2023-03-08T17:45:49.449-08:00,2023-03-08T17:45:55.410-08:00,tutor,tutor,2,,23.0,
,,,we would have negative,2023-03-08T17:45:55.570-08:00,2023-03-08T17:45:57.980-08:00,tutor,tutor,2,,23.0,
,,,"a over 2, plus a over 2,",2023-03-08T17:45:58.040-08:00,2023-03-08T17:46:01.680-08:00,tutor,tutor,2,,23.0,
,,,"which gives us 0. So we're not going to cross out this one yet. Looking at this one. we would have negative a over 2, plus 5 a over 2 which does not equal 0.",2023-03-08T17:46:04.320-08:00,2023-03-08T17:46:16.740-08:00,tutor,tutor,2,,23.0,
,,,So i'm going to go ahead and cross out B,2023-03-08T17:46:16.790-08:00,2023-03-08T17:46:20.850-08:00,tutor,tutor,2,,23.0,
