problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
491.0,,1.0,"Welcome, Gabriel.",2023-03-04T06:56:38.100-08:00,2023-03-04T06:56:39.470-08:00,tutor,tutor,1,,,
,,,"are you, Darren?",2023-03-04T06:56:42.400-08:00,2023-03-04T06:56:43.330-08:00,tutor,tutor,1,,,
,,,Good! How are you?,2023-03-04T06:56:45.080-08:00,2023-03-04T06:56:46.200-08:00,student,student A,1,,,
,,,I'm doing great doing? Great!,2023-03-04T06:56:46.870-08:00,2023-03-04T06:56:49.060-08:00,tutor,tutor,1,,,
,,,How is the how is the Grand Canyon?,2023-03-04T06:56:54.940-08:00,2023-03-04T06:56:56.970-08:00,tutor,tutor,1,,,
,,,"It was actually really nice, but it started snowing.",2023-03-04T06:56:58.910-08:00,2023-03-04T06:57:03.360-08:00,student,student A,1,,,
,,,"which was crazy. So by the end of the trip, like we could barely see anything. But it was still nice.",2023-03-04T06:57:03.380-08:00,2023-03-04T06:57:10.580-08:00,student,student A,1,,,
,,,That must have been a cool experience. I've always. I've always wanted to see,2023-03-04T06:57:12.110-08:00,2023-03-04T06:57:15.750-08:00,tutor,tutor,1,,,
,,,"to see the Grand Canyon. Maybe some day, maybe some day.",2023-03-04T06:57:15.850-08:00,2023-03-04T06:57:19.680-08:00,tutor,tutor,1,,,
,,,"How you doing, Augustine.",2023-03-04T06:57:19.740-08:00,2023-03-04T06:57:21.160-08:00,tutor,tutor,1,,,
,,,I'm doing good.,2023-03-04T06:57:22.510-08:00,2023-03-04T06:57:23.540-08:00,student,student B,1,,,
,,,all right. We'll give everybody a few more minutes.,2023-03-04T06:57:33.670-08:00,2023-03-04T06:57:36.460-08:00,tutor,tutor,1,,,
,,,"Hey, [STUDENT_5], how are you doing?",2023-03-04T06:57:57.000-08:00,2023-03-04T06:57:58.400-08:00,tutor,tutor,1,,,
,,,Yeah.,2023-03-04T06:57:58.850-08:00,2023-03-04T06:57:59.430-08:00,tutor,tutor,1,,,
,,,Thanks for asking.,2023-03-04T06:58:01.690-08:00,2023-03-04T06:58:02.870-08:00,tutor,tutor,1,,,
,,,Do we have anything exciting plant in this next week.,2023-03-04T06:59:04.900-08:00,2023-03-04T06:59:08.110-08:00,tutor,tutor,1,,,
,,,Not really.,2023-03-04T06:59:13.210-08:00,2023-03-04T06:59:14.520-08:00,student,student C,1,,,
,,,It's mostly just school.,2023-03-04T06:59:14.910-08:00,2023-03-04T06:59:16.510-08:00,student,student C,1,,,
,,,Yeah.,2023-03-04T06:59:17.450-08:00,2023-03-04T06:59:18.300-08:00,tutor,tutor,1,,,
,,,yeah.,2023-03-04T06:59:18.630-08:00,2023-03-04T06:59:20.020-08:00,tutor,tutor,1,,,
,,,"If I remember correctly, I think I have my",2023-03-04T06:59:20.620-08:00,2023-03-04T06:59:23.800-08:00,student,student C,1,,,
,,,"My, I said something next week. is it next week?",2023-03-04T06:59:23.830-08:00,2023-03-04T06:59:28.020-08:00,student,student C,1,,,
,,,So I I was gonna,2023-03-04T06:59:28.410-08:00,2023-03-04T06:59:30.550-08:00,tutor,tutor,1,,,
,,,We have our Our last session is scheduled.,2023-03-04T06:59:32.630-08:00,2023-03-04T06:59:36.430-08:00,tutor,tutor,1,,,
,,,Our last session is scheduled for Saturday.,2023-03-04T06:59:37.060-08:00,2023-03-04T06:59:39.960-08:00,tutor,tutor,1,,,
,,,"not like next week, but I think",2023-03-04T06:59:40.960-08:00,2023-03-04T06:59:43.900-08:00,tutor,tutor,1,,,
,,,I think some people have.,2023-03-04T06:59:47.960-08:00,2023-03-04T06:59:49.610-08:00,tutor,tutor,1,,,
,,,"Oh, no. The last session is is Wednesday. Okay? Then we'll try to move that up.",2023-03-04T06:59:51.260-08:00,2023-03-04T06:59:57.520-08:00,tutor,tutor,1,,,
,,,"We're trying to move that up to Thursday, because I will. As I said previously, I will be.",2023-03-04T06:59:58.980-08:00,2023-03-04T07:00:05.880-08:00,tutor,tutor,1,,,
,,,I will be gone. But,2023-03-04T07:00:05.899-08:00,2023-03-04T07:00:08.810-08:00,tutor,tutor,1,,,
,,,how are you guys feeling? How are you all feeling about,2023-03-04T07:00:09.540-08:00,2023-03-04T07:00:12.950-08:00,tutor,tutor,1,,,
,,,about.,2023-03-04T07:00:14.040-08:00,2023-03-04T07:00:15.920-08:00,tutor,tutor,1,,,
,,,Are you guys feeling about that?,2023-03-04T07:00:19.870-08:00,2023-03-04T07:00:21.860-08:00,tutor,tutor,1,,,
,,,"Oh. decent, I guess.",2023-03-04T07:00:23.940-08:00,2023-03-04T07:00:27.070-08:00,student,student C,1,,,
,,,Yeah. Anybody else. Anybody else have any feelings about,2023-03-04T07:00:31.380-08:00,2023-03-04T07:00:35.740-08:00,tutor,tutor,1,,,
,,,about what's what's happening.,2023-03-04T07:00:37.270-08:00,2023-03-04T07:00:39.580-08:00,tutor,tutor,1,,,
,,,I'm feeling pretty good about it so far,2023-03-04T07:00:40.990-08:00,2023-03-04T07:00:43.690-08:00,student,student A,1,,,
,,,awesome.,2023-03-04T07:00:44.500-08:00,2023-03-04T07:00:45.420-08:00,tutor,tutor,1,,,
,,,awesome. How how many of you guys have been taking,2023-03-04T07:00:45.570-08:00,2023-03-04T07:00:49.410-08:00,tutor,tutor,1,,,
,,,the reading and writing section as well?,2023-03-04T07:00:50.610-08:00,2023-03-04T07:00:53.470-08:00,tutor,tutor,1,,,
,,,Has anybody else been taking,2023-03-04T07:01:00.170-08:00,2023-03-04T07:01:02.780-08:00,tutor,tutor,1,,,
,,,"[STUDENT_8], I welcome to you. Welcome, Lori!",2023-03-04T07:01:03.620-08:00,2023-03-04T07:01:06.440-08:00,tutor,tutor,1,,,
,,,Welcome to Menu! All are you doing? Are you guys doing,2023-03-04T07:01:09.140-08:00,2023-03-04T07:01:12.430-08:00,tutor,tutor,1,,,
,,,so? We're just. We're just talking a bit about how our who is feeling for the sat. I think a lot of you guys have it scheduled next week.,2023-03-04T07:01:13.740-08:00,2023-03-04T07:01:21.890-08:00,tutor,tutor,1,,,
,,,"So anybody have any thoughts, any anything i'd like to share about how",2023-03-04T07:01:21.920-08:00,2023-03-04T07:01:26.810-08:00,tutor,tutor,1,,,
,,,"how you think you're feeling, and how",2023-03-04T07:01:27.010-08:00,2023-03-04T07:01:29.870-08:00,tutor,tutor,1,,,
,,,and how you you're feeling with the boot camp.,2023-03-04T07:01:33.060-08:00,2023-03-04T07:01:36.070-08:00,tutor,tutor,1,,,
,,,"And about that I know, Gabriel. But the truth, feeling. Excuse me feeling pretty pretty well about it, [STUDENT_5] said. Well, you're feeling all right. Does anybody else have?",2023-03-04T07:01:36.130-08:00,2023-03-04T07:01:48.040-08:00,tutor,tutor,1,,,
,,,What would anybody else like to share,2023-03-04T07:01:48.370-08:00,2023-03-04T07:01:51.890-08:00,tutor,tutor,1,,,
,,,anybody else like to share a bit about how they,2023-03-04T07:01:52.010-08:00,2023-03-04T07:01:57.250-08:00,student,student D,1,,,
,,,"and I actually i'm proved in math. I felt like, but it was very fast to the test.",2023-03-04T07:01:57.260-08:00,2023-03-04T07:02:02.640-08:00,student,student D,1,,,
,,,and I think it's cutting out anybody else here,2023-03-04T07:02:09.170-08:00,2023-03-04T07:02:11.810-08:00,tutor,tutor,1,,,
,,,"that oh, no, it's my Internet. Connection. Okay, All right. Can you guys hear me?",2023-03-04T07:02:13.030-08:00,2023-03-04T07:02:19.220-08:00,tutor,tutor,1,,,
,,,Yeah.,2023-03-04T07:02:20.410-08:00,2023-03-04T07:02:22.140-08:00,student,student C,1,,,
,,,"Okay, Everybody can hear me, all right. Okay, I had. My Internet connection was was was cutting out there. And would you mind repeating that again? I actually didn't hear which you said my bad. My connection was cutting out.",2023-03-04T07:02:22.870-08:00,2023-03-04T07:02:34.480-08:00,tutor,tutor,1,,,
,,,"I took the sat last week, and I felt like I improved in the math part, but for the reading part. It was very fast, and",2023-03-04T07:02:34.710-08:00,2023-03-04T07:02:41.320-08:00,student,student D,1,,,
,,,I feel like it Didn't have the time to like. Read through the questions and the paragraphs. It's just very,2023-03-04T07:02:41.400-08:00,2023-03-04T07:02:48.130-08:00,student,student D,1,,,
,,,"Okay, are you?",2023-03-04T07:02:48.590-08:00,2023-03-04T07:02:51.180-08:00,tutor,tutor,1,,,
,,,Lori? Says she's fully more prepared because the SDK Prep. That's awesome. I'm really really happy to hear that that this could be a benefit,2023-03-04T07:02:51.550-08:00,2023-03-04T07:02:59.460-08:00,tutor,tutor,1,,,
,,,welcome.,2023-03-04T07:02:59.510-08:00,2023-03-04T07:03:00.780-08:00,tutor,tutor,1,,,
,,,"[STUDENT_9]. I think I'm going to just join. Yeah, welcome, [STUDENT_9] [STUDENT_8]. Are you taking a reading and writing boot camp as well, in addition to your",2023-03-04T07:03:00.910-08:00,2023-03-04T07:03:10.280-08:00,tutor,tutor,1,,,
,,,and in addition to this math one,2023-03-04T07:03:10.660-08:00,2023-03-04T07:03:12.490-08:00,tutor,tutor,1,,,
,,,"No, I'm. Only checking math.",2023-03-04T07:03:12.810-08:00,2023-03-04T07:03:14.500-08:00,student,student D,1,,,
,,,"Okay, okay. Interesting. If anybody else. You're taking",2023-03-04T07:03:14.740-08:00,2023-03-04T07:03:18.820-08:00,tutor,tutor,1,,,
,,,both the reading and writing and the Math,2023-03-04T07:03:19.710-08:00,2023-03-04T07:03:24.470-08:00,tutor,tutor,1,,,
,,,Lori. [STUDENT_2] says she's taking calls.,2023-03-04T07:03:30.400-08:00,2023-03-04T07:03:34.040-08:00,student,student E,1,,,
,,,"Okay, Awesome.",2023-03-04T07:03:34.650-08:00,2023-03-04T07:03:36.890-08:00,tutor,tutor,1,,,
,,,"Okay, I I was just curious, because i'm thinking I was thinking about maybe next time trying to to through the reading and writing what I've done the map. This is the second time I've done the Mac one",2023-03-04T07:03:37.400-08:00,2023-03-04T07:03:48.580-08:00,tutor,tutor,1,,,
,,,and I I did.,2023-03-04T07:03:48.760-08:00,2023-03-04T07:03:50.040-08:00,tutor,tutor,1,,,
,,,"I I I scored the same. I've been both the reading and writing and the math section, but i'm like I like math more than I do reading and writing, so that's why I've been doing the math one. But i'm I've been thinking about maybe trying to do reading and writing",2023-03-04T07:03:50.310-08:00,2023-03-04T07:04:03.580-08:00,tutor,tutor,1,,,
,,,"those just curious to to you guys, Are you guys, it's not on it. If if you were doing both",2023-03-04T07:04:04.120-08:00,2023-03-04T07:04:08.510-08:00,tutor,tutor,1,,,
,,,All right. Okay. So,2023-03-04T07:04:10.230-08:00,2023-03-04T07:04:12.850-08:00,tutor,tutor,1,,,
,,,let's see for the agenda today,2023-03-04T07:04:13.820-08:00,2023-03-04T07:04:16.480-08:00,tutor,tutor,1,,,
,,,we are going to.,2023-03-04T07:04:16.520-08:00,2023-03-04T07:04:18.480-08:00,tutor,tutor,1,,,
,,,We're gonna take the practice test the the B 2 practice test to be the next next practice test that that we have to do.,2023-03-04T07:04:19.890-08:00,2023-03-04T07:04:28.590-08:00,tutor,tutor,1,,,
,,,I'm going to share the link with everybody and the chat,2023-03-04T07:04:28.750-08:00,2023-03-04T07:04:31.610-08:00,tutor,tutor,1,,,
,,,"and go click there, I you should be able to click there. I hope sometimes it blocks people out. This will be the second to last practice test practices. B 2. It is a calculator practice test. So go grab that if you have not",2023-03-04T07:04:31.840-08:00,2023-03-04T07:04:45.790-08:00,tutor,tutor,1,,,
,,,"well, if you don't, have it already.",2023-03-04T07:04:46.090-08:00,2023-03-04T07:04:48.330-08:00,tutor,tutor,1,,,
,,,"and if you need it sometimes, usually when they let you have a practice test.",2023-03-04T07:04:48.600-08:00,2023-03-04T07:04:55.010-08:00,tutor,tutor,1,,,
