problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
490.0,,1.0,"Hey, everyone! We'll wait just a few more minutes for some more people to join, and then we can get",2023-03-01T13:30:43.950-08:00,2023-03-01T13:30:49.710-08:00,tutor,tutor,1,,,
,,,"okay, just maybe one more minute, and then we can start it.",2023-03-01T13:31:52.700-08:00,2023-03-01T13:31:56.540-08:00,tutor,tutor,1,,,
,,,"Okay, I think we get started now.",2023-03-01T13:32:22.770-08:00,2023-03-01T13:32:25.040-08:00,tutor,tutor,1,,,
,,,"Today is already the second day of week, 3, and today's topic will be overcoming obstacles.",2023-03-01T13:32:34.100-08:00,2023-03-01T13:32:41.800-08:00,tutor,tutor,1,,,
,,,"The welcome question for today is, what was the big challenge you faced.",2023-03-01T13:32:43.350-08:00,2023-03-01T13:32:48.580-08:00,tutor,tutor,1,,,
,,,"and how did you overcome it? This can be sat related, and it doesn't have to be either. Can we just related to anything.",2023-03-01T13:32:48.750-08:00,2023-03-01T13:32:57.790-08:00,tutor,tutor,1,,,
,,,"I think, for me? One big challenge was timing on Sat. I was always finishing with like",2023-03-01T13:32:58.220-08:00,2023-03-01T13:33:04.740-08:00,tutor,tutor,1,,,
,,,a few problems that I couldn't do in the amount of time,2023-03-01T13:33:04.950-08:00,2023-03-01T13:33:11.200-08:00,tutor,tutor,1,,,
,,,I should have.,2023-03-01T13:33:11.400-08:00,2023-03-01T13:33:12.530-08:00,tutor,tutor,1,,,
,,,so I overcame it by just taking a bunch of practice tests and,2023-03-01T13:33:13.200-08:00,2023-03-01T13:33:18.640-08:00,tutor,tutor,1,,,
,,,practicing the questions that I was taking a bit more time on,2023-03-01T13:33:19.060-08:00,2023-03-01T13:33:23.990-08:00,tutor,tutor,1,,,
,,,to be able to do them like fluently. And just look at the problem and be able to solve it.,2023-03-01T13:33:24.120-08:00,2023-03-01T13:33:30.140-08:00,tutor,tutor,1,,,
,,,You can either come off mute or,2023-03-01T13:33:39.810-08:00,2023-03-01T13:33:42.890-08:00,tutor,tutor,1,,,
,,,type it in the chat if you want to share.,2023-03-01T13:33:43.050-08:00,2023-03-01T13:33:45.690-08:00,tutor,tutor,1,,,
,,,we can move on,2023-03-01T13:34:03.850-08:00,2023-03-01T13:34:05.620-08:00,tutor,tutor,1,,,
,,,so for the curriculum. Today we're taking another practice test.,2023-03-01T13:34:13.470-08:00,2023-03-01T13:34:17.670-08:00,tutor,tutor,1,,,
,,,"This is our second full practice test, and we've been like breaking them down",2023-03-01T13:34:17.880-08:00,2023-03-01T13:34:22.680-08:00,tutor,tutor,1,,,
,,,"for today we're doing review, test B. One no calculator. and then we'll review the test and then have to target it. Group practice in the end. This is a bit different from our other sessions when we have targeted group practice first.",2023-03-01T13:34:22.920-08:00,2023-03-01T13:34:37.110-08:00,tutor,tutor,1,,,
,,,But that's what we'll be doing today.,2023-03-01T13:34:37.230-08:00,2023-03-01T13:34:40.220-08:00,tutor,tutor,1,,,
,,,and that is the end of our orientation.,2023-03-01T13:34:43.480-08:00,2023-03-01T13:34:47.040-08:00,tutor,tutor,1,,,
,,,So if everyone can go into the schoolhouse website and pull up the,2023-03-01T13:34:47.270-08:00,2023-03-01T13:34:52.970-08:00,tutor,tutor,1,,,
,,,"assessment in the assistant tab. I think I made it available. It should be called practice Test B one, and then parentheses no calculator.",2023-03-01T13:34:53.960-08:00,2023-03-01T13:35:03.360-08:00,tutor,tutor,1,,,
