problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
491.0,,1.0,"Hi, everyone! I hope you're all doing well. Sorry. I'm running a little little bit late. My",2023-03-03T16:58:56.830-08:00,2023-03-03T16:59:03.390-08:00,tutor,tutor,1,,,
,,,"bus was slow to come back, but",2023-03-03T16:59:03.470-08:00,2023-03-03T16:59:07.160-08:00,tutor,tutor,1,,,
,,,"that will start in about a minute or so. Hopefully, a few more people will join.",2023-03-03T16:59:07.660-08:00,2023-03-03T16:59:12.500-08:00,tutor,tutor,1,,,
,,,Okay.,2023-03-03T16:59:20.520-08:00,2023-03-03T16:59:21.110-08:00,tutor,tutor,1,,,
,,,"all right. Well, it's it's all right now, so I guess i'll get started",2023-03-03T17:00:03.430-08:00,2023-03-03T17:00:08.660-08:00,tutor,tutor,1,,,
,,,just with the opening slides as usual.,2023-03-03T17:00:10.770-08:00,2023-03-03T17:00:13.880-08:00,tutor,tutor,1,,,
,,,"So yeah, hopefully, you can see my screen. But this is our fourth and final week together. And day one obviously",2023-03-03T17:00:17.020-08:00,2023-03-03T17:00:25.460-08:00,tutor,tutor,1,,,
,,,"so. Today our welcome question is, what is the subject or topic that deeply interests you, so.",2023-03-03T17:00:25.880-08:00,2023-03-03T17:00:32.530-08:00,tutor,tutor,1,,,
,,,"as always, you know, feel free to share your answer to everyone, or maybe type in the chat. Whatever is more comfortable for you.",2023-03-03T17:00:32.660-08:00,2023-03-03T17:00:42.260-08:00,tutor,tutor,1,,,
,,,I can start so for me.,2023-03-03T17:00:42.690-08:00,2023-03-03T17:00:47.560-08:00,tutor,tutor,1,,,
,,,i'm really interested in synthetic biology. And,2023-03-03T17:00:47.720-08:00,2023-03-03T17:00:51.580-08:00,tutor,tutor,1,,,
,,,"yeah, I find it really interesting because it's a it's the opportunity to really apply some of those principles engineering to",2023-03-03T17:00:51.770-08:00,2023-03-03T17:01:01.830-08:00,tutor,tutor,1,,,
,,,"the biological sciences. And we've seen a lot of great advances in recent years, particularly with Crispr. But we can go back to like the 1970 S. With discovery, restriction, enzymes",2023-03-03T17:01:01.980-08:00,2023-03-03T17:01:17.120-08:00,tutor,tutor,1,,,
,,,"all the way, you know, through to the present day.",2023-03-03T17:01:17.560-08:00,2023-03-03T17:01:21.950-08:00,tutor,tutor,1,,,
,,,"And yeah, I think it's a field with a lot of potential for the future.",2023-03-03T17:01:22.050-08:00,2023-03-03T17:01:28.260-08:00,tutor,tutor,1,,,
,,,I think I can only imagine what it was like to grow up during the digital revolution. I think we're undergoing something very similar in,2023-03-03T17:01:28.830-08:00,2023-03-03T17:01:36.630-08:00,tutor,tutor,1,,,
,,,"the biological sciences, so",2023-03-03T17:01:36.900-08:00,2023-03-03T17:01:39.840-08:00,tutor,tutor,1,,,
,,,does anyone.,2023-03-03T17:01:40.360-08:00,2023-03-03T17:01:41.590-08:00,tutor,tutor,1,,,
,,,I also want to share something that interests you doesn't have to be as serious as that. But,2023-03-03T17:01:41.720-08:00,2023-03-03T17:01:48.820-08:00,tutor,tutor,1,,,
,,,you know.,2023-03-03T17:01:48.910-08:00,2023-03-03T17:01:49.700-08:00,tutor,tutor,1,,,
,,,"yeah, [STUDENT_7] says, finds physics interesting on the way, how this stuff, how the world works and stuff? Yeah, yeah, physics is very interesting.",2023-03-03T17:01:52.520-08:00,2023-03-03T17:02:01.630-08:00,tutor,tutor,1,,,
,,,"Yeah, I I I",2023-03-03T17:02:03.630-08:00,2023-03-03T17:02:06.410-08:00,tutor,tutor,1,,,
,,,"Oh, yeah, Mini says planetary exploration. Yeah, I think those are very interconnected",2023-03-03T17:02:06.520-08:00,2023-03-03T17:02:11.940-08:00,tutor,tutor,1,,,
,,,"definitely. you know, if if those are things that interest you.",2023-03-03T17:02:13.800-08:00,2023-03-03T17:02:17.580-08:00,tutor,tutor,1,,,
,,,"i'm sure if if you end up going to college, or maybe sometime in the future. You know profession you'll they'll have a chance to explore that stuff.",2023-03-03T17:02:17.940-08:00,2023-03-03T17:02:27.430-08:00,tutor,tutor,1,,,
,,,Yeah.,2023-03-03T17:02:29.770-08:00,2023-03-03T17:02:30.520-08:00,tutor,tutor,1,,,
,,,Allen says history. I feel there's a lot of things we have to still find in this world that we have. They Haven't told us. Yeah.,2023-03-03T17:02:41.100-08:00,2023-03-03T17:02:49.750-08:00,tutor,tutor,1,,,
,,,"Yeah, history is very important. It's important to know",2023-03-03T17:02:50.390-08:00,2023-03-03T17:02:53.840-08:00,tutor,tutor,1,,,
,,,"how society works, and you know society is structured based on",2023-03-03T17:02:54.520-08:00,2023-03-03T17:03:00.310-08:00,tutor,tutor,1,,,
,,,past systems. So,2023-03-03T17:03:00.720-08:00,2023-03-03T17:03:04.640-08:00,tutor,tutor,1,,,
,,,"yeah, history is crucial to understand, like where we are today and how we came to this point.",2023-03-03T17:03:04.720-08:00,2023-03-03T17:03:10.570-08:00,tutor,tutor,1,,,
,,,"Yeah, these are all great great answers.",2023-03-03T17:03:13.460-08:00,2023-03-03T17:03:15.830-08:00,tutor,tutor,1,,,
,,,and I I also think. just as a general,2023-03-03T17:03:19.410-08:00,2023-03-03T17:03:23.840-08:00,tutor,tutor,1,,,
,,,"thought in the future, you know, when you guys are deciding what's what maybe you want to do",2023-03-03T17:03:25.400-08:00,2023-03-03T17:03:32.180-08:00,tutor,tutor,1,,,
,,,"as a profession or something like that, you know, if you're not entirely sure coming back to these kind of questions where it's like, what what makes me excited? What makes me want to",2023-03-03T17:03:32.200-08:00,2023-03-03T17:03:44.580-08:00,tutor,tutor,1,,,
,,,keep learning? You know those are good driving questions.,2023-03-03T17:03:44.720-08:00,2023-03-03T17:03:50.440-08:00,tutor,tutor,1,,,
,,,"I think, if you're ever struggling like, I don't know what I want to do in the future, you know. Try to think of what what gives me joy, what makes me",2023-03-03T17:03:50.510-08:00,2023-03-03T17:04:00.450-08:00,tutor,tutor,1,,,
,,,"excited to wake up in the morning, and I think that will really help you.",2023-03-03T17:04:00.480-08:00,2023-03-03T17:04:03.860-08:00,tutor,tutor,1,,,
,,,"Yeah, Lot of diverse interests as usual. So that's great to hear.",2023-03-03T17:04:05.430-08:00,2023-03-03T17:04:10.130-08:00,tutor,tutor,1,,,
,,,"Then the other thing I wanted to talk to you about today is tutoring on schoolhouse. So i'm a 2 year old schoolhouse, obviously, and I would encourage you guys, if you have particularly deep knowledge in a specific area. So whether that's history, whether it's physics, whether that's",2023-03-03T17:04:11.950-08:00,2023-03-03T17:04:29.990-08:00,tutor,tutor,1,,,
,,,"you know, astrophysics or astronomy, you can become a to your own school house, so it takes less or approximately 2 h to certified and finish training. You can create your own schedule, so",2023-03-03T17:04:30.110-08:00,2023-03-03T17:04:45.440-08:00,tutor,tutor,1,,,
,,,it's very flexible if you're you know. Still in school. You can still do it.,2023-03-03T17:04:46.930-08:00,2023-03-03T17:04:51.580-08:00,tutor,tutor,1,,,
,,,"and you know there are over 4,000 fellow volunteers from around the world. So it's a great way to connect with others. Connect with your peers, and you know you can give back through volunteering right?",2023-03-03T17:04:51.630-08:00,2023-03-03T17:05:07.080-08:00,tutor,tutor,1,,,
,,,"I think it's really really meaningful to know that you're connecting with someone and helping them to learn, just as someone helped you to learn in the past, you know.",2023-03-03T17:05:07.500-08:00,2023-03-03T17:05:17.640-08:00,tutor,tutor,1,,,
,,,"And yeah, everything through school houses totally free. So it's. I think it's a great resource for",2023-03-03T17:05:19.060-08:00,2023-03-03T17:05:26.680-08:00,tutor,tutor,1,,,
,,,"you know students of all ages, but particularly like if you're preparing for sat, you know, high school students.",2023-03-03T17:05:27.030-08:00,2023-03-03T17:05:35.480-08:00,tutor,tutor,1,,,
,,,"And yeah. So today we're going to start off with practice. Test B 2, which uses a calculator that'll be 25 min long. Then we'll review that practice test, and then hopefully, we will have some time for some targeted group practice.",2023-03-03T17:05:37.170-08:00,2023-03-03T17:05:51.910-08:00,tutor,tutor,1,,,
,,,"But yeah, so this is practice Test B 2.",2023-03-03T17:05:52.670-08:00,2023-03-03T17:05:57.480-08:00,tutor,tutor,1,,,
,,,I will,2023-03-03T17:05:57.500-08:00,2023-03-03T17:05:58.720-08:00,tutor,tutor,1,,,
,,,navigate over to that page and allow you guys to start,2023-03-03T17:05:59.660-08:00,2023-03-03T17:06:03.440-08:00,tutor,tutor,1,,,
,,,submitting responses. But does anyone have any questions before we start,2023-03-03T17:06:03.690-08:00,2023-03-03T17:06:08.960-08:00,tutor,tutor,1,,,
,,,as usual? I will share the timer.,2023-03-03T17:06:12.300-08:00,2023-03-03T17:06:15.260-08:00,tutor,tutor,1,,,
,,,"But yeah, it should be accepting responses now. So",2023-03-03T17:06:15.559-08:00,2023-03-03T17:06:18.620-08:00,tutor,tutor,1,,,
,,,"yeah, and hopefully, you can see my screen.",2023-03-03T17:06:39.120-08:00,2023-03-03T17:06:41.770-08:00,tutor,tutor,1,,,
,,,Yeah. So is everyone ready?,2023-03-03T17:07:03.340-08:00,2023-03-03T17:07:06.320-08:00,tutor,tutor,1,,,
,,,"Not let me know. But again, this is a calculator section, so you can use your calculator",2023-03-03T17:07:07.410-08:00,2023-03-03T17:07:12.470-08:00,tutor,tutor,1,,,
,,,"all right. Well, I will assume that everyone is set and start the timer. Good luck, and i'll see you back here in 25 min.",2023-03-03T17:07:20.730-08:00,2023-03-03T17:07:28.170-08:00,tutor,tutor,1,,,
,,,"Alright, so that is time. Hopefully, that will well for everyone. So, as usual, we'll spend",2023-03-03T17:32:34.570-08:00,2023-03-03T17:32:45.320-08:00,tutor,tutor,1,,,
,,,"the next portion of our time together, just reviewing. So if there are any questions you want",2023-03-03T17:32:45.740-08:00,2023-03-03T17:32:52.000-08:00,tutor,tutor,1,,,
,,,"to look at in particular, send me a message in the chat. I will look at those",2023-03-03T17:32:52.380-08:00,2023-03-03T17:32:58.120-08:00,tutor,tutor,1,,,
,,,"if you want to share how we felt it went, you can also do that.",2023-03-03T17:33:01.130-08:00,2023-03-03T17:33:05.760-08:00,tutor,tutor,1,,,
,,,"So yeah, it looks like scores Were",2023-03-03T17:33:17.280-08:00,2023-03-03T17:33:20.110-08:00,tutor,tutor,1,,,
,,,pretty high this time. So nice work everyone.,2023-03-03T17:33:20.150-08:00,2023-03-03T17:33:24.100-08:00,tutor,tutor,1,,,
,,,"alright, so I will share my screen, and we can begin working right now. I have one request to go over problem 16. If anyone else wants to go over any other problems, you know, feel free to let me know.",2023-03-03T17:34:50.890-08:00,2023-03-03T17:35:06.950-08:00,tutor,tutor,1,,,
,,,"So, hopefully, you can see my screen now.",2023-03-03T17:35:08.140-08:00,2023-03-03T17:35:11.040-08:00,tutor,tutor,1,,,
,16.0,1.0,All right. So problem 16,2023-03-03T17:35:13.210-08:00,2023-03-03T17:35:16.720-08:00,tutor,tutor,2,,16.0,
,,,"is right here, so it says, in 2,015. The populations of City X and City Y were equal from 2,010 to 2,015, the population of City X increased by 20%, and the population of city wide decreased by 10%.",2023-03-03T17:35:17.720-08:00,2023-03-03T17:35:34.240-08:00,tutor,tutor,2,,16.0,
,,,"If the population of City X was 122,010. What was the population of city? Why, in 2,010?",2023-03-03T17:35:34.270-08:00,2023-03-03T17:35:43.540-08:00,tutor,tutor,2,,16.0,
,,,So I think the easiest way to do this will be to draw out a bit of a diagram. So,2023-03-03T17:35:43.960-08:00,2023-03-03T17:35:50.430-08:00,tutor,tutor,2,,16.0,
,,,"we have 2 dates. We're looking at right 2,010,",2023-03-03T17:35:51.430-08:00,2023-03-03T17:35:55.240-08:00,tutor,tutor,2,,16.0,
,,,"and then i'll do this in blue we have 2,015,",2023-03-03T17:35:56.250-08:00,2023-03-03T17:36:01.340-08:00,tutor,tutor,2,,16.0,
,,,and we know,2023-03-03T17:36:02.290-08:00,2023-03-03T17:36:03.670-08:00,tutor,tutor,2,,16.0,
,,,"I even in 2,015. The populations were equal. So",2023-03-03T17:36:05.810-08:00,2023-03-03T17:36:12.080-08:00,tutor,tutor,2,,16.0,
,,,let's say,2023-03-03T17:36:12.780-08:00,2023-03-03T17:36:14.390-08:00,tutor,tutor,2,,16.0,
,,,"we have green right, and this is going to represent City X. And let's say that we had this pink, and that represents city. Y. So we know that",2023-03-03T17:36:14.570-08:00,2023-03-03T17:36:27.220-08:00,tutor,tutor,2,,16.0,
,,,city y decreased by 10%. So right minus 10%,2023-03-03T17:36:27.240-08:00,2023-03-03T17:36:33.740-08:00,tutor,tutor,2,,16.0,
,,,and then city X increased by 20. So plus,2023-03-03T17:36:36.900-08:00,2023-03-03T17:36:42.710-08:00,tutor,tutor,2,,16.0,
,,,20%.,2023-03-03T17:36:43.980-08:00,2023-03-03T17:36:45.350-08:00,tutor,tutor,2,,16.0,
,,,Okay.,2023-03-03T17:36:46.650-08:00,2023-03-03T17:36:47.570-08:00,tutor,tutor,2,,16.0,
,,,So from this we can kind of come up with an expression to relate all this information together.,2023-03-03T17:36:47.980-08:00,2023-03-03T17:36:55.310-08:00,tutor,tutor,2,,16.0,
,,,"So we know that in 2,000",2023-03-03T17:36:55.450-08:00,2023-03-03T17:36:59.310-08:00,tutor,tutor,2,,16.0,
,,,"in 2,010 the population of City X was 120,000 right?",2023-03-03T17:36:59.680-08:00,2023-03-03T17:37:06.150-08:00,tutor,tutor,2,,16.0,
,,,"And then, if we want to go to 2015 s population level, we would just multiply this by 120 right? This is 100% plus 20%.",2023-03-03T17:37:06.180-08:00,2023-03-03T17:37:17.770-08:00,tutor,tutor,2,,16.0,
,,,"So 120,000",2023-03-03T17:37:20.200-08:00,2023-03-03T17:37:22.200-08:00,tutor,tutor,2,,16.0,
,,,type that which is just 1.2 indexing before.,2023-03-03T17:37:22.450-08:00,2023-03-03T17:37:27.580-08:00,tutor,tutor,2,,16.0,
,,,"So we have a 120,000",2023-03-03T17:37:27.780-08:00,2023-03-03T17:37:29.830-08:00,tutor,tutor,2,,16.0,
,,,"times 1.2,",2023-03-03T17:37:30.120-08:00,2023-03-03T17:37:31.950-08:00,tutor,tutor,2,,16.0,
,,,which,2023-03-03T17:37:32.240-08:00,2023-03-03T17:37:34.740-08:00,tutor,tutor,2,,16.0,
,,,"it's like a 144,000. Let me just check that",2023-03-03T17:37:37.320-08:00,2023-03-03T17:37:40.980-08:00,tutor,tutor,2,,16.0,
,,,"Yeah. 100 and 44,000. Okay.",2023-03-03T17:37:43.410-08:00,2023-03-03T17:37:45.940-08:00,tutor,tutor,2,,16.0,
