problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
490.0,,1.0,"I said, we're going to push it back to.",2023-03-02T19:08:45.820-08:00,2023-03-02T19:08:52.600-08:00,tutor,tutor,1,,,
,,,It might just be,2023-03-02T19:10:14.480-08:00,2023-03-02T19:10:15.920-08:00,tutor,tutor,1,,,
,,,you 3 today. Get ready for that. We're gonna we're starting to with test. So it's gonna be 25 min. No.,2023-03-02T19:10:16.120-08:00,2023-03-02T19:10:29.680-08:00,tutor,tutor,1,,,
,,,okay.,2023-03-02T19:10:37.350-08:00,2023-03-02T19:10:37.910-08:00,tutor,tutor,1,,,
,,,I got you more,2023-03-02T19:11:12.390-08:00,2023-03-02T19:11:13.440-08:00,tutor,tutor,1,,,
,,,one,2023-03-02T19:11:14.970-08:00,2023-03-02T19:11:15.650-08:00,tutor,tutor,1,,,
,,,"like a oh, hey, this at work. you the whole squad that",2023-03-02T19:11:18.270-08:00,2023-03-02T19:11:22.200-08:00,tutor,tutor,1,,,
,,,"you don't need to turn on your cameras right now. Hayley. Mica, you guys don't need to turn your cameras to start. We're gonna hop straight to a test.",2023-03-02T19:11:23.640-08:00,2023-03-02T19:11:32.700-08:00,tutor,tutor,1,,,
,,,It's me 25 min. No.,2023-03-02T19:11:32.830-08:00,2023-03-02T19:11:37.270-08:00,tutor,tutor,1,,,
,,,And when we come back and we you you can on stuff.,2023-03-02T19:11:38.550-08:00,2023-03-02T19:11:42.160-08:00,tutor,tutor,1,,,
,,,"Yes, it was kind. Of",2023-03-02T19:11:42.340-08:00,2023-03-02T19:11:46.300-08:00,tutor,tutor,1,,,
,,,"Okay. All Give me a thumbs up and doesn't navigate it to the page. When we open the test, we don't started yet.",2023-03-02T19:11:48.290-08:00,2023-03-02T19:11:55.540-08:00,tutor,tutor,1,,,
,,,Once you have the place before you.,2023-03-02T19:11:55.600-08:00,2023-03-02T19:11:59.250-08:00,tutor,tutor,1,,,
,,,and he says,2023-03-02T19:12:01.250-08:00,2023-03-02T19:12:02.470-08:00,tutor,tutor,1,,,
,,,she's done.,2023-03-02T19:12:03.950-08:00,2023-03-02T19:12:05.150-08:00,tutor,tutor,1,,,
,,,Yeah.,2023-03-02T19:12:08.570-08:00,2023-03-02T19:12:09.460-08:00,tutor,tutor,1,,,
,,,Make sure you're doing it's gonna be practice tests. Do you want? Okay.,2023-03-02T19:12:25.210-08:00,2023-03-02T19:12:30.270-08:00,tutor,tutor,1,,,
,,,"so that you can be one alright, Chad: let me know when you there. and we'll get it.",2023-03-02T19:12:30.350-08:00,2023-03-02T19:12:35.920-08:00,tutor,tutor,1,,,
,,,Where do I have to go again?,2023-03-02T19:12:38.120-08:00,2023-03-02T19:12:39.630-08:00,student,student A,1,,,
,,,You have to wait. Wait. Was I really quiet for you guys?,2023-03-02T19:12:43.020-08:00,2023-03-02T19:12:47.400-08:00,tutor,tutor,1,,,
,,,"Yeah, yeah.",2023-03-02T19:12:47.850-08:00,2023-03-02T19:12:49.570-08:00,student,student B,1,,,
,,,I can really. What you were saying. Was I really quiet for you guys?,2023-03-02T19:12:49.760-08:00,2023-03-02T19:12:52.830-08:00,student,student B,1,,,
,,,Yeah.,2023-03-02T19:12:53.960-08:00,2023-03-02T19:12:54.700-08:00,student,student B,1,,,
,,,It was Bluetooth connected to my headphones all the way across my room. I'm so sorry.,2023-03-02T19:12:54.960-08:00,2023-03-02T19:12:59.940-08:00,student,student C,1,,,
,,,"because when Chat started talking, I like her, and like way over there. would you say, chas? What was your question?",2023-03-02T19:13:00.270-08:00,2023-03-02T19:13:06.730-08:00,tutor,tutor,1,,,
,,,"Where do I go to find the test. I go to my go to like the session, and then go to the assessments tab on the left.",2023-03-02T19:13:07.080-08:00,2023-03-02T19:13:14.070-08:00,student,student A,1,,,
,,,"and then scroll down. So you get B one, which is, say no calculator.",2023-03-02T19:13:14.140-08:00,2023-03-02T19:13:17.800-08:00,tutor,tutor,1,,,
,,,"Let me know when you get there, or if you're confused.",2023-03-02T19:13:27.180-08:00,2023-03-02T19:13:29.910-08:00,tutor,tutor,1,,,
,,,I still can't find it. Sorry.,2023-03-02T19:13:41.660-08:00,2023-03-02T19:13:49.420-08:00,student,student B,1,,,
,,,"Oh, the test that if you're in Yes, Are you in the assessments, Chaz or no?",2023-03-02T19:13:49.490-08:00,2023-03-02T19:13:54.480-08:00,tutor,tutor,1,,,
,,,"Yeah, because I haven't turned it on, yet i'll turn on right now, though.",2023-03-02T19:13:56.290-08:00,2023-03-02T19:14:00.740-08:00,student,student B,1,,,
,,,"Okay, hold up. Okay, Refresh your guys, Page, and you should be able to see it. Let me know and Don't start yet.",2023-03-02T19:14:01.270-08:00,2023-03-02T19:14:08.060-08:00,tutor,tutor,1,,,
,,,You guys see it now.,2023-03-02T19:14:10.330-08:00,2023-03-02T19:14:11.550-08:00,tutor,tutor,1,,,
,,,Yeah.,2023-03-02T19:14:12.490-08:00,2023-03-02T19:14:13.110-08:00,student,student C,1,,,
,,,"All right, all right.",2023-03-02T19:14:13.530-08:00,2023-03-02T19:14:15.250-08:00,tutor,tutor,1,,,
,,,"Well, we will be good. I'll see you guys in 25 min. Good luck.",2023-03-02T19:14:15.750-08:00,2023-03-02T19:14:19.200-08:00,tutor,tutor,1,,,
,,,little bit less than 3 min. Left Finish it up. They should answer every question. No points lost. If you miss,2023-03-02T19:36:25.180-08:00,2023-03-02T19:36:32.100-08:00,tutor,tutor,1,,,
,,,it's time you guys know what that means. Submit.,2023-03-02T19:39:24.360-08:00,2023-03-02T19:39:27.960-08:00,tutor,tutor,1,,,
,,,"Turn cameras on, and let's get cracking",2023-03-02T19:39:28.180-08:00,2023-03-02T19:39:30.720-08:00,tutor,tutor,1,,,
,,,"my show of hands how we felt, how how that would feel. man, middle. not great, not horrible. We can work with that. Let's see how you guys did",2023-03-02T19:39:55.570-08:00,2023-03-02T19:40:06.230-08:00,tutor,tutor,1,,,
,,,you got 4 responses?,2023-03-02T19:40:08.450-08:00,2023-03-02T19:40:10.510-08:00,tutor,tutor,1,,,
,,,Let's see.,2023-03-02T19:40:14.620-08:00,2023-03-02T19:40:15.690-08:00,tutor,tutor,1,,,
,,,Familiar to make sure. Submit.,2023-03-02T19:40:17.130-08:00,2023-03-02T19:40:19.350-08:00,tutor,tutor,1,,,
,,,Marlia makes your estimate.,2023-03-02T19:40:23.140-08:00,2023-03-02T19:40:25.350-08:00,tutor,tutor,1,,,
,,,and that will be good.,2023-03-02T19:40:26.980-08:00,2023-03-02T19:40:28.150-08:00,tutor,tutor,1,,,
,,,Camille are just waiting on you.,2023-03-02T19:40:36.700-08:00,2023-03-02T19:40:38.320-08:00,tutor,tutor,1,,,
,,,All right Boom! Good to go.,2023-03-02T19:40:45.870-08:00,2023-03-02T19:40:47.650-08:00,tutor,tutor,1,,,
,,,"All right, let's see. Is there any question that we all really do not do all right. So by a show of actually just drop in the chat. You can do, probably to me. How many questions did you get in before you had to start guessing? How many do you feel like you can estimate there were 25 questions like, how many of those 25 do you feel like you had a good time to think about?",2023-03-02T19:40:48.380-08:00,2023-03-02T19:41:06.510-08:00,tutor,tutor,1,,,
,,,"Excuse me. And how many times, how many of like.",2023-03-02T19:41:07.990-08:00,2023-03-02T19:41:10.620-08:00,tutor,tutor,1,,,
,,,how many do you feel like you kind of have to like Russian guess on?,2023-03-02T19:41:12.180-08:00,2023-03-02T19:41:14.880-08:00,tutor,tutor,1,,,
