problem_set,question_id,time_segment,text,startTimestamp,endTimestamp,speaker,speaker_#,actual_segment,pred_segment,actual_question_id,pred_question_id
491.0,,1.0,"Welcome back, guys. We'll just wait like a few more minutes, because this one like 4 of us, I think here. So",2023-03-04T06:00:43.220-08:00,2023-03-04T06:00:49.540-08:00,tutor,tutor,1,,,
,,,i'll wait a few more minutes in case there's anyone else that joins late.,2023-03-04T06:00:49.810-08:00,2023-03-04T06:00:53.550-08:00,tutor,tutor,1,,,
,,,"All right. I guess we can get started. It's kind of normal, for like people drop out as the sessions go on. But we're kind of a low number today. I'm surprised. Okay.",2023-03-04T06:02:25.870-08:00,2023-03-04T06:02:34.970-08:00,tutor,tutor,1,,,
,,,"So today's question is, what is a subject or topic that deeply interests you. And then, since we have, like a low number of people, we can just do the like",2023-03-04T06:02:36.100-08:00,2023-03-04T06:02:46.670-08:00,tutor,tutor,1,,,
,,,"popcorn thing if I think that work out well, so",2023-03-04T06:02:46.740-08:00,2023-03-04T06:02:49.830-08:00,tutor,tutor,1,,,
,,,"i'll start, and then i'll popcorn to someone. So a subject that interests me would be, I guess, computer science, because that's what i'm going to major in, and I don't know. I just always liked computers and stuff like that. I think I said that before. But",2023-03-04T06:02:50.150-08:00,2023-03-04T06:03:02.930-08:00,tutor,tutor,1,,,
,,,"yeah, I think it's really interesting because you can do a lot with computers now, especially with like AI and all that sort of stuff. It's really like. There's no limit as like what you can make. So I think it's really cool.",2023-03-04T06:03:03.330-08:00,2023-03-04T06:03:14.450-08:00,tutor,tutor,1,,,
,,,and then I will popcorn to [STUDENT_6].,2023-03-04T06:03:16.030-08:00,2023-03-04T06:03:18.650-08:00,tutor,tutor,1,,,
,,,I guess I really enjoy learning about philosophy and theology. So I take those classes at school. And so it's just really interesting to discuss and think about.,2023-03-04T06:03:21.310-08:00,2023-03-04T06:03:28.130-08:00,student,student A,1,,,
,,,and I will pop where increase,2023-03-04T06:03:28.440-08:00,2023-03-04T06:03:29.980-08:00,student,student A,1,,,
,,,something that really interests me is like indigenous literature.,2023-03-04T06:03:31.400-08:00,2023-03-04T06:03:35.950-08:00,student,student B,1,,,
,,,"I'm doing like an independent study at school right now, and I really enjoy that. And i'll popcorn it to [STUDENT_2].",2023-03-04T06:03:35.960-08:00,2023-03-04T06:03:42.090-08:00,student,student B,1,,,
,,,I really like computer science as well.,2023-03-04T06:03:45.610-08:00,2023-03-04T06:03:49.470-08:00,student,student C,1,,,
,,,I just feel it's cool. So yeah.,2023-03-04T06:03:51.320-08:00,2023-03-04T06:03:54.480-08:00,student,student C,1,,,
,,,I of course,2023-03-04T06:03:54.600-08:00,2023-03-04T06:03:56.270-08:00,student,student C,1,,,
,,,I'm really interested in biology. Specifically. Marine biology.,2023-03-04T06:03:58.670-08:00,2023-03-04T06:04:02.690-08:00,student,student D,1,,,
,,,"All right. Cool. Thank you. Guys. Yeah, it's all pretty interesting stuff.",2023-03-04T06:04:05.080-08:00,2023-03-04T06:04:08.600-08:00,tutor,tutor,1,,,
,,,"Okay. So that being said, we can just go straight into oh, wait 1 s. I have another slide here, so I think tutor in schoolhouse is a really good opportunity for you guys.",2023-03-04T06:04:08.860-08:00,2023-03-04T06:04:19.810-08:00,tutor,tutor,1,,,
,,,"You guys can like any of you guys computer. It doesn't have to be like for sat. Be for any subject. So it takes like 2 h to get certified and then finish your training, and then you can",2023-03-04T06:04:19.870-08:00,2023-03-04T06:04:30.500-08:00,tutor,tutor,1,,,
